seed,N,n,p,K,r,m,phi,spatial_svd_time,spatial_svd_err,spatial_svd_acc,vanilla_svd_time,vanilla_svd_err,vanilla_svd_acc
80,30,1000,30,3,0.05,5,0.1,777.1932962173596,8.363800779278385,0.951,3.2594509846530855,13.89723674465072,0.872
318,100,1000,10,3,0.05,5,0.1,504.2234228216112,7.732936549548646,0.969,3.4791994988918304,7.920832041331231,0.997
100,50,1000,10,3,0.05,5,0.1,488.3687924779952,6.861919137586331,0.974,3.22968838410452,9.603999246381743,0.991
395,30,1000,50,3,0.05,5,0.1,870.8829883635044,8.827754791901171,0.94,3.313433513045311,13.05763126047592,0.911
16,30,1000,10,3,0.05,5,0.1,1176.4050622875802,10.717058831930014,0.949,3.3648189869709313,15.95670921773834,0.556
29,200,1000,30,3,0.05,5,0.1,735.8542343056761,9.16706651184227,0.959,2.8529579918831587,5.38050019823624,0.998
23,30,1000,10,3,0.05,5,0.1,910.2436963529326,10.246144733661328,0.953,3.3598050042055547,13.875161334489407,0.739
64,50,1000,10,3,0.05,5,0.1,522.0214846590534,10.189669854811312,0.97,3.2651241989806294,6.0635337571656525,0.992
32,10,1000,10,3,0.05,5,0.1,627.6906598489732,7.939576750066395,0.963,3.335011417977512,13.194545881856396,0.912
9,100,1000,50,3,0.05,5,0.1,877.4158692061901,11.800063735468266,0.967,3.668225576169789,11.46475950635296,0.764
18,30,1000,10,3,0.05,5,0.1,650.7917722878046,10.561117512557468,0.955,3.2989723361097276,10.116238691472526,0.849
91,10,1000,30,3,0.05,5,0.1,2733.1777513911948,9.334911778754831,0.878,3.252442463301122,18.542960530917668,0.36
68,200,1000,30,3,0.05,5,0.1,709.8828746508807,13.589865615344731,0.966,3.3856627917848527,4.817065765232869,0.918
5,100,1000,10,3,0.05,5,0.1,439.3726095408201,9.503419651774015,0.958,3.6536127156578,6.326204685868603,0.997
97,200,1000,30,3,0.05,5,0.1,663.4638706170954,11.920657800338716,0.972,3.337909884750843,6.628502166995161,0.936
325,100,1000,10,3,0.05,5,0.1,425.79185220599174,12.628049777762028,0.962,3.40682614967227,8.595662501155665,0.997
47,100,1000,30,3,0.05,5,0.1,698.7073745750822,6.665316502907444,0.968,2.8566850386559963,8.863507023391454,0.998
344,10,1000,10,3,0.05,5,0.1,1025.6261290088296,8.683201307265984,0.928,3.345977049320936,19.132366290336236,0.581
14,200,1000,30,3,0.05,5,0.1,707.5584460194223,9.64664882967742,0.957,3.385798256844282,5.228312707876033,0.997
371,10,1000,10,3,0.05,5,0.1,834.839603126049,7.515208733637376,0.956,3.303733002394438,12.874641855481004,0.824
329,50,1000,10,3,0.05,5,0.1,1315.9118617139757,14.155685622215092,0.945,3.3517241291701794,11.459859932114528,0.775
327,50,1000,10,3,0.05,5,0.1,508.2202475965023,8.075554161663995,0.965,3.3017886988818645,5.98920863859268,0.966
360,30,1000,10,3,0.05,5,0.1,764.6632364429533,11.82269565643807,0.965,3.3753275461494923,7.621113494998566,0.852
