seed,N,n,p,K,r,m,phi,spatial_svd_time,spatial_svd_err,spatial_svd_acc,vanilla_svd_time,vanilla_svd_err,vanilla_svd_acc
78,100,1000,50,3,0.05,5,0.1,904.9971542852,14.75247744099049,0.972,2.7974205096252263,8.643226886369776,0.943
364,50,1000,10,3,0.05,5,0.1,844.7616655156016,12.308416702193968,0.968,3.36847035959363,8.482620662016503,0.927
309,10,1000,10,3,0.05,5,0.1,807.1376846730709,9.273771523013275,0.934,3.293879386037588,14.229524915267673,0.662
351,50,1000,10,3,0.05,5,0.1,508.1689399443567,6.851903996944285,0.974,3.1974578760564327,10.666955531725014,0.995
380,30,1000,30,3,0.05,5,0.1,1136.7395655550065,8.893784004653517,0.951,3.5434994511306286,12.31334114399034,0.813
95,30,1000,50,3,0.05,5,0.1,1502.0646981396712,12.12076339519973,0.943,3.363932078704238,13.948682917512452,0.582
316,30,1000,10,3,0.05,5,0.1,496.8325716406107,8.323813797571027,0.965,3.325582455843687,7.693771202147485,0.991
84,10,1000,50,3,0.05,5,0.1,2123.2848495966755,12.44834033809856,0.95,3.4233489017933607,18.624118300788496,0.353
307,10,1000,10,3,0.05,5,0.1,2613.82666740939,7.947304752109713,0.857,3.2124435119330883,14.92198862784629,0.59
39,100,1000,50,3,0.05,5,0.1,819.7625284530222,14.065258413522344,0.951,3.406238606665283,10.501525632544862,0.891
318,30,1000,10,3,0.05,5,0.1,699.3190584629774,8.129882636935921,0.978,3.3673052601516247,13.616261222464535,0.868
391,10,1000,30,3,0.05,5,0.1,10243.258266083896,13.991062702418464,0.494,3.2409554719924927,14.22003776061873,0.506
49,100,1000,10,3,0.05,5,0.1,548.894953112118,7.465193223992655,0.976,3.579012729693204,8.695754108972594,0.998
99,200,1000,10,3,0.05,5,0.1,602.3435025322251,13.315306862166544,0.96,3.3912204150110483,10.708373886779285,0.761
66,200,1000,10,3,0.05,5,0.1,562.3543343790807,13.727903479537323,0.973,2.8801787570118904,8.132514774927289,0.979
29,50,1000,10,3,0.05,5,0.1,555.0717604998499,9.651985429083345,0.949,3.478762405924499,9.249901087903815,0.992
95,200,1000,50,3,0.05,5,0.1,599.9243966168724,12.859173711802178,0.974,2.7930575227364898,6.035890694106049,0.853
71,10,1000,10,3,0.05,5,0.1,3058.63876765687,12.720488284079408,0.888,3.4504731111228466,15.06146987818947,0.45
45,100,1000,50,3,0.05,5,0.1,1168.7758883819915,13.257977876588464,0.914,3.412027387879789,12.705380890649664,0.539
16,200,1000,50,3,0.05,5,0.1,1055.5086679682136,12.14503007237644,0.951,2.777472211048007,8.645062244267056,0.983
35,100,1000,10,3,0.05,5,0.1,567.5401727240533,12.628643291560138,0.97,3.7424065647646785,9.04490809864652,0.995
4,50,1000,10,3,0.05,5,0.1,868.8816081727855,14.46988917236188,0.946,3.712747748941183,9.884186837521812,0.807
44,10,1000,10,3,0.05,5,0.1,723.2211386063136,8.99333583225101,0.959,3.195149527862668,20.289079969796717,0.512
55,30,1000,10,3,0.05,5,0.1,619.066211362835,9.42133153523109,0.965,3.5865624081343412,9.586375921438446,0.943
84,50,1000,30,3,0.05,5,0.1,974.0053968131542,11.88552349025764,0.97,3.2428440577350557,12.915498845026104,0.914
27,200,1000,10,3,0.05,5,0.1,456.5476603070274,9.33545126409664,0.972,3.242767950054258,7.3708005725867105,0.998
12,50,1000,10,3,0.05,5,0.1,534.6845446880907,9.661474493595636,0.962,3.4080750783905387,8.907874734655682,0.995
27,50,1000,10,3,0.05,5,0.1,455.7418351499364,8.612379636627995,0.972,3.1203840323723853,7.377975782295629,0.998
74,100,1000,10,3,0.05,5,0.1,671.1634746678174,13.901777854345235,0.977,3.7651953231543303,8.304613259435708,0.994
57,200,1000,50,3,0.05,5,0.1,523.2921808906831,12.45247282438821,0.964,3.5730911949649453,9.657553457543605,0.99
87,100,1000,50,3,0.05,5,0.1,879.5345889590681,12.899335159391462,0.958,3.468626137357205,6.778887855207919,0.968
60,30,1000,10,3,0.05,5,0.1,667.2814582320862,8.738853352234997,0.972,3.369408586062491,9.55601414841002,0.964
2,30,1000,10,3,0.05,5,0.1,874.8408750649542,11.99668272891652,0.962,3.39917543111369,14.908480982391549,0.732
7,200,1000,50,3,0.05,5,0.1,929.8111842577346,12.228057704757578,0.958,2.8084482927806675,6.552479160666454,0.993
66,100,1000,30,3,0.05,5,0.1,993.5707048978657,13.455350647953448,0.969,3.3991034510545433,9.493846849663116,0.87
93,10,1000,30,3,0.05,5,0.1,1387.9786797938868,12.431799259449107,0.933,3.310021232347935,16.86833502498322,0.551
399,30,1000,50,3,0.05,5,0.1,840.9422490671277,8.648404923652345,0.957,3.3363920375704765,11.62537983424729,0.944
35,200,1000,30,3,0.05,5,0.1,638.1745618190616,13.017786931876072,0.965,3.694293709937483,8.895880221408921,0.998
68,50,1000,10,3,0.05,5,0.1,846.4496028870344,13.103569931875182,0.969,3.802076870109886,6.730165967416945,0.84
30,10,1000,10,3,0.05,5,0.1,2148.1754079489037,11.647868642276922,0.88,3.18375343689695,12.32253328539792,0.624
21,30,1000,10,3,0.05,5,0.1,806.1827066694386,14.189406037158625,0.955,3.2326660631224513,12.794459481280692,0.876
66,50,1000,10,3,0.05,5,0.1,870.1841432759538,13.45202124216977,0.956,3.350046498235315,11.72970279033666,0.836
27,100,1000,30,3,0.05,5,0.1,873.8699645870365,8.281682052895551,0.972,3.661955585237593,9.979338860446246,0.986
345,100,1000,10,3,0.05,5,0.1,603.891731671989,9.633821069573886,0.979,3.178566139191389,7.190019574333563,0.98
82,30,1000,30,3,0.05,5,0.1,1183.4875873751007,8.77505364713376,0.963,3.377893035300076,10.551964706540613,0.938
100,100,1000,50,3,0.05,5,0.1,651.6185260852799,6.882704216963636,0.977,3.4165907981805503,7.829814785935297,0.998
53,50,1000,10,3,0.05,5,0.1,761.6615626271814,11.064667887860162,0.958,3.150821418967098,8.380635914795285,0.885
14,30,1000,10,3,0.05,5,0.1,707.7306956877001,9.640972851064674,0.951,3.2835068851709366,8.644702011567293,0.968
74,200,1000,30,3,0.05,5,0.1,981.206629472319,13.901247416565736,0.972,3.562946705147624,10.34007591277016,0.984
397,30,1000,50,3,0.05,5,0.1,1132.3957547582686,8.912939414006589,0.942,3.308299295604229,16.698498441655843,0.757
51,100,1000,50,3,0.05,5,0.1,850.7710169241764,9.890892825687102,0.957,2.851361909881234,6.748738693208603,0.961
81,200,1000,50,3,0.05,5,0.1,582.6252828310244,9.93980231846308,0.971,3.4982257867231965,8.112340729542183,0.998
72,200,1000,10,3,0.05,5,0.1,545.7858187388629,7.308920679039327,0.971,3.6600812361575663,4.209662737597387,0.998
326,50,1000,50,3,0.05,5,0.1,834.3105745464563,8.13017973251873,0.955,2.8116329982876778,10.142115824796871,0.973
74,30,1000,30,3,0.05,5,0.1,1800.723610802088,11.278267702820637,0.96,3.3961667898111045,14.266150492890764,0.437
33,50,1000,30,3,0.05,5,0.1,972.43437949894,8.964404455714838,0.955,3.3046003580093384,10.154399941393123,0.972
361,30,1000,50,3,0.05,5,0.1,1229.15883776173,10.109947770496518,0.952,3.3310504853725433,15.227112934770563,0.678
21,100,1000,10,3,0.05,5,0.1,640.7134390720166,15.493010631329687,0.955,3.2961507318541408,9.861845561034274,0.967
354,30,1000,50,3,0.05,5,0.1,1031.3738840147853,10.40127852538074,0.952,3.305091846734286,12.557730564020336,0.662
313,50,1000,50,3,0.05,5,0.1,1155.1488049030304,11.037520753320836,0.951,3.0934033021330833,15.301013856327602,0.576
41,30,1000,30,3,0.05,5,0.1,1111.1587211727165,8.683315799454833,0.955,3.399276670999825,12.475468959149037,0.743
90,50,1000,10,3,0.05,5,0.1,653.7558228070848,11.43304028620752,0.961,3.757012568879873,10.8848374159948,0.889
50,10,1000,30,3,0.05,5,0.1,5873.728786109015,10.327507942633533,0.925,3.2319923653267324,15.282408694181742,0.526
33,200,1000,10,3,0.05,5,0.1,450.5392072452232,9.827226439325184,0.961,3.595609557814896,3.390131664677429,0.998
345,10,1000,50,3,0.05,5,0.1,2163.880397208035,10.280737577720773,0.92,3.2071199230849743,17.270079099500666,0.394
10,100,1000,50,3,0.05,5,0.1,734.1546033537015,7.872981884712501,0.983,3.434204673860222,7.025287388744546,0.996
370,10,1000,50,3,0.05,5,0.1,1318.9352845288813,9.401457364678794,0.933,3.262312199920416,16.839859835918016,0.578
328,50,1000,50,3,0.05,5,0.1,966.0143090859056,11.067075856935285,0.977,3.383895605802536,9.130369440473428,0.914
93,100,1000,50,3,0.05,5,0.1,703.0440862588584,12.710565322102228,0.959,3.376659589353949,10.11877342455534,0.956
43,200,1000,50,3,0.05,5,0.1,601.9996855692007,9.197080459269827,0.959,3.7042016559280455,5.446680332383379,0.997
60,100,1000,10,3,0.05,5,0.1,481.13684776891023,9.129255928231538,0.972,3.18135581118986,6.363523816452306,0.998
65,10,1000,30,3,0.05,5,0.1,2336.5493922671303,12.87956617135164,0.939,3.241507942788303,18.477453241525424,0.528
72,100,1000,30,3,0.05,5,0.1,854.5469737602398,7.715043500333732,0.959,3.202235651668161,7.155709758449583,0.998
310,100,1000,10,3,0.05,5,0.1,618.0041820257902,12.951847080033478,0.962,3.2688476145267487,8.282169809089297,0.978
7,10,1000,30,3,0.05,5,0.1,1506.9315454540774,10.522371023185162,0.954,3.495062379166484,18.901678566656987,0.391
352,50,1000,50,3,0.05,5,0.1,837.598131261766,10.82858634079386,0.981,3.249207451939583,10.704877598674022,0.94
89,10,1000,10,3,0.05,5,0.1,1136.2084870208057,9.920191839979276,0.942,3.303092679940164,15.31571696640006,0.648
96,30,1000,10,3,0.05,5,0.1,836.7449116338976,12.044432829269116,0.955,3.4303576508536935,12.017525190622552,0.939
315,30,1000,50,3,0.05,5,0.1,1365.395111642778,11.495214976056554,0.939,3.050762165337801,14.110495102612555,0.681
47,50,1000,30,3,0.05,5,0.1,968.5838813432492,7.012336545018939,0.973,3.4480064627714455,12.55825832845824,0.966
320,30,1000,50,3,0.05,5,0.1,1394.446717377752,12.5358447402023,0.95,3.199687644839287,14.794997103424087,0.73
72,50,1000,30,3,0.05,5,0.1,819.2759542367421,7.613442025514476,0.967,3.2273295959457755,10.023116804362594,0.963
393,100,1000,10,3,0.05,5,0.1,613.0530159026384,11.75357841134535,0.96,3.2175317890942097,5.556418004960796,0.977
21,200,1000,30,3,0.05,5,0.1,764.6044724285603,15.803552561303304,0.952,3.429448468144983,8.984289280003944,0.99
35,30,1000,30,3,0.05,5,0.1,1095.2424427377991,12.132998106569843,0.967,3.560074785258621,15.132184270144498,0.726
367,50,1000,50,3,0.05,5,0.1,1095.830922730267,14.30234849175278,0.963,3.2641043961048126,13.37350445845416,0.843
24,10,1000,30,3,0.05,5,0.1,1771.5335872280411,10.631754167957224,0.936,3.186470957007259,17.071643271137216,0.332
369,50,1000,50,3,0.05,5,0.1,884.6084142029285,10.8871157263376,0.968,3.3625625520944595,10.253600852124398,0.885
33,100,1000,30,3,0.05,5,0.1,666.6279369969852,9.102944936229962,0.952,3.320928036700934,7.007680058877747,0.984
87,10,1000,10,3,0.05,5,0.1,780.0209075892344,12.217788427999654,0.952,3.266144490800798,12.556621299248327,0.744
304,10,1000,50,3,0.05,5,0.1,2239.794516429305,11.332097901961223,0.942,3.2761562652885914,21.053905585557143,0.387
9,10,1000,30,3,0.05,5,0.1,3070.786885355599,10.348917537877888,0.958,3.359674407169223,18.017642972066785,0.287
49,50,1000,30,3,0.05,5,0.1,647.234933366999,8.411532257349421,0.971,3.162152119912207,10.918943518091066,0.981
60,200,1000,30,3,0.05,5,0.1,767.478185846936,8.773281448363162,0.967,2.7977605960331857,5.775096910410211,0.994
11,10,1000,30,3,0.05,5,0.1,2456.2358459169045,10.43446061520248,0.955,3.2804995151236653,18.177962161646946,0.481
98,30,1000,10,3,0.05,5,0.1,449.5186008489691,9.148574159474894,0.967,3.2084438842721283,9.387664225927477,0.991
1,100,1000,50,3,0.05,5,0.1,668.6527636284009,8.993391341607197,0.977,3.3732212763279676,8.179835339358373,0.997
62,50,1000,10,3,0.05,5,0.1,495.8873598901555,11.946861808336108,0.974,3.4707846860401332,10.6209748591725,0.982
20,200,1000,10,3,0.05,5,0.1,507.7596472236328,11.567403266518005,0.938,3.2770790299400687,7.497109318492299,0.996
25,30,1000,10,3,0.05,5,0.1,481.04848768375814,7.39495209216791,0.962,3.252149123698473,8.902789098168475,0.986
73,100,1000,10,3,0.05,5,0.1,497.4650469487533,7.020046274085759,0.974,3.754028634168208,5.850477377040942,0.998
50,200,1000,50,3,0.05,5,0.1,792.6141327931546,11.669568876215788,0.962,2.8141010981053114,7.0802519327458295,0.946
80,100,1000,50,3,0.05,5,0.1,591.8355476730503,8.737016803396877,0.954,2.8096597609110177,8.81861949185186,0.994
10,30,1000,10,3,0.05,5,0.1,473.61333362804726,7.608391550618515,0.977,3.2337000519037247,9.671340148766111,0.979
99,10,1000,30,3,0.05,5,0.1,2373.3375898902304,12.749979327399425,0.925,3.358603135216981,16.68665762870096,0.42
393,30,1000,50,3,0.05,5,0.1,1647.328041601926,8.624893125391262,0.942,3.24581241607666,12.15544824289797,0.764
86,30,1000,30,3,0.05,5,0.1,989.7853038329632,10.247894474443992,0.966,3.170837930869311,12.468711765520585,0.872
57,50,1000,10,3,0.05,5,0.1,782.6213278262876,12.192757607070858,0.961,3.364608578849584,9.957216150718612,0.954
8,30,1000,10,3,0.05,5,0.1,503.718398922123,8.124229675551335,0.987,3.3851638538762927,7.783656051980716,0.975
97,10,1000,30,3,0.05,5,0.1,2351.074789270293,11.027768245634553,0.943,3.397007160820067,16.16368196308072,0.472
61,200,1000,10,3,0.05,5,0.1,593.0885658049956,8.846116915552358,0.968,3.6272615310736,4.121786573262848,0.998
59,50,1000,10,3,0.05,5,0.1,468.86779855098575,10.546577527439348,0.951,3.436515657696873,9.110769113467136,0.996
6,30,1000,10,3,0.05,5,0.1,708.2476071468554,9.532084513029972,0.976,3.2291171280667186,7.716061025559039,0.923
92,200,1000,50,3,0.05,5,0.1,1025.4487219499424,16.15679802870001,0.959,3.3409876599907875,10.712696762534232,0.932
42,100,1000,50,3,0.05,5,0.1,616.2278253207915,9.442317450447376,0.958,3.38963442388922,7.902247520825311,0.941
88,30,1000,30,3,0.05,5,0.1,5182.208903337829,12.831607007905411,0.857,3.612439485732466,12.12531898521579,0.308
34,10,1000,10,3,0.05,5,0.1,1730.9192720279098,10.335108020223718,0.942,3.3215643470175564,16.4353739975175,0.484
11,200,1000,50,3,0.05,5,0.1,681.9682241990231,13.158668885114349,0.977,2.8018095060251653,5.540755488290664,0.983
32,100,1000,10,3,0.05,5,0.1,447.3605045382865,7.77544100371275,0.976,3.4507413781248033,5.386505531875645,0.998
100,30,1000,10,3,0.05,5,0.1,478.54631249187514,6.919402497431238,0.974,3.5892914910800755,11.00103688358561,0.95
16,50,1000,10,3,0.05,5,0.1,947.9900678782724,11.471503189056971,0.949,3.547970603685826,10.382851643329449,0.882
20,100,1000,30,3,0.05,5,0.1,1026.552429895848,10.14982765976356,0.941,3.289500620216131,8.00203636125962,0.969
342,100,1000,10,3,0.05,5,0.1,489.607439275831,11.746409734016716,0.947,3.3776199147105217,6.31100868240678,0.989
51,30,1000,10,3,0.05,5,0.1,601.5357177951373,10.08199552338172,0.951,3.3717244337312877,10.67108388147153,0.962
80,50,1000,30,3,0.05,5,0.1,847.0825974917971,8.315077168500203,0.957,3.0943352137692273,8.896643766294657,0.986
73,200,1000,30,3,0.05,5,0.1,752.3195575368591,7.1168921319772425,0.972,2.7957013859413564,6.2041580104587055,0.998
64,30,1000,10,3,0.05,5,0.1,473.64278578571975,9.965404096064509,0.965,3.3604234070517123,7.840181229767006,0.924
23,50,1000,10,3,0.05,5,0.1,1011.0033091627992,10.060747332915438,0.946,3.389783684629947,10.685311859889232,0.895
61,100,1000,30,3,0.05,5,0.1,692.5303720529191,8.411789671030034,0.968,3.418878342956305,6.738305485489836,0.994
75,10,1000,10,3,0.05,5,0.1,806.4333262238652,10.993299282806234,0.939,3.463664914015681,16.33289464591915,0.508
18,50,1000,10,3,0.05,5,0.1,671.8845089720562,11.166248781772444,0.952,3.2983371638692915,8.256915119413351,0.932
40,10,1000,10,3,0.05,5,0.1,643.5465871598572,9.619831929866734,0.953,3.283832415007055,14.679559501759316,0.783
32,200,1000,30,3,0.05,5,0.1,610.1349500180222,7.85393585503912,0.969,3.631579142063856,5.246710598763407,0.998
34,200,1000,10,3,0.05,5,0.1,542.5849056928419,12.74253774296823,0.961,3.2173660858534276,7.533858864935229,0.898
335,10,1000,50,3,0.05,5,0.1,1315.018979307264,9.29376009599656,0.914,3.2758081927895546,18.86086305866273,0.503
17,100,1000,50,3,0.05,5,0.1,1364.2186138257384,14.646046127444142,0.942,2.823710064869374,11.402985397720396,0.3
400,10,1000,10,3,0.05,5,0.1,2075.379397392273,10.711872865476716,0.91,3.156792175024748,12.123796220003833,0.526
78,50,1000,30,3,0.05,5,0.1,954.541083498858,13.010076078388591,0.96,3.5149933230131865,11.32548456093894,0.773
15,10,1000,30,3,0.05,5,0.1,1935.6541135949085,9.576939588870149,0.958,3.561636183410883,17.766891725173892,0.462
94,100,1000,50,3,0.05,5,0.1,729.3790940409526,10.510953543715411,0.964,3.409792640712112,6.25273851808529,0.909
44,200,1000,50,3,0.05,5,0.1,783.1152198053896,9.065678149531331,0.964,2.8118550460785627,10.789439504535272,0.998
67,100,1000,10,3,0.05,5,0.1,467.709590558894,9.569517474111,0.967,3.8778303838334978,7.108641689354693,0.998
83,10,1000,10,3,0.05,5,0.1,1963.1069087763317,10.568252418812872,0.844,3.6796869719401,11.390323586775835,0.566
358,50,1000,50,3,0.05,5,0.1,1574.4043383449316,11.169543839452146,0.961,3.167638003826142,11.449450000469936,0.713
92,30,1000,10,3,0.05,5,0.1,814.712314303033,15.400149721034476,0.95,3.242103761062026,8.971492632096373,0.774
43,50,1000,30,3,0.05,5,0.1,801.7233585109934,9.547024156701625,0.949,3.5518067716620862,10.477157085474223,0.961
311,30,1000,50,3,0.05,5,0.1,1198.0095344632864,14.138210587875708,0.941,3.110012359917164,16.334485473130275,0.557
3,10,1000,30,3,0.05,5,0.1,1991.9847881379535,9.07911329164335,0.937,3.44018230214715,18.218162747228934,0.451
56,100,1000,50,3,0.05,5,0.1,2011.407198789064,12.88074566931836,0.938,3.4612495861947536,11.462401429913804,0.421
86,200,1000,50,3,0.05,5,0.1,645.9662853656337,11.24549036849509,0.978,3.5375599041581154,5.718822847696473,0.994
75,200,1000,10,3,0.05,5,0.1,499.9396319799125,12.988649326709124,0.969,3.2836826406419277,8.837535580864705,0.998
31,30,1000,30,3,0.05,5,0.1,923.403170797974,8.397951467499867,0.963,3.226532998960465,12.29419851839214,0.874
26,100,1000,10,3,0.05,5,0.1,458.35744940908626,7.875350337405957,0.962,3.5114197339862585,6.35326088478491,0.998
76,50,1000,30,3,0.05,5,0.1,932.2380224121734,10.52937802497526,0.961,3.357789808884263,10.605515871142195,0.926
324,30,1000,50,3,0.05,5,0.1,1242.818263988942,10.349569793350364,0.969,3.3956245593726635,13.25690196114532,0.895
356,100,1000,10,3,0.05,5,0.1,466.9581146277487,7.718475605460274,0.963,3.2406609281897545,6.1354164875246635,0.998
34,100,1000,30,3,0.05,5,0.1,1024.277185246814,13.232195501079692,0.959,3.293858046643436,6.804334763290829,0.932
341,10,1000,50,3,0.05,5,0.1,1754.17831152305,10.158428493542816,0.955,3.2595595493912697,19.97998171263373,0.372
319,50,1000,50,3,0.05,5,0.1,781.8789085522294,10.757573407162525,0.968,3.233116887509823,11.291909384606804,0.866
54,10,1000,30,3,0.05,5,0.1,1300.0169406537898,9.7771787072389,0.978,3.2826191992498934,16.720883209076963,0.6
6,100,1000,50,3,0.05,5,0.1,965.0974455289544,10.354147831569556,0.972,3.3685250962153077,7.05246325901567,0.976
39,50,1000,30,3,0.05,5,0.1,1358.5290718707256,13.465678164554063,0.948,3.4002962042577565,10.698864013138914,0.581
67,200,1000,30,3,0.05,5,0.1,615.8186562000774,9.6732319577045,0.967,3.413465234450996,6.963731036179991,0.998
61,10,1000,30,3,0.05,5,0.1,1509.3995305700228,7.720642089511455,0.972,3.274981345050037,15.640762013910235,0.612
374,10,1000,50,3,0.05,5,0.1,1323.6867059506476,7.082413030212284,0.973,3.211200680583715,17.70432074760637,0.639
365,30,1000,50,3,0.05,5,0.1,771.8432408757508,8.535986340342113,0.959,3.084507815539837,13.57510949236362,0.926
37,50,1000,30,3,0.05,5,0.1,1363.0515672797335,13.97607683041996,0.954,3.4304917682893574,11.996952676931953,0.767
75,100,1000,30,3,0.05,5,0.1,1242.284604057204,12.721134886438058,0.946,2.8627738864161074,7.830891719541628,0.969
317,100,1000,10,3,0.05,5,0.1,439.8779714889824,10.096478004464942,0.962,3.458624053746462,6.125964325418652,0.993
70,30,1000,30,3,0.05,5,0.1,857.0786042949185,10.022368443338085,0.969,3.152158617042005,11.80740489393802,0.9
45,30,1000,30,3,0.05,5,0.1,2238.6598692606203,10.564718500343428,0.917,3.52838095696643,12.352607232672622,0.539
317,50,1000,50,3,0.05,5,0.1,1067.9558968767524,10.159523264074272,0.96,3.170599695295095,9.370193978538175,0.906
94,50,1000,10,3,0.05,5,0.1,636.1471308427863,10.359064943446256,0.954,3.198295762296766,6.097780475434255,0.974
394,100,1000,10,3,0.05,5,0.1,647.4211717881262,13.520147690212353,0.976,3.302716698497534,5.1369003451570405,0.829
26,200,1000,30,3,0.05,5,0.1,595.3199030100368,7.548130735758753,0.966,3.4107981650158763,6.959821518996495,0.998
350,30,1000,50,3,0.05,5,0.1,1798.4959495030344,10.725776229660166,0.956,3.114593740552664,12.796398631753553,0.593
319,10,1000,30,3,0.05,5,0.1,1385.1422783732414,9.812642099764313,0.942,3.2343191020190716,16.90068176888478,0.498
341,50,1000,30,3,0.05,5,0.1,1018.7981822900474,10.627783239268464,0.968,3.194595992565155,16.20398176499945,0.544
13,30,1000,50,3,0.05,5,0.1,2782.8569405949675,11.914405622097949,0.916,3.339013828430325,15.450757321456903,0.486
390,30,1000,10,3,0.05,5,0.1,1155.8828910551963,11.295917843147375,0.964,3.511083982884884,14.377820199011204,0.634
54,50,1000,50,3,0.05,5,0.1,852.5817381083034,8.350169023161083,0.977,3.5165326138958335,11.0445020663571,0.891
306,30,1000,30,3,0.05,5,0.1,1191.022902712226,9.644359658952114,0.938,3.5102084688842297,11.63235711431292,0.672
61,50,1000,50,3,0.05,5,0.1,885.0307422913611,8.567152702152733,0.975,3.42362660728395,9.682569565457682,0.951
333,30,1000,30,3,0.05,5,0.1,1131.3407624736428,11.217507422688536,0.962,3.818194285035134,12.396205688659927,0.75
39,10,1000,50,3,0.05,5,0.1,3423.277638132684,11.696614411512437,0.879,3.29988622199744,16.869084101567793,0.347
374,50,1000,30,3,0.05,5,0.1,593.5579341873527,7.182827665925461,0.974,3.431199327111244,10.023250565007377,0.99
26,30,1000,50,3,0.05,5,0.1,865.917114215903,7.823782199596224,0.963,3.452223022002727,13.587615326086686,0.922
37,10,1000,50,3,0.05,5,0.1,3217.384566109162,12.198428960227266,0.792,3.1586925867013633,16.346330356772715,0.321
322,10,1000,30,3,0.05,5,0.1,1879.745754648,9.478132069063191,0.94,3.2094468660652637,16.87100929724851,0.439
28,30,1000,50,3,0.05,5,0.1,818.4654866028577,8.86479839983106,0.957,3.236261687707156,12.934953444438886,0.816
48,100,1000,30,3,0.05,5,0.1,620.501666622702,9.609831043372074,0.958,3.7154557099565864,6.492791765990043,0.991
98,200,1000,30,3,0.05,5,0.1,631.8823491786607,9.251828511547778,0.961,2.8025016617029905,7.433871623138302,0.998
317,10,1000,30,3,0.05,5,0.1,1493.8582231476903,9.10075627857494,0.887,3.2139021195471287,16.079935315005034,0.543
308,30,1000,30,3,0.05,5,0.1,1357.242715176195,11.16559522022967,0.944,3.564255829900503,16.335690655793353,0.559
5,30,1000,50,3,0.05,5,0.1,860.4049362270162,8.327299233670363,0.956,3.090947758872062,12.3225164575906,0.89
381,10,1000,10,3,0.05,5,0.1,1630.5965481065214,12.014570995340716,0.943,3.259312216192484,13.438233675275026,0.447
67,30,1000,50,3,0.05,5,0.1,816.5931644388475,8.934196919835177,0.959,3.199918296188116,12.1850573489411,0.905
335,50,1000,30,3,0.05,5,0.1,869.9566690549254,9.302834513498208,0.959,3.303375579416752,10.504480358837212,0.981
372,30,1000,30,3,0.05,5,0.1,968.6055225767196,7.716348136091892,0.959,3.191350243985653,12.264039036561575,0.945
20,50,1000,50,3,0.05,5,0.1,996.719635898713,10.320373540512543,0.924,3.091167321894318,9.082238715213514,0.875
78,10,1000,50,3,0.05,5,0.1,2346.9538441547193,10.927899460692212,0.943,3.3160464307293296,15.637870082923357,0.305
396,50,1000,10,3,0.05,5,0.1,1267.4807866290212,11.987076097428956,0.945,3.1525291018188,11.211520711412032,0.672
347,30,1000,30,3,0.05,5,0.1,985.8432026542724,11.290019034894838,0.949,3.1800421476364136,10.92441937593143,0.877
15,50,1000,50,3,0.05,5,0.1,1031.2081525549293,9.217220365939784,0.969,3.51938307704404,9.799291465641256,0.943
79,200,1000,50,3,0.05,5,0.1,785.5297498181462,10.825077395310656,0.957,2.779102098196745,8.23712433300639,0.994
358,10,1000,30,3,0.05,5,0.1,4377.734787389636,14.039216258472816,0.779,3.1932950243353844,15.738335553476018,0.535
52,30,1000,50,3,0.05,5,0.1,850.9642953015864,8.905525092696116,0.964,3.247182840015739,14.333848997415668,0.796
349,30,1000,30,3,0.05,5,0.1,1191.7599848881364,10.84182152228765,0.964,3.3880567215383053,15.801604576210778,0.522
43,10,1000,50,3,0.05,5,0.1,2827.1516685551032,9.891984872553817,0.937,3.187088245060295,18.054694314221827,0.485
398,50,1000,10,3,0.05,5,0.1,508.68640971183777,9.93855674585102,0.967,3.604432925581932,9.858302410329456,0.987
3,50,1000,50,3,0.05,5,0.1,1233.789742489811,12.13926607609549,0.959,3.2499235924333334,12.75952587976028,0.716
356,10,1000,30,3,0.05,5,0.1,1186.8616569265723,8.249770349169925,0.947,3.3833153545856476,20.838518137439188,0.559
48,200,1000,10,3,0.05,5,0.1,414.22509098099545,10.00851523155582,0.955,2.8067773189395666,6.291180291352735,0.998
98,100,1000,10,3,0.05,5,0.1,453.183526433073,9.053677542480475,0.969,3.462178646121174,6.535173565640167,0.998
363,10,1000,30,3,0.05,5,0.1,2063.7935546822846,11.460035134498751,0.908,3.311296746134758,19.329845619602047,0.488
69,30,1000,50,3,0.05,5,0.1,948.923728318885,7.263636148598805,0.974,3.2698254073038697,13.590004086519524,0.937
38,200,1000,50,3,0.05,5,0.1,604.5326993390918,9.62223679038079,0.961,3.280262613669038,7.717073345847511,0.998
76,10,1000,50,3,0.05,5,0.1,1868.233379828278,11.27538755575961,0.931,3.4327114457264543,16.34884309193899,0.613
395,10,1000,30,3,0.05,5,0.1,1476.9543744027617,9.282580156155325,0.931,3.2459438405930996,23.127771982047552,0.529
80,10,1000,50,3,0.05,5,0.1,1532.990336318035,9.482351007475378,0.947,3.1071500931866467,19.304213976591317,0.58
303,10,1000,10,3,0.05,5,0.1,1311.6732608936727,9.919046427858788,0.883,3.249929890036583,12.890388781835542,0.55
336,10,1000,10,3,0.05,5,0.1,677.7492688596249,8.384179460595423,0.958,3.311743959784508,12.78968076851466,0.724
329,30,1000,10,3,0.05,5,0.1,1389.676803808659,15.19889136020226,0.895,3.2494681775569916,10.51347319840636,0.683
338,10,1000,10,3,0.05,5,0.1,1199.090072184801,14.569883813044504,0.94,3.201185066252947,15.825313548738196,0.293
360,50,1000,10,3,0.05,5,0.1,533.7731583490968,11.126581711166052,0.976,3.3009551726281643,7.355298999388303,0.908
