,CELL_ID,X,Y
1880,1881,1588,979
1860,1861,1567,971
2328,2329,1692,1275
2354,2355,1684,1292
2312,2313,1695,1253
2520,2521,1549,1424
2513,2514,1573,1418
2461,2462,1449,1378
2382,2383,1298,1318
1332,1333,303,736
1285,1286,424,716
1382,1383,367,762
963,964,268,582
980,981,241,585
892,893,221,547
829,830,239,517
893,894,247,547
914,915,240,563
949,950,220,572
540,541,273,385
539,540,252,385
576,577,274,401
520,521,262,367
586,587,295,406
528,529,297,376
487,488,281,355
1028,1029,306,606
1051,1052,329,612
957,958,317,578
977,978,284,586
1044,1045,279,613
1090,1091,306,633
941,942,286,569
904,905,304,554
836,837,291,518
259,260,381,215
205,206,392,186
179,180,412,170
346,347,334,269
362,363,323,280
335,336,353,257
307,308,343,243
452,453,327,334
496,497,312,358
629,630,361,427
616,617,379,419
681,682,374,451
800,801,553,503
879,880,524,541
715,716,616,465
658,659,595,438
611,612,613,418
1471,1472,553,800
2466,2467,360,1381
2490,2491,349,1403
2444,2445,370,1361
1110,1111,599,642
1111,1112,618,642
1060,1061,616,619
1069,1070,584,623
1120,1121,582,643
1169,1170,591,666
1170,1171,622,669
1326,1327,922,733
1523,1524,600,821
1488,1489,579,814
1496,1497,620,812
1430,1431,591,782
1557,1558,617,837
2344,2345,344,1282
2345,2346,370,1286
2325,2326,296,1272
2303,2304,332,1252
2283,2284,360,1237
60,61,824,64
78,79,818,84
42,43,803,45
212,213,993,194
246,247,1005,210
190,191,1010,174
137,138,1039,135
146,147,1011,143
106,107,899,109
394,395,873,302
397,398,967,306
464,465,958,339
420,421,948,316
392,393,948,299
174,175,867,165
68,69,1121,71
27,28,1120,30
43,44,1139,45
29,30,1097,31
62,63,1151,64
1439,1440,755,786
1399,1400,754,768
1502,1503,747,816
1482,1483,762,803
1525,1526,728,820
1452,1453,738,791
2093,2094,919,1090
2060,2061,907,1067
2284,2285,650,1238
2304,2305,660,1253
1995,1996,1489,1040
1659,1660,1244,879
1584,1585,1284,848
1551,1552,1314,832
1553,1554,1346,833
1578,1579,1359,845
1621,1622,1320,861
1711,1712,1248,902
1903,1904,1254,993
1826,1827,1247,952
1759,1760,1251,924
1870,1871,1253,976
1765,1766,1618,928
1754,1755,1227,924
1536,1537,1194,827
1500,1501,1213,807
1341,1342,1273,738
806,807,918,503
812,813,932,510
1107,1108,1043,639
1254,1255,1241,705
1093,1094,1291,636
954,955,1227,573
859,860,1240,531
920,921,1250,560
765,766,865,487
811,812,876,510
981,982,738,588
912,913,715,559
955,956,697,574
1047,1048,717,613
997,998,689,594
1039,1040,696,612
699,700,597,458
300,301,767,239
327,328,781,256
374,375,784,287
388,389,827,298
635,636,711,429
584,585,693,406
671,672,712,445
716,717,673,463
984,985,989,586
959,960,1003,577
1010,1011,994,602
1030,1031,977,608
999,1000,956,595
890,891,1066,546
851,852,1071,526
652,653,1537,436
1292,1293,1747,717
1236,1237,1739,694
1195,1196,1773,678
1322,1323,1775,730
1770,1771,1784,931
1675,1676,1771,889
1661,1662,1752,880
1736,1737,1752,915
1380,1381,1893,758
1344,1345,1912,743
1800,1801,1801,946
1726,1727,1879,909
1700,1701,1847,898
1774,1775,1866,925
1949,1950,1812,1012
1961,1962,1791,1016
1537,1538,1372,827
1510,1511,1427,818
1448,1449,1434,787
1400,1401,1420,771
1262,1263,1457,707
1223,1224,1442,689
864,865,1206,534
867,868,1137,537
418,419,1114,314
637,638,1187,430
695,696,1189,456
1027,1028,1209,608
960,961,1188,577
1250,1251,1339,700
1249,1250,1319,701
1222,1223,1366,689
809,810,1591,505
234,235,1224,204
336,337,1184,261
267,268,1219,221
159,160,1048,154
343,344,1136,267
642,643,1508,431
632,633,1523,426
646,647,1482,436
555,556,1409,394
524,525,1385,373
526,527,1419,377
598,599,1395,413
650,651,1339,435
691,692,1309,454
458,459,1187,337
511,512,1348,366
1985,1986,1778,1034
2026,2027,1675,1054
1899,1900,1691,991
2017,2018,1765,1048
1850,1851,1620,969
2034,2035,1137,1058
2038,2039,1116,1060
2067,2068,1110,1075
2154,2155,1103,1131
2164,2165,1083,1139
2097,2098,1117,1093
2103,2104,1102,1098
2073,2074,1159,1082
2052,2053,1199,1066
2039,2040,1239,1062
2051,2052,1174,1064
2359,2360,1313,1296
2293,2294,1323,1242
2223,2224,1273,1176
2141,2142,1294,1121
2522,2523,1109,1426
2296,2297,1191,1244
2183,2184,1160,1149
2511,2512,1497,1419
2491,2492,1478,1401
2512,2513,1525,1413
2406,2407,1411,1342
2536,2537,1420,1435
2531,2532,1378,1435
1462,1463,380,795
1308,1309,397,730
1413,1414,454,774
1420,1421,478,779
298,299,426,239
285,286,377,233
323,324,384,254
244,245,398,209
321,322,438,253
299,300,474,239
401,402,587,304
279,280,509,231
727,728,411,470
687,688,391,455
656,657,400,439
819,820,427,513
915,916,479,558
761,762,431,489
754,755,553,482
581,582,620,403
573,574,646,400
551,552,681,387
1421,1422,534,775
1409,1410,557,770
1398,1399,578,769
1145,1146,572,657
2346,2347,422,1297
2451,2452,391,1372
2485,2486,376,1397
1359,1360,899,747
1353,1354,800,746
1173,1174,843,665
943,944,844,572
1117,1118,873,643
1080,1081,906,631
1343,1344,853,740
2,3,852,3
18,19,854,14
76,77,866,81
194,195,983,176
114,115,1044,114
46,47,1042,49
56,57,1011,60
94,95,1033,101
33,34,964,32
11,12,968,10
428,429,1000,320
376,377,1031,293
363,364,1006,279
378,379,986,291
429,430,1030,323
453,454,1009,335
446,447,980,331
237,238,955,204
249,250,932,213
128,129,886,129
1581,1582,1582,846
1575,1576,1608,847
1689,1690,1638,893
1696,1697,1620,898
1614,1615,1638,863
1645,1646,1612,876
1328,1329,1222,732
1443,1444,1236,789
1459,1460,1193,793
1040,1041,922,610
953,954,891,574
848,849,916,528
845,846,946,524
1103,1104,1242,639
1123,1124,1227,646
1163,1164,1285,661
1119,1120,1270,643
1194,1195,1272,677
1213,1214,1287,686
1211,1212,1306,682
1020,1021,1248,605
1063,1064,1269,620
1066,1067,1246,622
1073,1074,1222,624
992,993,1217,591
881,882,752,543
877,878,729,539
886,887,781,541
932,933,740,566
704,705,1069,457
741,742,1082,475
766,767,1542,491
749,750,1528,479
815,816,1550,511
780,781,1564,493
723,724,1550,466
1745,1746,1807,919
1402,1403,1855,771
1441,1442,1883,785
1864,1865,1772,974
1885,1886,1787,981
919,920,1731,559
1394,1395,1381,767
1390,1391,1404,764
1429,1430,1390,782
1354,1355,1392,745
1403,1404,1469,770
1440,1441,1472,785
1367,1368,1449,751
1397,1398,1450,770
1374,1375,1467,756
1321,1322,1430,730
1329,1330,1449,733
1342,1343,1476,740
436,437,1212,326
431,432,1183,323
386,387,1190,297
408,409,1226,309
359,360,1220,276
1130,1131,1295,653
921,922,1614,562
862,863,1582,534
856,857,1598,527
817,818,1573,510
897,898,1601,549
255,256,1049,213
220,221,1079,196
197,198,1196,179
209,210,1213,191
223,224,1167,197
240,241,1196,208
287,288,1194,232
568,569,1435,399
517,518,1435,368
742,743,1292,476
659,660,1292,440
794,795,1297,501
585,586,1192,405
481,482,1214,351
564,565,1320,392
2048,2049,1660,1069
2095,2096,1588,1090
1996,1997,1648,1040
2016,2017,1660,1045
2054,2055,1728,1064
2070,2071,1777,1080
2090,2091,1757,1088
2055,2056,1761,1065
1832,1833,1227,960
1889,1890,1229,986
1790,1791,1221,940
1974,1975,1222,1026
1931,1932,1215,1004
2008,2009,1211,1042
1963,1964,1240,1019
1994,1995,1249,1041
2367,2368,1354,1305
2297,2298,1363,1246
2355,2356,1340,1293
2165,2166,1241,1137
2189,2190,1230,1154
2173,2174,1216,1143
2120,2121,1243,1111
2147,2148,1272,1124
2208,2209,1303,1164
2218,2219,1289,1172
2191,2192,1312,1154
2180,2181,1271,1150
2275,2276,1218,1229
2197,2198,1113,1158
2190,2191,1141,1152
2172,2173,1113,1144
2210,2211,1132,1168
2233,2234,1135,1185
2155,2156,1546,1133
2122,2123,1562,1112
2199,2200,1537,1158
2040,2041,1534,1060
2071,2072,1523,1077
2045,2046,1499,1058
2465,2466,1476,1381
2307,2308,1445,1252
2340,2341,1668,1278
2474,2475,1517,1389
2376,2377,1387,1310
2365,2366,1368,1308
2392,2393,1413,1322
2301,2302,1391,1249
2326,2327,1438,1272
2306,2307,1422,1252
1318,1319,464,729
1355,1356,492,746
1325,1326,440,733
370,371,503,285
345,346,483,268
332,333,459,258
732,733,465,473
737,738,497,475
776,777,448,496
734,735,436,471
702,703,553,459
501,502,617,359
425,426,595,320
432,433,572,323
1352,1353,557,746
1217,1218,558,687
1340,1341,541,738
1242,1243,536,699
1234,1235,475,697
1271,1272,507,711
1241,1242,448,700
1007,1008,837,600
1053,1054,815,616
935,936,823,567
1183,1184,893,678
1148,1149,890,656
1187,1188,914,670
1182,1183,870,674
1297,1298,891,720
1383,1384,845,762
1371,1372,868,755
1456,1457,804,792
1423,1424,780,778
1385,1386,802,764
1410,1411,830,772
1457,1458,824,792
10,11,880,11
26,27,861,28
49,50,850,51
50,51,910,49
52,53,891,56
67,68,854,70
85,86,922,91
53,54,928,55
51,52,964,52
230,231,905,204
2077,2078,850,1081
2109,2110,1462,1104
