,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 840)",0,0,3,1,2,1,0
"('cell', 348)",0,0,3,0,2,0,0
"('cell', 334)",0,0,4,0,2,0,0
"('cell', 305)",0,0,5,0,2,0,0
"('cell', 503)",0,0,0,1,0,0,0
"('cell', 444)",0,0,2,1,0,0,0
"('cell', 464)",0,0,1,0,0,0,0
"('cell', 504)",0,1,0,1,0,0,0
"('cell', 548)",0,0,1,0,0,0,0
"('cell', 593)",0,0,1,0,0,0,0
"('cell', 1192)",0,1,1,0,2,2,0
"('cell', 495)",0,0,0,1,0,0,0
"('cell', 55)",0,0,2,0,1,5,0
"('cell', 56)",0,0,2,0,0,9,0
"('cell', 1228)",0,0,0,0,1,3,1
"('cell', 1134)",0,0,2,0,0,6,0
"('cell', 1122)",0,0,2,0,0,3,0
"('cell', 979)",0,0,1,1,4,1,0
"('cell', 934)",0,0,1,1,3,1,0
"('cell', 854)",0,0,0,0,0,2,0
"('cell', 884)",0,0,0,0,0,1,0
"('cell', 847)",0,0,0,0,0,2,0
"('cell', 1940)",0,0,1,0,0,3,0
"('cell', 2251)",0,0,2,0,0,0,0
"('cell', 2258)",0,0,3,0,0,1,0
"('cell', 2263)",0,0,1,0,0,0,0
"('cell', 1350)",0,0,3,0,1,1,1
"('cell', 1388)",0,0,3,0,2,1,2
"('cell', 1208)",0,0,2,1,1,0,1
"('cell', 1302)",0,0,0,0,1,0,2
"('cell', 1234)",0,0,0,0,1,0,1
"('cell', 1549)",0,1,1,0,1,3,0
"('cell', 1541)",0,1,1,0,2,4,0
"('cell', 774)",0,0,0,4,0,0,0
"('cell', 732)",0,0,0,4,0,0,0
"('cell', 792)",0,0,1,4,0,1,0
"('cell', 1069)",0,0,1,0,0,1,0
"('cell', 1023)",0,0,1,1,0,1,0
"('cell', 859)",0,0,0,1,0,0,0
"('cell', 417)",0,0,0,1,0,0,0
"('cell', 401)",0,0,0,1,0,0,0
"('cell', 600)",0,0,1,3,0,0,0
"('cell', 457)",0,0,0,2,0,0,0
"('cell', 383)",0,0,0,2,0,0,0
"('cell', 576)",0,0,1,4,0,0,0
"('cell', 709)",0,0,1,0,0,0,0
"('cell', 706)",0,0,1,0,0,0,0
"('cell', 670)",0,0,1,0,0,0,0
"('cell', 757)",0,0,2,0,0,0,0
"('cell', 1092)",0,0,3,0,0,0,0
"('cell', 1093)",0,0,2,0,0,0,0
"('cell', 1046)",0,0,1,0,0,0,0
"('cell', 1058)",0,0,2,0,0,0,0
"('cell', 1089)",0,0,2,0,0,0,0
"('cell', 1123)",0,0,1,0,0,0,0
"('cell', 1158)",0,0,1,0,0,0,0
"('cell', 167)",0,0,0,2,0,0,0
"('cell', 136)",0,0,1,2,0,0,0
"('cell', 162)",0,0,0,1,0,0,0
"('cell', 188)",0,0,0,1,0,0,0
"('cell', 234)",0,0,0,2,0,0,0
"('cell', 253)",0,0,0,2,0,0,0
"('cell', 384)",0,0,0,1,0,0,0
"('cell', 908)",0,0,0,0,2,0,0
"('cell', 1482)",0,1,1,0,1,1,0
"('cell', 2300)",0,0,2,0,0,13,0
"('cell', 861)",0,0,1,0,2,0,0
"('cell', 990)",0,0,2,0,2,0,0
"('cell', 943)",0,0,1,0,2,0,0
"('cell', 1017)",0,0,1,0,2,0,0
"('cell', 1014)",0,0,2,1,3,0,0
"('cell', 1275)",0,0,1,1,0,0,0
"('cell', 1408)",0,0,1,0,0,0,0
"('cell', 1256)",0,0,1,1,0,0,0
"('cell', 1180)",0,0,1,1,0,0,0
"('cell', 1254)",0,0,1,1,0,0,0
"('cell', 1274)",0,0,1,0,0,0,0
"('cell', 1036)",0,0,1,0,2,0,0
"('cell', 989)",0,0,1,0,3,0,0
"('cell', 951)",0,0,0,0,1,0,0
"('cell', 972)",0,0,0,0,1,0,0
"('cell', 1498)",0,0,1,0,3,2,0
"('cell', 1520)",0,1,1,0,1,4,0
"('cell', 1382)",0,0,1,0,0,0,0
"('cell', 1546)",0,0,2,0,2,2,0
"('cell', 1439)",0,0,2,0,2,0,0
"('cell', 1530)",0,0,2,0,3,2,0
"('cell', 1499)",0,0,0,0,4,1,0
"('cell', 1525)",0,1,0,0,4,2,0
"('cell', 1469)",0,0,3,1,2,3,2
"('cell', 2289)",0,0,1,0,0,11,0
"('cell', 1946)",0,0,6,1,3,5,0
"('cell', 2435)",0,0,0,2,0,0,0
"('cell', 2375)",0,0,0,0,1,0,0
"('cell', 2362)",0,0,0,0,1,0,0
"('cell', 118)",0,0,0,3,0,0,0
"('cell', 90)",0,0,0,2,0,0,0
"('cell', 237)",0,0,1,0,0,0,0
"('cell', 284)",0,0,1,0,1,0,0
"('cell', 211)",0,0,1,0,0,0,0
"('cell', 246)",0,0,1,0,0,0,0
"('cell', 294)",0,0,0,1,0,0,0
"('cell', 511)",0,0,1,1,0,0,0
"('cell', 592)",0,0,2,1,0,0,0
