,ID,K,splsi_chaos,splsi_pas,splsi_morans,splsi_time,plsi_chaos,plsi_pas,plsi_morans,plsi_time,slda_chaos,slda_pas,slda_morans,slda_time
412,Charville_c003_v001_r001_reg012,3,0.9879208877847352,0.8084677419354839,0.7329028659308726,7.567398548126221,0.9883732738938302,0.7278225806451613,0.6366743421570381,0.017115116119384766,0.9882696360760748,0.689516129032258,0.5725955503554577,16.284721612930298
413,Charville_c003_v001_r001_reg012,5,0.9884738643870061,0.7540322580645161,0.6379135452283222,9.336378812789917,0.989143872771033,0.6350806451612903,0.6312881439472157,0.017274141311645508,0.9894936043196664,0.6310483870967742,0.42893332075265184,25.155068397521973
414,Charville_c003_v001_r001_reg013,2,0.9902900375210922,0.9259259259259259,0.844888917816909,5.306756019592285,0.9903922090684552,0.9135802469135803,0.8220485813352696,0.0326390266418457,0.9911207584638669,0.8477366255144033,0.7299182328250478,16.21456003189087
415,Charville_c003_v001_r001_reg013,3,0.990523309597054,0.8991769547325102,0.8522462523786807,10.251521587371826,0.9906463618690529,0.8847736625514403,0.8244787822766855,0.03290677070617676,0.9913470414720519,0.8240740740740741,0.7363258725858737,23.416533708572388
416,Charville_c003_v001_r001_reg013,5,0.991293603543108,0.8580246913580247,0.7682372559382749,13.128906965255737,0.991632011721936,0.7911522633744856,0.7356590037934128,0.033577919006347656,0.9923566115839856,0.7191358024691358,0.5475823030854027,35.714699506759644
417,Charville_c003_v001_r001_reg014,2,0.9904777731119352,0.859375,0.7049456662629718,12.285510063171387,0.9908997306558048,0.8114583333333334,0.6008283077104415,0.03304862976074219,0.9908509267281775,0.8041666666666667,0.5750736224243441,16.200242519378662
418,Charville_c003_v001_r001_reg014,3,0.99160213336299,0.7604166666666666,0.6989068940591807,13.067836999893188,0.9921011432580765,0.678125,0.6006409523643653,0.03356432914733887,0.9922085174111552,0.6447916666666667,0.4939536595340692,23.876986026763916
419,Charville_c003_v001_r001_reg014,5,0.9920646101087452,0.715625,0.6529007837558184,14.70524787902832,0.9925969554588405,0.6354166666666667,0.551189481501824,0.03354072570800781,0.9930836589731906,0.55,0.3769339510435769,36.34114336967468
420,Charville_c003_v001_r001_reg015,2,0.9889087283455947,0.918,0.797580654539595,8.204245567321777,0.9893626073679495,0.886,0.7243357759477927,0.027838706970214844,0.9898998893432324,0.802,0.5841437203146321,16.479204416275024
421,Charville_c003_v001_r001_reg015,3,0.9900136970782304,0.798,0.6399032908625366,8.988292455673218,0.9903071748718237,0.767,0.6098961923926006,0.03355050086975098,0.9903875244600224,0.75,0.6448630005534032,23.29644799232483
422,Charville_c003_v001_r001_reg015,5,0.9901681410468365,0.772,0.6397298645874221,22.041267156600952,0.9908213469081122,0.7110000000000001,0.6206873664725684,0.03424572944641113,0.9916079012471628,0.63,0.5185385901626074,37.15371036529541
423,Charville_c003_v001_r001_reg018,2,0.9895547860618383,0.9001798561151079,0.8091473082415873,24.615798711776733,0.9898466615990367,0.8839928057553956,0.770523566284659,0.039224863052368164,0.989987995587406,0.849820143884892,0.7172778951605779,18.80448293685913
424,Charville_c003_v001_r001_reg018,3,0.9898022249145167,0.8741007194244604,0.804463776273826,24.495490550994873,0.9903313296839789,0.8345323741007195,0.7577945495724654,0.04101204872131348,0.9910631546015899,0.724820143884892,0.6874029564046166,26.635421991348267
425,Charville_c003_v001_r001_reg018,5,0.9906487665465731,0.8057553956834532,0.7071380928683668,25.13848042488098,0.9910923456147052,0.7122302158273381,0.5716435594284117,0.043015241622924805,0.9917152604771999,0.6232014388489209,0.5926558402487503,41.70879340171814
426,Charville_c003_v001_r001_reg019,2,0.9925241789164299,0.8541300527240774,0.7002116488280294,14.53740668296814,0.9926004227006896,0.8447568834212068,0.6559965168830715,0.05714845657348633,0.9929736864954707,0.7920328060925601,0.5829510619553556,25.381206274032593
427,Charville_c003_v001_r001_reg019,3,0.9929000859564259,0.8031634446397188,0.7187279048341959,15.01722526550293,0.9931276994660768,0.7691857059168131,0.6595023787911977,0.060201406478881836,0.9932680056080806,0.7486818980667838,0.5851671048090278,36.532405376434326
428,Charville_c003_v001_r001_reg019,5,0.9934693910065904,0.7311072056239016,0.6177293994620157,31.405667066574097,0.9939976196361372,0.6367896895137668,0.5115752153208927,0.05960345268249512,0.993651082217915,0.6889279437609842,0.5797207280189205,58.46170401573181
429,Charville_c003_v001_r001_reg020,2,0.9911751554577667,0.9532846715328467,0.8730253862178926,11.605695962905884,0.9914113912580037,0.9204379562043795,0.8217914153008774,0.04358482360839844,0.99189380000637,0.8598540145985402,0.6973139365797779,20.89076590538025
430,Charville_c003_v001_r001_reg020,3,0.9914642641451428,0.908029197080292,0.7951828266876475,28.125096321105957,0.9918412305130491,0.8562043795620438,0.7083547364073101,0.04400825500488281,0.9926282658675288,0.7649635036496351,0.6054199399021488,31.604494094848633
431,Charville_c003_v001_r001_reg020,5,0.9916523801005589,0.8912408759124087,0.783897235876152,30.494216442108154,0.9920831715110676,0.8350364963503649,0.7566766798755685,0.05349421501159668,0.9928460464587063,0.727007299270073,0.7157024638205244,48.6255316734314
432,Charville_c003_v001_r001_reg021,2,0.9908383983605308,0.8798521256931608,0.7773935566895024,16.17822551727295,0.9909650244393299,0.8715341959334566,0.7507991558277873,0.037837982177734375,0.9911426145212617,0.8539741219963032,0.722256149358932,17.059617042541504
433,Charville_c003_v001_r001_reg021,3,0.9911439201920393,0.8410351201478743,0.8138146817314194,16.4080650806427,0.9914282760807959,0.8012939001848429,0.7173126132951809,0.03541421890258789,0.9913510097830234,0.8012939001848429,0.6974346784068328,24.753517866134644
434,Charville_c003_v001_r001_reg021,5,0.9916358816663399,0.7781885397412199,0.6982689488734977,16.349936723709106,0.9920066942152928,0.7153419593345656,0.6573520206448922,0.039281368255615234,0.9922369316064829,0.688539741219963,0.6404252989691066,39.332749128341675
435,Charville_c003_v001_r001_reg022,2,0.9847612840477317,0.9444444444444444,0.6586483200855037,5.432551145553589,0.9851342231367426,0.7946859903381642,0.42485713987245644,0.014603376388549805,0.9864200482229761,0.78743961352657,0.47007954440952604,9.51900053024292
436,Charville_c003_v001_r001_reg022,3,0.9856383406568241,0.8985507246376812,0.7778028332993486,4.952762603759766,0.9874611312764212,0.644927536231884,0.41925644542111,0.014569997787475586,0.9891125242878784,0.606280193236715,0.36787633991106744,14.218791484832764
