,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 132)",0,1,2,3,0,0,0
"('cell', 74)",0,2,0,0,0,0,0
"('cell', 48)",0,1,0,0,0,0,0
"('cell', 22)",0,1,0,0,0,0,0
"('cell', 730)",0,0,2,0,2,1,0
"('cell', 2276)",0,0,0,0,2,7,0
"('cell', 2179)",0,0,1,0,2,8,0
"('cell', 1063)",0,0,4,3,1,0,1
"('cell', 1099)",0,0,5,2,1,1,1
"('cell', 1108)",0,0,2,3,1,0,1
"('cell', 1013)",0,0,4,1,0,0,1
"('cell', 1)",0,1,1,0,0,1,0
"('cell', 185)",0,1,4,5,0,2,0
"('cell', 35)",0,1,1,0,0,1,0
"('cell', 24)",0,2,3,0,0,4,0
"('cell', 1014)",0,0,3,1,1,1,1
"('cell', 958)",0,0,1,0,1,1,1
"('cell', 678)",0,2,0,0,0,1,0
"('cell', 719)",0,2,3,0,0,2,0
"('cell', 799)",0,0,0,0,0,2,0
"('cell', 557)",0,0,0,1,0,0,0
"('cell', 664)",0,0,2,0,0,5,0
"('cell', 611)",0,0,1,0,0,3,0
"('cell', 512)",0,0,0,1,0,0,0
"('cell', 1667)",0,0,4,0,2,7,2
"('cell', 1658)",0,0,3,0,0,14,0
"('cell', 1045)",0,0,0,2,0,0,0
"('cell', 1092)",0,0,0,2,0,4,0
"('cell', 2812)",0,0,2,0,1,3,0
"('cell', 2836)",0,0,3,0,2,3,0
"('cell', 1950)",0,0,3,0,0,0,0
"('cell', 1094)",0,0,5,1,1,1,1
"('cell', 1480)",0,0,11,3,2,6,1
"('cell', 1662)",0,0,8,1,0,3,1
"('cell', 1579)",0,0,8,3,1,3,1
"('cell', 2395)",0,0,0,1,1,1,3
"('cell', 2096)",0,0,5,1,0,0,0
"('cell', 2154)",0,0,5,1,1,0,1
"('cell', 2078)",0,0,6,1,0,0,0
"('cell', 2001)",0,0,4,0,0,1,0
"('cell', 67)",0,1,5,0,0,4,0
"('cell', 71)",0,2,0,0,0,0,0
"('cell', 647)",0,0,3,0,1,1,0
"('cell', 493)",0,2,3,1,3,3,0
"('cell', 534)",0,2,2,2,2,3,0
"('cell', 608)",0,2,0,2,0,3,0
"('cell', 702)",0,0,0,0,0,2,0
"('cell', 584)",0,0,0,1,0,1,0
"('cell', 766)",0,0,0,0,0,2,0
"('cell', 642)",0,0,0,0,0,3,0
"('cell', 835)",0,0,0,0,0,1,0
"('cell', 1501)",0,0,0,0,0,13,0
"('cell', 1131)",0,0,0,1,0,5,0
"('cell', 2619)",0,0,0,3,5,5,0
"('cell', 2556)",0,0,1,5,3,1,0
"('cell', 2599)",0,0,1,5,4,1,0
"('cell', 2304)",0,0,2,3,0,7,0
"('cell', 1703)",0,0,1,0,0,14,0
"('cell', 1135)",0,0,0,2,0,8,0
"('cell', 2808)",0,0,1,0,3,1,0
"('cell', 2795)",0,0,2,0,1,2,0
"('cell', 2782)",0,0,2,0,1,1,0
"('cell', 2603)",0,0,5,0,0,6,1
"('cell', 2632)",0,0,4,0,0,2,1
"('cell', 2316)",0,0,1,1,2,3,2
"('cell', 2763)",0,0,3,1,2,8,1
"('cell', 2841)",0,0,3,1,0,4,1
"('cell', 2655)",0,0,3,0,1,8,1
"('cell', 2822)",0,0,2,1,0,4,0
"('cell', 2793)",0,0,2,0,0,5,0
"('cell', 2746)",0,0,3,1,1,7,1
"('cell', 2790)",0,0,3,3,1,3,0
"('cell', 2799)",0,0,3,2,0,2,0
"('cell', 2714)",0,0,3,1,1,4,2
"('cell', 2818)",0,0,1,1,1,5,3
"('cell', 2766)",0,0,2,0,1,2,0
"('cell', 2255)",0,0,3,1,1,4,1
"('cell', 1360)",0,0,9,3,0,4,1
"('cell', 1902)",0,0,6,1,0,1,1
"('cell', 1986)",0,0,2,3,0,0,1
"('cell', 1884)",0,0,6,5,0,2,1
"('cell', 2003)",0,0,2,4,0,2,1
"('cell', 2347)",0,0,0,2,1,1,3
"('cell', 1939)",0,0,2,8,0,0,1
"('cell', 2302)",0,0,3,1,1,3,0
"('cell', 2267)",0,0,2,2,3,7,3
"('cell', 2357)",0,0,3,1,1,4,1
"('cell', 2353)",0,0,3,1,2,4,0
"('cell', 2348)",0,0,1,2,3,3,3
"('cell', 2428)",0,0,0,1,2,2,3
"('cell', 1618)",0,0,5,1,0,9,2
"('cell', 1747)",0,0,2,1,1,2,2
"('cell', 1400)",0,0,2,0,2,0,1
"('cell', 1765)",0,0,2,0,0,4,2
"('cell', 1959)",0,0,1,0,0,1,0
"('cell', 1949)",0,0,3,0,0,0,0
"('cell', 657)",0,2,2,0,0,4,0
"('cell', 767)",0,1,3,1,1,5,0
"('cell', 75)",0,2,6,1,0,4,0
"('cell', 103)",0,2,0,0,0,0,0
"('cell', 53)",0,2,0,0,0,0,0
"('cell', 42)",0,1,0,0,0,0,0
"('cell', 122)",0,0,3,0,0,0,0
"('cell', 150)",0,1,1,0,0,2,0
"('cell', 120)",0,1,3,3,0,0,0
"('cell', 81)",0,1,1,0,0,0,0
"('cell', 90)",0,1,4,1,0,1,0
"('cell', 60)",0,1,3,0,0,1,0
"('cell', 41)",0,1,0,0,0,0,0
"('cell', 30)",0,1,0,0,0,0,0
"('cell', 905)",0,0,2,1,4,1,1
"('cell', 962)",0,0,3,1,0,1,1
"('cell', 968)",0,0,1,0,1,1,1
"('cell', 1011)",0,0,6,1,0,1,1
"('cell', 956)",0,0,5,1,3,1,1
"('cell', 1029)",0,0,7,1,1,1,1
"('cell', 1052)",0,0,7,1,0,3,1
"('cell', 934)",0,0,9,3,0,0,0
"('cell', 803)",0,0,11,3,1,4,0
"('cell', 757)",0,1,2,0,0,3,0
"('cell', 710)",0,1,2,0,0,2,0
"('cell', 263)",0,0,4,4,2,5,0
"('cell', 868)",0,0,0,0,0,2,1
"('cell', 1585)",0,0,0,0,0,3,2
