,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 791)",0,1,0,0,0,0,0
"('cell', 10)",0,0,1,0,0,0,0
"('cell', 16)",0,0,0,2,0,0,0
"('cell', 605)",0,1,0,0,0,0,0
"('cell', 538)",0,0,0,0,1,1,0
"('cell', 514)",0,0,0,0,1,0,0
"('cell', 528)",0,0,0,0,1,0,0
"('cell', 555)",0,1,0,0,1,0,0
"('cell', 529)",0,0,0,0,1,0,0
"('cell', 552)",0,0,0,0,1,0,0
"('cell', 14)",0,0,1,0,0,0,0
"('cell', 1169)",0,0,3,0,2,10,0
"('cell', 623)",0,1,0,0,0,0,0
"('cell', 24)",0,1,1,0,0,0,0
"('cell', 1005)",0,0,1,0,0,9,1
"('cell', 12)",0,0,0,1,0,0,0
"('cell', 31)",0,1,0,1,0,0,0
"('cell', 34)",0,1,1,0,0,0,0
"('cell', 26)",0,0,1,1,0,0,0
"('cell', 792)",0,0,3,0,2,11,0
"('cell', 622)",0,1,0,0,0,0,0
"('cell', 473)",0,0,0,0,1,0,0
"('cell', 875)",0,1,0,0,0,0,0
"('cell', 891)",0,1,0,0,0,0,0
"('cell', 840)",0,1,0,0,0,0,0
"('cell', 831)",0,1,0,0,0,0,0
"('cell', 392)",0,4,2,0,0,0,1
"('cell', 378)",0,4,5,0,2,0,1
"('cell', 222)",0,5,0,0,0,0,0
"('cell', 185)",0,7,0,0,0,0,0
"('cell', 160)",0,3,0,0,0,0,0
"('cell', 6)",0,0,0,1,0,0,0
"('cell', 7)",0,0,0,1,0,0,0
"('cell', 101)",0,2,0,1,0,0,0
"('cell', 68)",0,1,0,1,0,0,0
"('cell', 592)",0,3,0,0,4,1,0
"('cell', 123)",0,0,2,1,0,1,0
"('cell', 85)",0,0,2,2,0,1,0
"('cell', 91)",0,0,0,5,0,0,0
"('cell', 93)",0,0,0,4,0,0,0
"('cell', 39)",0,0,0,1,0,0,0
"('cell', 1854)",0,1,4,0,2,1,0
"('cell', 1297)",0,0,3,0,0,11,0
"('cell', 1726)",0,0,2,0,3,10,0
"('cell', 750)",0,1,0,0,0,0,0
"('cell', 136)",0,0,1,0,3,11,0
"('cell', 206)",0,0,2,0,0,10,0
"('cell', 225)",0,0,2,0,1,8,0
"('cell', 1179)",0,1,1,0,3,1,0
"('cell', 1213)",0,1,1,0,3,0,0
"('cell', 524)",0,0,0,0,0,13,0
"('cell', 1040)",0,0,3,0,3,11,0
"('cell', 587)",0,0,0,0,1,1,0
"('cell', 603)",0,0,0,0,2,1,0
"('cell', 566)",0,0,0,0,1,1,0
"('cell', 585)",0,0,0,0,1,0,0
"('cell', 21)",0,0,0,1,0,0,0
"('cell', 23)",0,1,0,1,0,0,0
"('cell', 15)",0,0,0,1,0,0,0
"('cell', 5)",0,0,1,1,0,0,0
"('cell', 35)",0,0,1,1,0,0,0
"('cell', 11)",0,0,1,1,0,0,0
"('cell', 30)",0,0,0,1,0,0,0
"('cell', 8)",0,0,0,1,0,0,0
"('cell', 421)",0,3,2,0,2,0,1
"('cell', 399)",0,2,4,0,2,0,1
"('cell', 66)",0,3,0,0,2,0,0
"('cell', 94)",0,4,0,0,1,0,1
"('cell', 47)",0,2,0,0,2,1,0
"('cell', 117)",0,4,0,0,0,0,1
"('cell', 125)",0,4,0,0,3,1,1
"('cell', 42)",0,1,0,0,0,0,0
"('cell', 57)",0,2,0,0,0,0,0
"('cell', 46)",0,3,0,0,1,0,0
"('cell', 18)",0,0,0,1,0,0,0
"('cell', 64)",0,1,0,1,0,0,0
"('cell', 89)",0,2,0,0,0,0,0
"('cell', 147)",0,3,0,1,0,0,0
"('cell', 1344)",0,5,0,0,0,0,0
"('cell', 1385)",0,3,0,0,0,0,0
"('cell', 1292)",0,1,4,0,1,3,0
"('cell', 616)",0,3,0,0,2,1,0
"('cell', 559)",0,1,0,0,4,1,0
"('cell', 372)",0,0,4,0,4,8,0
"('cell', 107)",0,0,1,2,1,1,0
"('cell', 37)",0,0,1,5,0,0,0
"('cell', 25)",0,0,0,5,0,0,0
"('cell', 22)",0,0,1,4,1,1,0
"('cell', 13)",0,1,0,1,0,0,0
"('cell', 78)",0,0,0,2,0,0,0
"('cell', 56)",0,0,0,2,0,0,0
"('cell', 28)",0,0,0,1,0,0,0
"('cell', 69)",0,0,2,4,0,0,0
"('cell', 112)",0,0,2,1,0,0,0
"('cell', 90)",0,0,1,3,0,0,0
"('cell', 67)",0,0,0,4,0,0,0
"('cell', 59)",0,1,0,1,0,0,0
"('cell', 55)",0,0,0,1,0,0,0
"('cell', 976)",0,0,0,0,3,8,0
"('cell', 938)",0,0,2,0,3,7,0
"('cell', 1156)",0,0,1,0,0,9,0
"('cell', 427)",0,0,0,1,0,0,0
"('cell', 195)",0,5,0,0,0,0,0
"('cell', 1831)",0,0,3,0,2,5,0
"('cell', 1506)",0,0,4,0,4,14,0
"('cell', 1375)",0,1,0,0,0,0,0
"('cell', 1270)",0,1,0,0,0,0,0
"('cell', 1189)",0,0,2,0,0,14,0
"('cell', 1815)",0,1,2,0,0,1,0
"('cell', 1813)",0,1,1,0,0,1,0
"('cell', 1788)",0,1,1,0,0,0,0
"('cell', 1761)",0,3,1,0,0,0,0
"('cell', 1749)",0,3,0,0,0,0,0
"('cell', 1767)",0,3,4,0,0,2,0
"('cell', 1748)",0,3,4,0,1,1,0
"('cell', 1758)",0,3,4,0,0,0,0
"('cell', 1725)",0,1,5,0,2,2,0
"('cell', 1847)",0,0,2,0,0,1,0
"('cell', 1172)",0,0,1,0,1,9,0
"('cell', 1038)",0,0,1,0,4,14,0
"('cell', 1774)",0,0,1,0,0,12,0
"('cell', 1607)",0,0,6,0,1,8,0
"('cell', 1406)",0,0,4,0,3,12,0
"('cell', 1688)",0,0,6,0,0,9,0
"('cell', 1429)",0,1,2,0,1,4,0
"('cell', 1601)",0,0,8,0,3,10,0
"('cell', 1620)",0,0,1,0,2,7,0
"('cell', 1677)",0,0,2,0,2,9,0
"('cell', 1816)",0,0,3,0,3,6,0
"('cell', 1852)",0,0,4,0,3,4,0
"('cell', 1857)",0,0,8,0,0,1,0
"('cell', 1282)",0,0,1,0,0,12,0
"('cell', 1281)",0,0,4,0,0,9,0
"('cell', 1338)",0,0,2,0,3,9,0
"('cell', 689)",0,1,0,0,0,0,0
"('cell', 703)",0,1,0,0,0,0,0
"('cell', 659)",0,1,0,0,0,0,0
"('cell', 708)",0,1,0,0,0,0,0
"('cell', 254)",0,1,1,0,1,17,0
"('cell', 798)",0,0,2,0,4,2,0
"('cell', 852)",0,0,1,0,2,0,0
"('cell', 624)",0,0,0,0,3,2,0
"('cell', 645)",0,0,0,0,2,2,0
"('cell', 433)",0,0,1,0,0,14,0
"('cell', 361)",0,5,4,0,1,2,1
"('cell', 181)",0,2,1,0,3,3,1
"('cell', 156)",0,2,0,0,3,1,1
"('cell', 184)",0,6,0,0,0,0,0
"('cell', 220)",0,8,0,0,0,0,0
"('cell', 236)",0,9,0,0,0,0,0
"('cell', 109)",0,3,0,0,0,0,0
"('cell', 98)",0,2,0,0,0,0,0
"('cell', 133)",0,2,1,0,4,3,1
"('cell', 77)",0,2,0,0,2,1,0
"('cell', 33)",0,0,0,1,0,0,0
"('cell', 29)",0,0,0,1,0,0,0
"('cell', 86)",0,3,0,1,0,0,0
"('cell', 122)",0,3,0,1,0,0,0
"('cell', 103)",0,3,0,1,0,0,0
"('cell', 95)",0,3,0,1,0,0,0
"('cell', 81)",0,2,0,1,0,0,0
"('cell', 51)",0,1,0,1,0,0,0
"('cell', 52)",0,0,0,1,0,0,0
"('cell', 80)",0,1,0,0,0,0,0
"('cell', 60)",0,1,0,0,0,0,0
"('cell', 41)",0,1,0,0,0,0,0
"('cell', 506)",0,2,0,0,1,2,0
"('cell', 527)",0,1,0,0,4,3,0
"('cell', 1397)",0,2,2,0,0,0,0
"('cell', 1371)",0,2,0,0,0,0,0
"('cell', 1421)",0,1,3,0,0,1,0
"('cell', 1399)",0,2,1,0,0,1,0
"('cell', 1327)",0,3,0,0,0,0,0
"('cell', 1347)",0,4,0,0,0,0,0
"('cell', 1430)",0,2,0,0,2,2,0
"('cell', 1455)",0,0,1,0,3,3,0
"('cell', 1444)",0,3,1,0,4,4,0
"('cell', 1422)",0,2,1,0,0,2,0
"('cell', 1305)",0,1,2,0,0,2,0
"('cell', 1212)",0,0,4,0,2,11,0
"('cell', 1334)",0,1,0,0,0,0,0
"('cell', 1364)",0,2,1,0,0,0,0
"('cell', 1343)",0,2,0,0,0,0,0
"('cell', 654)",0,2,0,0,0,0,0
"('cell', 581)",0,1,0,0,2,0,0
"('cell', 510)",0,1,4,0,5,3,0
"('cell', 487)",0,0,3,0,5,5,0
"('cell', 466)",0,1,3,0,2,8,0
"('cell', 252)",0,0,2,0,7,5,0
"('cell', 231)",0,1,2,3,0,1,0
"('cell', 170)",0,3,0,3,0,0,0
"('cell', 199)",0,3,1,2,0,1,0
"('cell', 27)",0,0,0,3,0,0,0
"('cell', 36)",0,0,0,3,0,0,0
"('cell', 17)",0,0,0,5,0,0,0
"('cell', 45)",0,0,0,3,0,0,0
"('cell', 58)",0,0,2,5,0,0,0
"('cell', 71)",0,1,0,0,0,0,0
"('cell', 282)",0,6,0,0,0,0,1
"('cell', 247)",0,5,0,0,0,0,0
