,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 493)",0,0,0,0,0,1,0
"('cell', 1745)",0,0,0,6,0,0,0
"('cell', 494)",0,0,2,0,0,0,0
"('cell', 541)",0,0,1,0,0,1,0
"('cell', 512)",0,0,1,0,0,1,0
"('cell', 431)",0,0,1,0,0,0,0
"('cell', 479)",0,0,1,0,0,0,0
"('cell', 463)",0,0,1,0,0,0,0
"('cell', 1041)",0,0,0,3,0,0,1
"('cell', 1044)",0,0,0,1,0,0,1
"('cell', 1036)",0,0,1,2,0,0,1
"('cell', 711)",0,0,1,2,0,0,1
"('cell', 464)",0,0,1,1,0,0,0
"('cell', 521)",0,1,3,1,0,0,1
"('cell', 828)",0,0,0,1,0,0,1
"('cell', 661)",0,0,0,1,0,0,1
"('cell', 776)",0,0,1,4,0,0,2
"('cell', 1167)",0,0,1,5,0,0,1
"('cell', 1434)",0,0,1,4,0,0,1
"('cell', 1871)",0,0,0,0,0,3,0
"('cell', 1369)",0,0,6,5,0,0,0
"('cell', 1770)",0,0,0,7,0,0,1
"('cell', 1872)",0,0,0,2,0,0,0
"('cell', 1845)",0,0,0,6,0,0,0
"('cell', 1801)",0,0,0,5,0,0,1
"('cell', 1849)",0,0,0,7,0,0,0
"('cell', 1817)",0,0,0,6,0,0,1
"('cell', 1367)",0,0,0,0,1,0,1
"('cell', 410)",0,0,1,0,0,0,0
"('cell', 570)",0,1,1,0,0,1,1
"('cell', 585)",0,1,1,0,0,2,0
"('cell', 501)",0,1,2,0,0,0,1
"('cell', 377)",0,0,0,1,0,0,0
"('cell', 91)",0,0,0,0,0,1,1
"('cell', 121)",0,0,0,0,0,1,0
"('cell', 1065)",0,0,1,4,0,0,1
"('cell', 316)",0,1,0,2,0,1,0
"('cell', 335)",0,1,0,2,0,2,0
"('cell', 663)",0,0,0,0,0,0,1
"('cell', 476)",0,0,1,0,0,1,0
"('cell', 610)",0,0,0,0,0,1,1
"('cell', 1030)",0,0,2,0,0,0,1
"('cell', 1037)",0,0,2,0,0,0,0
"('cell', 1029)",0,0,0,2,0,0,1
"('cell', 1033)",0,0,0,3,0,0,1
"('cell', 854)",0,0,0,1,0,0,1
"('cell', 1085)",0,0,1,8,0,0,1
"('cell', 759)",0,0,1,3,0,0,2
"('cell', 567)",0,0,1,0,0,0,0
"('cell', 571)",0,0,2,0,0,0,0
"('cell', 154)",0,0,0,0,0,1,0
"('cell', 118)",0,0,0,0,0,1,0
"('cell', 66)",0,3,0,0,0,1,1
"('cell', 49)",0,2,0,0,0,1,2
"('cell', 8)",0,1,2,2,1,0,0
"('cell', 10)",0,1,4,2,1,0,0
"('cell', 475)",0,0,1,0,0,1,0
"('cell', 808)",0,0,0,0,0,0,1
"('cell', 763)",0,0,0,1,0,0,1
"('cell', 513)",0,0,1,1,0,1,0
"('cell', 844)",0,0,0,6,0,0,0
"('cell', 716)",0,0,0,2,0,0,2
"('cell', 992)",0,0,0,6,0,0,4
"('cell', 988)",0,0,0,7,0,0,4
"('cell', 1193)",0,1,0,6,0,0,4
"('cell', 1207)",0,0,0,6,0,0,2
"('cell', 1422)",0,0,1,5,0,0,1
"('cell', 1440)",0,0,1,3,0,0,0
"('cell', 1454)",0,0,1,4,0,0,1
"('cell', 1499)",0,0,0,2,0,0,1
"('cell', 1359)",0,0,0,5,0,0,1
"('cell', 1118)",0,0,0,2,0,0,1
"('cell', 1153)",0,0,0,4,0,0,1
"('cell', 1385)",0,0,0,7,0,0,1
"('cell', 1856)",0,1,0,0,0,1,0
"('cell', 1792)",0,2,0,0,0,0,0
"('cell', 1864)",0,1,0,0,0,1,0
"('cell', 1836)",0,0,0,0,0,2,0
"('cell', 1860)",0,0,0,0,0,1,0
"('cell', 1861)",0,0,0,0,0,1,0
"('cell', 1345)",0,0,1,9,0,0,2
"('cell', 1331)",0,0,1,6,0,0,4
"('cell', 1127)",0,0,1,7,0,0,1
"('cell', 1689)",0,0,0,4,0,0,0
"('cell', 1715)",0,0,0,6,0,0,1
"('cell', 1702)",0,0,0,3,0,0,1
"('cell', 1723)",0,0,0,4,0,0,1
"('cell', 1802)",0,0,0,6,0,0,0
"('cell', 1846)",0,0,0,3,0,0,0
"('cell', 1684)",0,0,0,6,0,0,0
"('cell', 1652)",0,0,2,5,1,0,0
"('cell', 1634)",0,0,3,3,1,0,0
"('cell', 1387)",0,1,3,3,0,0,0
"('cell', 1384)",0,1,3,4,0,0,0
"('cell', 1361)",0,1,3,6,0,0,1
"('cell', 1293)",0,0,1,0,2,0,0
"('cell', 1381)",0,0,0,0,1,0,1
"('cell', 1448)",0,0,2,1,0,0,0
"('cell', 1429)",0,0,2,1,0,0,0
"('cell', 1122)",0,0,0,1,1,2,0
"('cell', 809)",0,0,0,0,0,3,0
"('cell', 544)",0,0,1,0,0,2,0
"('cell', 1328)",0,0,0,0,1,0,0
"('cell', 1294)",0,0,0,0,2,0,0
"('cell', 1255)",0,0,0,0,2,0,0
"('cell', 1200)",0,0,0,0,0,2,0
"('cell', 620)",0,1,1,0,0,2,1
"('cell', 1625)",0,0,0,0,0,1,0
"('cell', 1535)",0,0,0,2,0,1,0
