,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2250)",0,0,0,0,4,2,3
"('cell', 1538)",0,0,3,1,0,1,0
"('cell', 1499)",0,0,2,1,0,2,0
"('cell', 1594)",0,0,1,1,0,1,0
"('cell', 861)",0,0,0,1,0,0,0
"('cell', 1372)",0,0,1,0,0,1,0
"('cell', 1348)",0,0,2,0,0,2,0
"('cell', 1294)",0,0,1,0,0,1,0
"('cell', 2065)",0,0,1,0,1,1,0
"('cell', 2044)",0,0,0,0,1,1,0
"('cell', 2106)",0,0,0,0,3,5,2
"('cell', 930)",0,0,0,3,0,0,0
"('cell', 871)",0,0,0,1,0,0,0
"('cell', 936)",0,0,0,5,0,0,0
"('cell', 901)",0,0,0,2,0,0,0
"('cell', 967)",0,0,0,7,0,0,0
"('cell', 984)",0,0,0,4,0,0,0
"('cell', 117)",0,0,0,0,0,0,2
"('cell', 243)",0,0,0,0,0,0,2
"('cell', 1660)",0,0,3,4,0,0,0
"('cell', 1590)",0,0,2,1,0,0,0
"('cell', 1498)",0,0,4,0,0,2,0
"('cell', 1537)",0,0,5,1,0,1,0
"('cell', 870)",0,0,0,2,0,0,0
"('cell', 830)",0,0,1,5,0,0,2
"('cell', 919)",0,1,1,3,0,0,1
"('cell', 879)",0,3,1,3,0,0,1
"('cell', 987)",0,0,1,3,0,0,3
"('cell', 1206)",0,0,0,1,0,0,3
"('cell', 1251)",0,0,0,0,0,0,2
"('cell', 921)",0,1,0,3,0,0,2
"('cell', 897)",0,4,0,2,0,0,2
"('cell', 894)",0,4,0,2,0,0,2
"('cell', 2151)",0,0,2,0,5,2,1
"('cell', 2148)",0,0,1,0,5,4,6
"('cell', 1893)",0,0,0,4,0,0,0
"('cell', 1920)",0,0,0,4,0,0,0
"('cell', 803)",0,0,1,3,0,0,1
"('cell', 1230)",0,0,0,8,0,0,1
"('cell', 1006)",0,0,0,7,0,0,0
"('cell', 1185)",0,0,0,8,0,0,1
"('cell', 1875)",0,0,5,0,1,1,0
"('cell', 942)",0,0,8,0,0,3,1
"('cell', 956)",0,0,2,1,0,2,2
"('cell', 991)",0,0,1,1,1,2,2
"('cell', 70)",0,0,0,0,0,1,1
"('cell', 85)",0,0,0,0,0,0,1
"('cell', 90)",0,0,0,0,0,1,1
"('cell', 94)",0,0,0,0,0,0,1
"('cell', 129)",0,0,0,0,0,0,2
"('cell', 147)",0,0,0,0,0,0,4
"('cell', 136)",0,0,0,0,0,0,4
"('cell', 118)",0,0,0,0,0,0,3
"('cell', 169)",0,0,0,2,0,0,4
"('cell', 151)",0,0,0,0,0,0,5
"('cell', 218)",0,0,0,1,0,0,4
"('cell', 346)",0,0,0,1,0,0,6
"('cell', 1579)",0,0,8,0,0,0,0
"('cell', 1576)",0,0,7,1,0,0,0
"('cell', 1592)",0,0,8,0,0,0,0
"('cell', 1618)",0,0,3,2,0,0,0
"('cell', 1543)",0,0,6,1,0,0,0
"('cell', 1585)",0,0,3,2,0,0,0
"('cell', 1593)",0,0,5,2,0,0,0
"('cell', 1606)",0,0,3,2,0,0,0
"('cell', 1408)",0,0,8,0,0,0,0
"('cell', 1220)",0,0,0,1,0,0,3
"('cell', 663)",0,1,4,0,0,0,0
"('cell', 651)",0,1,2,1,0,0,0
"('cell', 204)",0,0,3,0,3,1,0
"('cell', 898)",0,1,2,1,0,0,0
"('cell', 922)",0,1,2,2,0,0,1
"('cell', 873)",0,1,2,4,0,0,1
"('cell', 1207)",0,0,4,0,0,0,2
"('cell', 1088)",0,0,4,0,0,0,3
"('cell', 1381)",0,0,6,0,0,0,0
