,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 760)",0,2,2,0,1,2,0
"('cell', 592)",0,0,1,0,3,4,3
"('cell', 642)",0,1,3,0,2,4,1
"('cell', 978)",0,1,0,1,0,0,1
"('cell', 1749)",0,0,0,3,0,0,0
"('cell', 1470)",0,0,0,1,0,0,0
"('cell', 1422)",0,0,1,1,0,2,0
"('cell', 874)",0,2,0,0,0,0,1
"('cell', 828)",0,0,3,0,2,4,0
"('cell', 1945)",0,0,0,1,0,1,0
"('cell', 1911)",0,0,0,0,0,1,0
"('cell', 1826)",0,1,0,1,0,0,0
"('cell', 1904)",0,0,0,2,0,1,0
"('cell', 1879)",0,0,0,3,0,0,0
"('cell', 1770)",0,0,0,3,0,0,0
"('cell', 1800)",0,0,0,1,0,0,0
"('cell', 1741)",0,0,0,3,0,0,0
"('cell', 1478)",0,0,1,0,0,1,0
"('cell', 1438)",0,0,1,1,0,2,0
"('cell', 1590)",0,0,0,1,0,0,0
"('cell', 1563)",0,0,0,1,0,0,0
"('cell', 1617)",0,0,0,1,0,0,0
"('cell', 1390)",0,0,1,1,0,6,0
"('cell', 2009)",0,0,0,2,0,1,0
"('cell', 2036)",0,0,0,1,0,2,0
"('cell', 1984)",0,0,0,2,0,2,0
"('cell', 1944)",0,1,1,1,1,0,0
"('cell', 897)",0,3,0,0,0,0,1
"('cell', 968)",0,2,0,0,0,0,1
"('cell', 757)",0,2,4,0,0,4,0
"('cell', 797)",0,2,2,0,0,1,0
"('cell', 858)",0,3,0,0,0,0,0
"('cell', 297)",0,1,5,0,0,0,2
"('cell', 2016)",0,1,1,0,0,0,0
"('cell', 1978)",0,1,1,0,1,0,0
"('cell', 1887)",0,0,0,0,0,1,0
"('cell', 1931)",0,0,0,0,0,1,0
"('cell', 1942)",0,0,0,1,0,2,0
"('cell', 1859)",0,1,0,0,0,0,0
"('cell', 1906)",0,0,0,0,0,1,0
"('cell', 753)",0,0,1,4,0,2,0
"('cell', 777)",0,0,3,2,0,1,0
"('cell', 814)",0,0,2,1,0,2,0
"('cell', 823)",0,0,4,0,0,3,0
"('cell', 773)",0,0,2,4,0,0,0
"('cell', 1808)",0,0,0,3,0,0,0
"('cell', 1782)",0,0,0,3,0,0,0
"('cell', 1848)",0,0,0,2,0,0,0
"('cell', 1855)",0,0,0,3,0,0,0
"('cell', 1552)",0,0,1,0,0,1,0
"('cell', 1574)",0,0,1,0,0,1,0
"('cell', 1637)",0,0,0,1,0,0,0
"('cell', 1628)",0,0,0,1,0,0,0
"('cell', 1694)",0,0,0,1,0,0,0
"('cell', 1588)",0,0,0,1,0,0,0
"('cell', 1509)",0,0,1,0,0,8,0
"('cell', 1537)",0,0,0,0,0,3,0
"('cell', 1481)",0,0,1,0,0,3,0
"('cell', 1448)",0,0,1,0,0,11,0
"('cell', 1419)",0,0,1,1,0,8,0
"('cell', 2047)",0,1,1,0,0,0,0
"('cell', 1921)",0,0,0,0,0,2,0
"('cell', 1953)",0,0,0,2,0,3,0
"('cell', 1951)",0,1,1,8,0,0,0
"('cell', 1964)",0,1,1,4,0,0,0
"('cell', 907)",0,4,0,0,0,0,0
"('cell', 509)",0,1,0,4,0,0,0
"('cell', 798)",0,1,3,0,1,0,0
"('cell', 763)",0,1,5,0,1,4,0
"('cell', 1970)",0,0,2,10,0,0,0
"('cell', 1930)",0,0,2,13,0,0,0
"('cell', 1939)",0,0,2,16,0,0,0
"('cell', 1936)",0,0,1,11,0,0,0
"('cell', 1198)",0,0,1,1,0,1,0
"('cell', 743)",0,0,0,7,0,0,0
"('cell', 663)",0,0,0,2,0,1,1
"('cell', 1156)",0,0,2,2,2,2,0
"('cell', 850)",0,0,0,4,0,0,0
"('cell', 876)",0,0,1,0,0,0,0
"('cell', 2031)",0,0,0,3,0,0,0
"('cell', 1987)",0,0,0,4,0,0,0
"('cell', 2040)",0,0,0,6,0,0,0
"('cell', 1991)",0,1,0,1,0,0,0
"('cell', 2045)",0,1,0,0,0,0,0
"('cell', 788)",0,0,2,3,0,1,0
"('cell', 849)",0,0,7,0,0,2,0
"('cell', 820)",0,0,3,1,0,1,0
"('cell', 900)",0,0,2,0,1,2,0
"('cell', 864)",0,0,4,0,1,2,0
"('cell', 1207)",0,0,3,1,2,2,0
"('cell', 1227)",0,0,3,1,1,3,0
"('cell', 1172)",0,0,2,1,1,0,0
"('cell', 1154)",0,0,1,2,2,1,0
"('cell', 1196)",0,1,0,3,0,0,0
"('cell', 1226)",0,2,1,1,0,1,0
"('cell', 1598)",0,0,1,0,0,0,0
"('cell', 1623)",0,0,1,0,2,0,0
"('cell', 1352)",0,2,1,0,0,2,2
"('cell', 1843)",0,1,0,0,0,0,0
"('cell', 1854)",0,1,0,0,0,0,0
"('cell', 1853)",0,0,1,1,0,2,0
"('cell', 1878)",0,0,0,0,0,1,0
"('cell', 1916)",0,0,1,1,0,3,0
"('cell', 2025)",0,0,0,0,0,1,0
"('cell', 2013)",0,1,1,3,0,0,0
"('cell', 2041)",0,1,1,6,0,0,0
"('cell', 1996)",0,1,1,7,0,0,0
"('cell', 2002)",0,1,1,5,0,0,0
"('cell', 2046)",0,1,0,2,0,0,0
"('cell', 670)",0,2,2,0,0,3,0
