,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1010)",0,0,1,0,1,6,0
"('cell', 787)",0,0,1,0,0,9,0
"('cell', 2576)",0,0,6,0,0,3,0
"('cell', 1093)",0,0,1,0,1,8,0
"('cell', 2727)",0,0,0,0,0,1,0
"('cell', 41)",0,4,0,0,0,3,0
"('cell', 195)",0,0,1,0,0,4,0
"('cell', 242)",0,0,1,0,0,2,0
"('cell', 221)",0,0,0,0,0,2,0
"('cell', 1514)",0,2,0,1,1,2,0
"('cell', 572)",0,0,4,0,2,5,0
"('cell', 712)",0,0,2,0,0,1,0
"('cell', 752)",0,0,1,0,0,5,0
"('cell', 828)",0,0,0,0,0,5,0
"('cell', 779)",0,0,3,0,0,0,0
"('cell', 769)",0,0,0,0,0,3,0
"('cell', 785)",0,0,5,0,0,0,0
"('cell', 748)",0,0,4,0,0,0,0
"('cell', 733)",0,0,2,0,0,1,0
"('cell', 822)",0,0,0,0,0,4,0
"('cell', 824)",0,0,3,0,0,0,0
"('cell', 2196)",0,0,0,0,3,0,0
"('cell', 2677)",0,0,0,1,0,0,0
"('cell', 2414)",0,0,0,1,0,0,0
"('cell', 801)",0,0,1,0,0,0,0
"('cell', 454)",0,0,0,0,1,0,0
"('cell', 2124)",0,1,3,0,0,0,0
"('cell', 493)",0,3,0,0,0,0,1
"('cell', 38)",0,4,0,0,0,3,0
"('cell', 16)",0,3,0,0,0,2,0
"('cell', 1111)",0,2,0,0,0,0,0
"('cell', 207)",0,3,1,1,0,5,0
"('cell', 206)",0,2,0,0,0,4,0
"('cell', 21)",0,0,0,0,0,0,1
"('cell', 4)",0,0,0,0,0,0,1
"('cell', 64)",0,2,0,0,0,0,1
"('cell', 57)",0,1,0,0,0,1,0
"('cell', 190)",0,2,0,0,0,3,0
"('cell', 2315)",0,0,1,1,4,2,0
"('cell', 2281)",0,0,1,1,1,1,0
"('cell', 2346)",0,0,2,1,2,1,0
"('cell', 2260)",0,0,1,1,1,0,0
"('cell', 2248)",0,0,1,0,4,1,0
"('cell', 2255)",0,0,1,1,4,1,0
"('cell', 2212)",0,0,1,0,3,0,0
"('cell', 2318)",0,1,0,0,2,1,0
"('cell', 2730)",0,0,0,1,0,0,0
"('cell', 2731)",0,1,0,0,0,0,0
"('cell', 2729)",0,1,0,2,0,0,0
"('cell', 1631)",0,1,3,0,2,0,0
"('cell', 1473)",0,3,0,2,0,1,0
"('cell', 1498)",0,3,0,1,0,0,0
"('cell', 775)",0,0,4,0,0,0,0
"('cell', 758)",0,0,1,0,0,0,0
"('cell', 793)",0,0,4,0,0,0,0
"('cell', 740)",0,0,5,0,0,0,0
"('cell', 660)",0,0,4,0,0,1,0
"('cell', 620)",0,0,4,0,0,3,0
"('cell', 684)",0,0,2,0,0,0,0
"('cell', 683)",0,0,4,0,0,0,0
"('cell', 713)",0,0,3,0,0,0,0
"('cell', 742)",0,0,2,0,0,0,0
"('cell', 645)",0,0,3,0,0,0,0
"('cell', 657)",0,0,1,0,0,0,0
"('cell', 2299)",0,0,0,1,0,1,0
