,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 3339)",0,1,0,0,0,0,0
"('cell', 3283)",0,1,0,0,0,0,0
"('cell', 3314)",0,1,0,0,0,0,0
"('cell', 3334)",0,1,0,0,0,0,0
"('cell', 3335)",0,1,0,0,0,1,0
"('cell', 3325)",0,1,0,0,0,0,0
"('cell', 4)",0,0,0,0,2,0,0
"('cell', 34)",0,0,0,0,2,0,0
"('cell', 696)",0,1,0,1,0,0,0
"('cell', 236)",0,0,5,2,2,0,2
"('cell', 2940)",0,0,0,0,0,0,3
"('cell', 2862)",0,0,0,0,0,0,2
"('cell', 1816)",0,0,0,0,0,1,3
"('cell', 1905)",0,0,0,0,0,0,2
"('cell', 2175)",0,0,0,1,0,0,3
"('cell', 2859)",0,0,0,0,0,0,1
"('cell', 2870)",0,0,0,0,0,0,2
"('cell', 2813)",0,0,0,0,0,0,1
"('cell', 2810)",0,0,0,0,0,0,4
"('cell', 2738)",0,0,0,0,0,0,4
"('cell', 2864)",0,2,0,0,0,0,0
"('cell', 2893)",0,0,0,0,0,0,1
"('cell', 2125)",0,1,0,0,1,1,0
"('cell', 2063)",0,1,0,0,1,0,0
"('cell', 963)",0,0,0,0,0,3,0
"('cell', 3342)",0,1,0,0,0,1,0
"('cell', 3229)",0,0,2,0,0,0,0
"('cell', 3315)",0,0,0,0,0,1,0
"('cell', 2526)",0,0,2,0,0,1,0
"('cell', 3296)",0,1,0,0,0,0,0
"('cell', 3287)",0,1,0,0,0,0,0
"('cell', 3213)",0,0,0,1,0,0,0
"('cell', 3107)",0,0,0,0,0,1,1
"('cell', 3106)",0,0,0,0,0,1,0
"('cell', 3344)",0,1,0,0,0,0,0
"('cell', 3306)",0,0,0,1,0,0,0
"('cell', 39)",0,0,0,0,1,0,0
"('cell', 19)",0,0,0,0,1,0,0
"('cell', 60)",0,0,0,0,3,1,1
"('cell', 72)",0,0,0,0,2,1,1
"('cell', 42)",0,0,0,0,2,1,0
"('cell', 124)",0,0,2,0,2,1,1
"('cell', 612)",0,0,8,0,0,1,1
"('cell', 690)",0,0,0,1,0,0,0
"('cell', 697)",0,0,0,1,0,0,0
"('cell', 713)",0,0,0,0,0,1,0
"('cell', 661)",0,0,3,0,0,1,1
"('cell', 118)",0,2,1,1,0,1,0
"('cell', 783)",0,0,2,1,0,0,0
"('cell', 1817)",0,0,0,0,0,1,3
"('cell', 1736)",0,0,0,0,0,1,2
"('cell', 1708)",0,0,2,0,1,1,2
"('cell', 1861)",0,0,0,0,0,1,3
"('cell', 1854)",0,0,0,0,0,0,1
"('cell', 1896)",0,0,0,0,0,0,2
"('cell', 1731)",0,0,0,0,0,5,5
"('cell', 2010)",0,0,0,1,0,0,2
"('cell', 1966)",0,0,0,0,0,0,2
"('cell', 2062)",0,0,0,1,0,0,3
"('cell', 2569)",0,1,2,0,1,1,3
"('cell', 2794)",0,0,0,0,0,0,2
"('cell', 2640)",0,0,0,0,0,0,4
"('cell', 1976)",0,0,5,0,3,1,0
"('cell', 2466)",0,0,1,1,0,0,4
"('cell', 2488)",0,0,1,0,1,0,3
"('cell', 3311)",0,1,1,0,0,2,1
"('cell', 3330)",0,1,3,0,0,1,2
"('cell', 3345)",0,1,0,0,0,1,1
"('cell', 3294)",0,1,2,0,0,2,1
"('cell', 3180)",0,0,2,0,0,2,6
"('cell', 2696)",0,1,0,0,0,0,0
"('cell', 2741)",0,1,0,0,0,0,0
"('cell', 2863)",0,1,0,0,0,0,0
"('cell', 2843)",0,1,0,0,0,0,0
"('cell', 2900)",0,3,0,0,0,1,0
"('cell', 2888)",0,3,0,0,0,0,0
"('cell', 2829)",0,2,0,0,0,0,0
"('cell', 2807)",0,2,0,0,0,0,0
"('cell', 2742)",0,1,0,0,0,0,0
"('cell', 2891)",0,2,0,0,0,1,0
"('cell', 3268)",0,1,1,0,0,3,0
"('cell', 3288)",0,1,1,0,0,3,0
"('cell', 1005)",0,0,0,0,1,0,0
"('cell', 599)",0,1,0,0,0,0,0
"('cell', 155)",0,0,0,0,0,0,1
"('cell', 182)",0,0,0,1,1,0,1
"('cell', 192)",0,2,0,0,0,0,1
"('cell', 1046)",0,0,0,0,1,0,0
"('cell', 2196)",0,0,0,0,0,2,0
"('cell', 2162)",0,0,1,0,0,1,0
"('cell', 2397)",0,0,1,0,0,0,1
"('cell', 2259)",0,1,0,0,0,0,1
"('cell', 2188)",0,1,0,0,1,1,0
"('cell', 2184)",0,1,1,0,2,2,1
"('cell', 2106)",0,1,0,0,0,0,1
"('cell', 1990)",0,2,0,0,0,0,0
"('cell', 2044)",0,0,1,0,0,4,3
"('cell', 2082)",0,0,0,0,0,2,1
"('cell', 1988)",0,1,1,0,0,1,0
"('cell', 2014)",0,2,0,0,0,0,0
"('cell', 1935)",0,1,2,0,0,5,1
"('cell', 2049)",0,1,1,0,0,2,1
"('cell', 1940)",0,1,2,0,0,1,0
"('cell', 1849)",0,1,0,0,0,4,1
"('cell', 1831)",0,2,0,0,0,3,0
"('cell', 1928)",0,0,0,0,0,6,1
"('cell', 767)",0,0,4,0,0,3,1
"('cell', 734)",0,0,2,0,0,3,1
"('cell', 1123)",0,0,4,0,0,0,0
"('cell', 1361)",0,0,6,0,0,2,0
"('cell', 1313)",0,0,3,0,0,1,0
"('cell', 1379)",0,0,4,0,0,3,0
"('cell', 2872)",0,0,0,0,0,1,0
"('cell', 3243)",0,1,1,0,0,5,0
"('cell', 3240)",0,0,0,0,0,1,0
"('cell', 3231)",0,0,2,0,0,0,0
"('cell', 3303)",0,0,0,0,0,1,0
"('cell', 3276)",0,0,0,0,0,1,0
"('cell', 3346)",0,0,0,0,0,1,0
"('cell', 3064)",0,0,3,0,0,1,0
"('cell', 3171)",0,0,3,0,0,1,0
"('cell', 2630)",0,0,1,0,0,0,0
"('cell', 2591)",0,0,1,0,0,0,0
"('cell', 2533)",0,0,2,0,2,0,0
"('cell', 2232)",0,0,0,0,2,4,0
"('cell', 2616)",0,0,1,0,0,1,0
"('cell', 2852)",0,1,0,0,0,0,0
"('cell', 2874)",0,1,0,0,0,0,0
"('cell', 1768)",0,0,4,0,3,7,0
"('cell', 3018)",0,0,1,0,0,1,1
"('cell', 3271)",0,0,0,1,0,0,0
"('cell', 3245)",0,0,0,1,0,0,0
"('cell', 3270)",0,0,0,1,0,0,0
"('cell', 3266)",0,0,0,1,0,0,0
"('cell', 3321)",0,1,0,0,0,0,0
"('cell', 3298)",0,0,0,1,0,0,0
"('cell', 3324)",0,1,0,0,0,0,0
"('cell', 3290)",0,0,0,1,0,0,0
"('cell', 3355)",0,1,0,0,0,0,0
"('cell', 3187)",0,0,0,1,0,0,0
"('cell', 3170)",0,0,0,1,0,0,0
"('cell', 3221)",0,0,0,1,0,0,0
"('cell', 3126)",0,0,0,0,0,1,1
"('cell', 3071)",0,0,1,0,1,0,0
"('cell', 3006)",0,0,3,0,1,0,0
"('cell', 3162)",0,0,0,1,0,0,0
"('cell', 68)",0,0,0,0,1,0,0
"('cell', 102)",0,0,0,0,2,1,0
"('cell', 923)",0,0,0,1,0,0,0
"('cell', 472)",0,1,1,0,0,3,0
"('cell', 150)",0,0,2,0,1,1,0
"('cell', 219)",0,0,2,1,0,2,1
"('cell', 593)",0,1,3,0,0,1,0
"('cell', 523)",0,1,4,0,0,3,0
"('cell', 230)",0,0,4,2,3,0,2
"('cell', 431)",0,0,10,3,1,4,1
"('cell', 806)",0,0,3,0,0,4,0
"('cell', 862)",0,1,2,0,0,4,0
"('cell', 790)",0,0,0,0,0,4,0
"('cell', 766)",0,0,0,1,0,0,0
"('cell', 597)",0,0,2,0,0,2,0
"('cell', 656)",0,0,1,0,0,0,0
"('cell', 605)",0,0,5,0,0,1,0
"('cell', 562)",0,0,4,1,0,2,1
"('cell', 171)",0,0,0,3,0,0,0
"('cell', 151)",0,0,0,1,0,0,0
"('cell', 187)",0,2,1,2,0,0,0
"('cell', 198)",0,0,2,2,0,0,1
"('cell', 167)",0,0,1,3,1,0,0
"('cell', 133)",0,1,1,2,0,0,0
"('cell', 211)",0,2,4,2,1,1,0
"('cell', 166)",0,2,3,1,0,1,0
"('cell', 1214)",0,5,2,0,0,2,0
"('cell', 752)",0,0,3,1,0,0,1
"('cell', 2354)",0,0,0,1,0,0,1
"('cell', 2402)",0,0,0,1,0,0,4
"('cell', 1956)",0,0,3,0,1,0,0
"('cell', 1979)",0,0,2,1,0,0,2
"('cell', 2700)",0,1,0,0,0,0,0
"('cell', 2676)",0,0,0,0,0,0,4
"('cell', 2751)",0,0,0,0,0,0,3
"('cell', 2595)",0,0,1,0,1,0,3
"('cell', 2611)",0,0,0,0,0,0,5
"('cell', 2568)",0,1,1,0,1,1,2
"('cell', 1855)",0,0,4,0,3,0,1
"('cell', 1914)",0,0,4,0,4,0,0
"('cell', 1844)",0,0,2,0,1,0,1
"('cell', 1779)",0,0,2,0,3,0,2
"('cell', 1919)",0,1,3,0,3,7,1
"('cell', 2567)",0,0,0,0,0,0,5
"('cell', 2559)",0,0,0,1,0,0,5
"('cell', 2523)",0,0,1,0,0,0,5
"('cell', 2441)",0,0,1,0,3,3,1
"('cell', 2369)",0,0,2,0,4,3,2
"('cell', 2506)",0,0,1,0,1,3,0
"('cell', 2484)",0,0,1,0,1,0,0
"('cell', 3186)",0,0,2,0,1,7,3
"('cell', 2984)",0,0,1,0,0,0,3
"('cell', 3054)",0,0,1,0,0,2,2
"('cell', 2928)",0,2,0,0,0,2,0
"('cell', 2986)",0,2,0,0,0,2,0
"('cell', 2828)",0,1,0,0,0,0,0
"('cell', 2816)",0,1,0,0,0,0,0
"('cell', 2916)",0,2,0,0,0,2,0
"('cell', 2932)",0,2,0,0,1,2,0
"('cell', 494)",0,2,0,0,0,0,0
"('cell', 430)",0,1,0,0,0,0,0
"('cell', 480)",0,1,0,0,0,0,0
"('cell', 541)",0,1,0,0,0,0,0
"('cell', 446)",0,1,0,0,0,0,0
"('cell', 507)",0,2,0,0,0,0,0
"('cell', 353)",0,1,0,0,0,0,0
"('cell', 237)",0,2,0,1,0,1,1
"('cell', 248)",0,2,1,1,1,1,2
"('cell', 209)",0,1,1,1,1,0,2
"('cell', 202)",0,2,0,0,0,0,1
"('cell', 303)",0,2,0,0,0,1,0
"('cell', 337)",0,2,0,0,0,1,0
"('cell', 2990)",0,0,2,0,0,0,0
"('cell', 3078)",0,0,5,0,0,0,0
"('cell', 2592)",0,0,1,0,0,1,0
"('cell', 2146)",0,0,2,0,0,3,0
"('cell', 2203)",0,0,0,0,0,2,0
"('cell', 1850)",0,1,2,0,0,3,0
"('cell', 2603)",0,0,1,0,0,0,0
"('cell', 2311)",0,0,0,0,0,2,0
"('cell', 2408)",0,0,0,0,0,0,2
"('cell', 2350)",0,0,0,0,0,0,1
"('cell', 2169)",0,0,0,0,0,2,0
"('cell', 2374)",0,1,0,0,0,2,2
"('cell', 2554)",0,0,1,0,0,0,1
"('cell', 2224)",0,0,0,0,0,3,0
"('cell', 2339)",0,1,1,0,0,5,0
"('cell', 2352)",0,1,0,0,0,4,1
"('cell', 2281)",0,0,0,0,0,3,0
"('cell', 2266)",0,0,1,0,0,4,0
"('cell', 2109)",0,0,1,0,0,0,0
"('cell', 1995)",0,0,1,0,0,0,2
"('cell', 2170)",0,0,1,0,0,5,0
"('cell', 1075)",0,0,1,0,0,1,0
"('cell', 1037)",0,0,0,0,0,1,0
"('cell', 1104)",0,0,1,0,0,0,0
"('cell', 2365)",0,1,0,0,0,0,0
"('cell', 2358)",0,1,0,0,0,0,0
"('cell', 2326)",0,0,0,0,0,0,1
"('cell', 2236)",0,0,0,0,1,1,1
"('cell', 2264)",0,1,0,0,1,0,1
"('cell', 2309)",0,1,0,0,0,0,1
"('cell', 1243)",0,4,1,0,0,2,2
"('cell', 1184)",0,4,1,0,0,1,1
"('cell', 1739)",0,1,0,0,0,3,0
"('cell', 2133)",0,1,0,0,0,1,2
"('cell', 2149)",0,1,0,0,0,0,1
"('cell', 2442)",0,0,1,0,3,0,1
"('cell', 1947)",0,0,0,0,0,4,0
"('cell', 1967)",0,2,0,0,0,1,0
"('cell', 1889)",0,1,0,0,0,5,0
"('cell', 1880)",0,2,0,0,0,2,0
"('cell', 2048)",0,1,0,0,1,2,0
"('cell', 2039)",0,1,0,0,1,1,0
"('cell', 2060)",0,1,1,0,1,5,1
"('cell', 1993)",0,1,0,0,1,3,0
"('cell', 884)",0,0,1,0,0,5,0
"('cell', 926)",0,0,1,0,0,3,0
"('cell', 934)",0,0,1,0,0,3,0
"('cell', 822)",0,0,4,0,0,6,0
"('cell', 1240)",0,0,5,0,0,0,1
"('cell', 1283)",0,0,6,0,0,0,1
"('cell', 1200)",0,0,3,0,0,0,0
"('cell', 1260)",0,0,2,0,0,0,0
"('cell', 1068)",0,0,2,0,1,2,0
"('cell', 993)",0,0,2,0,1,2,0
"('cell', 1066)",0,0,2,0,0,0,0
"('cell', 1016)",0,0,4,0,1,7,0
"('cell', 3328)",0,0,0,0,0,2,0
"('cell', 2946)",0,0,1,0,1,1,0
"('cell', 2950)",0,0,1,0,1,3,0
