,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 3)",0,0,0,0,0,3,0
"('cell', 664)",0,0,1,1,0,3,0
"('cell', 15)",0,0,0,0,0,1,0
"('cell', 602)",0,1,0,1,0,4,0
"('cell', 404)",0,1,6,0,0,1,0
"('cell', 280)",0,3,2,2,0,6,0
"('cell', 610)",0,0,1,0,0,1,0
"('cell', 694)",0,0,2,3,0,3,0
"('cell', 444)",0,1,10,2,0,4,0
"('cell', 20)",0,0,0,0,0,1,0
"('cell', 10)",0,0,0,0,0,1,0
"('cell', 16)",0,0,1,0,0,1,0
"('cell', 98)",0,0,0,1,0,0,0
"('cell', 354)",0,2,2,1,0,0,0
"('cell', 333)",0,2,1,0,0,0,0
"('cell', 298)",0,3,0,1,0,0,0
"('cell', 342)",0,2,1,0,0,0,0
"('cell', 379)",0,3,2,0,0,0,0
"('cell', 387)",0,1,0,0,0,3,0
"('cell', 416)",0,1,6,0,0,3,0
"('cell', 367)",0,1,0,0,0,3,0
"('cell', 395)",0,2,5,0,0,1,0
"('cell', 286)",0,1,0,1,0,1,0
"('cell', 143)",0,1,0,0,0,0,0
"('cell', 120)",0,1,0,0,0,0,0
"('cell', 135)",0,1,0,0,0,0,0
"('cell', 230)",0,0,2,0,0,6,0
"('cell', 268)",0,4,1,2,0,4,0
"('cell', 209)",0,4,0,1,0,3,0
"('cell', 185)",0,2,1,1,0,4,0
"('cell', 600)",0,0,2,1,0,2,0
"('cell', 639)",0,0,1,0,0,3,0
"('cell', 855)",0,1,1,5,0,2,0
"('cell', 1082)",0,0,1,1,0,8,0
"('cell', 107)",0,0,1,0,0,1,0
"('cell', 389)",0,1,4,0,0,4,0
"('cell', 48)",0,1,0,0,0,0,0
"('cell', 34)",0,0,0,0,0,1,0
"('cell', 25)",0,0,0,0,0,1,0
"('cell', 49)",0,0,0,0,0,1,0
"('cell', 36)",0,0,0,0,0,1,0
"('cell', 60)",0,0,0,1,0,1,0
"('cell', 43)",0,0,0,1,0,1,0
"('cell', 35)",0,0,0,1,0,1,0
"('cell', 94)",0,2,0,0,0,2,0
"('cell', 58)",0,2,0,0,0,1,0
"('cell', 33)",0,1,0,0,0,0,0
"('cell', 26)",0,1,0,0,0,0,0
"('cell', 6)",0,0,1,0,0,0,0
"('cell', 13)",0,1,0,0,0,0,0
"('cell', 19)",0,1,0,0,0,0,0
"('cell', 605)",0,1,2,1,2,8,0
"('cell', 476)",0,3,1,1,0,4,0
"('cell', 651)",0,2,0,0,0,2,0
"('cell', 170)",0,1,0,0,0,0,0
