,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1659)",0,0,2,1,0,0,0
"('cell', 1586)",0,0,2,1,0,0,0
"('cell', 1529)",0,0,2,0,0,0,0
"('cell', 1505)",0,0,2,1,0,0,0
"('cell', 1487)",0,0,2,1,1,1,0
"('cell', 1641)",0,0,2,0,0,0,0
"('cell', 1677)",0,0,2,0,0,0,0
"('cell', 1137)",0,0,0,0,0,3,0
"('cell', 778)",0,1,1,0,0,0,0
"('cell', 845)",0,1,2,0,0,1,0
"('cell', 808)",0,1,1,0,0,0,0
"('cell', 21)",0,0,0,0,0,0,1
"('cell', 58)",0,1,1,1,0,1,1
"('cell', 14)",0,0,0,0,0,0,1
"('cell', 187)",0,1,3,1,0,6,0
"('cell', 22)",0,0,0,0,0,0,1
"('cell', 8)",0,0,0,0,0,0,1
"('cell', 15)",0,0,0,0,0,1,0
"('cell', 7)",0,0,0,0,0,0,1
"('cell', 145)",0,1,0,1,0,0,0
"('cell', 126)",0,1,0,2,0,0,0
"('cell', 139)",0,1,0,2,0,0,0
"('cell', 69)",0,0,0,2,0,0,0
"('cell', 241)",0,0,0,3,0,0,0
"('cell', 2518)",0,1,1,0,5,0,0
"('cell', 2103)",0,0,2,0,0,3,0
"('cell', 1642)",0,0,2,1,2,1,0
"('cell', 1647)",0,0,2,1,1,0,0
"('cell', 1699)",0,0,2,0,0,0,0
"('cell', 1478)",0,0,1,1,3,1,0
"('cell', 1446)",0,0,1,1,1,1,0
"('cell', 1401)",0,1,1,0,0,0,0
"('cell', 1301)",0,2,1,0,0,0,0
"('cell', 1796)",0,1,0,0,0,0,0
"('cell', 2333)",0,0,0,0,0,3,0
"('cell', 1823)",0,0,0,0,5,0,0
"('cell', 445)",0,0,0,1,0,0,0
"('cell', 442)",0,0,0,1,0,0,0
"('cell', 540)",0,0,1,0,0,1,0
"('cell', 1007)",0,2,0,0,0,0,0
"('cell', 1097)",0,1,0,0,0,5,1
"('cell', 1067)",0,2,2,0,0,5,0
"('cell', 1781)",0,0,0,1,4,0,0
"('cell', 849)",0,1,0,0,0,2,0
"('cell', 972)",0,1,0,0,0,1,0
"('cell', 876)",0,0,0,0,0,2,0
"('cell', 1109)",0,2,0,0,0,2,0
"('cell', 1075)",0,2,0,0,0,0,0
"('cell', 1146)",0,2,0,0,0,5,0
"('cell', 1368)",0,0,1,0,4,7,0
"('cell', 307)",0,0,0,0,4,3,0
"('cell', 817)",0,1,0,0,0,0,0
"('cell', 279)",0,0,0,0,0,2,0
"('cell', 284)",0,0,0,0,0,2,0
"('cell', 862)",0,0,0,0,0,1,0
"('cell', 768)",0,0,0,0,0,1,0
"('cell', 818)",0,0,0,0,0,1,0
"('cell', 804)",0,0,0,0,0,1,0
"('cell', 873)",0,0,0,0,0,1,0
"('cell', 992)",0,0,0,0,0,4,0
"('cell', 1038)",0,0,0,0,0,4,0
"('cell', 1040)",0,0,0,0,0,4,0
"('cell', 961)",0,0,0,0,0,3,0
"('cell', 694)",0,0,0,0,0,1,0
"('cell', 738)",0,0,0,0,0,1,0
"('cell', 805)",0,0,0,0,0,1,0
"('cell', 1234)",0,0,1,0,0,5,0
"('cell', 1181)",0,0,1,0,0,5,0
"('cell', 1031)",0,0,1,0,0,1,0
"('cell', 1022)",0,0,3,0,1,4,0
"('cell', 1100)",0,0,2,0,0,0,0
"('cell', 1055)",0,0,2,0,0,1,0
"('cell', 1084)",0,0,3,0,1,4,0
"('cell', 896)",0,1,2,0,0,2,0
"('cell', 869)",0,1,2,0,0,1,0
"('cell', 910)",0,1,2,0,0,3,0
"('cell', 832)",0,1,0,0,0,0,0
"('cell', 991)",0,0,2,0,1,5,0
"('cell', 948)",0,1,3,0,0,4,0
"('cell', 797)",0,0,0,0,0,2,0
"('cell', 1053)",0,0,2,0,0,2,0
"('cell', 41)",0,0,0,1,0,0,2
"('cell', 89)",0,1,0,2,0,2,0
"('cell', 66)",0,0,0,1,0,0,2
"('cell', 273)",0,0,0,0,0,3,0
"('cell', 283)",0,0,0,0,0,2,0
"('cell', 339)",0,0,0,0,0,2,0
"('cell', 286)",0,0,0,0,1,3,0
"('cell', 310)",0,0,0,0,0,2,0
"('cell', 153)",0,1,2,1,1,6,0
"('cell', 9)",0,0,0,0,0,0,2
"('cell', 501)",0,2,1,0,2,3,0
"('cell', 124)",0,0,2,0,0,3,1
"('cell', 30)",0,0,0,2,0,0,1
"('cell', 401)",0,0,0,1,0,0,0
"('cell', 354)",0,0,0,1,0,0,0
"('cell', 342)",0,1,0,1,0,0,0
"('cell', 285)",0,1,0,0,0,0,0
"('cell', 266)",0,0,0,4,0,0,0
"('cell', 175)",0,1,0,2,0,0,0
"('cell', 163)",0,1,0,2,0,0,0
"('cell', 194)",0,0,0,2,0,0,0
"('cell', 193)",0,1,0,1,0,0,0
"('cell', 208)",0,1,0,1,0,0,0
"('cell', 40)",0,0,1,0,0,2,2
"('cell', 370)",0,1,0,1,0,0,0
"('cell', 312)",0,0,0,2,0,0,0
"('cell', 2095)",0,0,0,0,0,2,0
"('cell', 2065)",0,0,0,0,0,2,0
"('cell', 2504)",0,1,1,0,6,1,1
"('cell', 2339)",0,0,0,0,0,5,0
"('cell', 2119)",0,0,2,0,0,1,0
"('cell', 1720)",0,3,0,0,0,0,0
"('cell', 1704)",0,1,1,1,1,0,0
"('cell', 1756)",0,1,0,0,0,0,0
"('cell', 1632)",0,3,0,0,2,1,0
"('cell', 1631)",0,2,1,1,2,2,0
"('cell', 1681)",0,2,1,1,1,0,0
"('cell', 1696)",0,3,0,0,0,0,0
"('cell', 1593)",0,3,0,1,4,2,0
"('cell', 1648)",0,3,0,0,0,0,0
"('cell', 1498)",0,0,1,0,2,3,0
"('cell', 1481)",0,0,1,0,3,3,0
"('cell', 1540)",0,3,0,0,4,2,0
"('cell', 1591)",0,3,0,0,1,1,0
"('cell', 1546)",0,2,0,0,1,2,0
"('cell', 1510)",0,1,0,0,2,2,0
"('cell', 1518)",0,1,0,0,4,3,0
"('cell', 1551)",0,3,0,0,4,1,0
"('cell', 1273)",0,2,0,0,0,1,0
"('cell', 1292)",0,2,1,0,1,3,0
"('cell', 1186)",0,0,4,0,1,4,0
"('cell', 1326)",0,2,0,0,1,3,0
"('cell', 1373)",0,1,0,0,4,4,0
"('cell', 1275)",0,2,0,0,0,1,0
"('cell', 1419)",0,1,0,0,3,2,0
"('cell', 1460)",0,1,0,1,3,1,0
"('cell', 1434)",0,1,0,1,1,1,0
"('cell', 1398)",0,1,0,0,6,4,0
"('cell', 1343)",0,2,0,0,0,1,0
"('cell', 1412)",0,2,0,0,0,1,0
"('cell', 1058)",0,2,1,0,0,1,0
"('cell', 935)",0,0,1,3,0,0,0
"('cell', 806)",0,0,1,0,0,0,0
"('cell', 1803)",0,1,0,0,0,0,0
"('cell', 1763)",0,1,0,0,0,0,0
"('cell', 1842)",0,2,0,0,0,0,0
"('cell', 2424)",0,0,0,0,0,11,0
"('cell', 2423)",0,0,0,0,2,11,0
"('cell', 2345)",0,0,4,0,3,6,0
"('cell', 2000)",0,0,0,2,6,1,0
"('cell', 2041)",0,1,0,1,4,5,0
"('cell', 2186)",0,0,2,1,0,5,0
"('cell', 1680)",0,0,0,0,0,1,0
"('cell', 1701)",0,1,0,0,0,1,0
