,src,tgt,distance
0,1957,1934,22.02271554554524
1,1957,1933,19.1049731745428
2,1957,1985,23.706539182259394
3,1528,1814,30500.0
4,2119,2127,33.015148038438355
5,2119,2161,35.22782990761707
6,2119,1985,97.082439194738
7,2119,1933,139.11865439257238
8,2127,2120,21.095023109728988
9,2127,2161,19.4164878389476
10,1300,1285,25.298221281347036
11,1300,1266,19.313207915827967
12,1300,1352,34.0147027033899
13,1300,1338,40.607881008493905
14,224,240,28.635642126552707
15,224,267,39.35733730830886
16,224,280,31.622776601683793
17,224,195,20.024984394500787
18,120,91,22.360679774997898
19,120,88,39.05124837953327
20,120,104,36.40054944640259
21,120,153,24.331050121192877
22,104,69,42.5205832509386
23,104,68,33.06055050963308
24,104,88,22.360679774997898
25,104,113,41.43669871020132
26,104,126,23.345235059857504
27,117,132,24.166091947189145
28,117,85,20.248456731316587
29,117,115,21.02379604162864
30,117,102,41.593268686170845
31,85,115,27.202941017470888
32,85,78,20.12461179749811
33,153,188,49.73932046178355
34,153,180,22.02271554554524
35,563,639,42.485291572496
36,563,537,20.518284528683193
37,563,570,14.142135623730951
38,563,657,47.095647357266465
39,115,132,31.78049716414141
40,115,78,36.40054944640259
41,115,108,33.24154027718932
42,657,639,23.769728648009426
43,657,705,27.65863337187866
44,657,687,24.08318915758459
45,1946,1896,33.421549934136806
46,1946,1983,27.65863337187866
47,158,144,19.313207915827967
48,158,124,23.194827009486403
49,158,168,14.422205101855956
50,168,144,16.15549442140351
51,168,196,25.019992006393608
52,1453,1515,27.0
53,1453,1417,19.026297590440446
54,1453,1490,28.42534080710379
55,1453,1454,23.08679276123039
56,1382,1369,39.45883931389772
57,1382,1372,23.345235059857504
58,1382,1417,18.0
59,1417,1369,45.79301256742124
60,1417,1372,31.827660925679098
61,1417,1454,27.80287754891569
62,2264,2155,24980.0
63,977,1075,60.00833275470999
64,977,1057,92.91393867445294
65,358,429,40.70626487409524
66,358,408,39.35733730830886
67,358,321,22.0
68,358,319,46.09772228646444
69,127,99,29.732137494637012
70,127,113,27.313000567495326
71,127,121,41.43669871020132
72,127,157,22.47220505424423
73,127,136,28.284271247461902
74,986,1009,16.55294535724685
75,986,960,20.0
76,986,1003,30.463092423455635
77,876,851,17.0
78,876,943,39.45883931389772
79,876,852,19.1049731745428
80,960,927,22.360679774997898
81,960,1003,32.2490309931942
82,960,958,26.076809620810597
83,121,92,26.92582403567252
84,121,110,30.805843601498726
85,121,99,23.600847442411894
86,121,89,31.25699921617557
87,121,206,73.24616030891995
88,121,157,58.60034129593445
89,121,213,85.60373823613078
90,2161,2120,32.64965543462902
91,2161,2223,76.4198926981712
92,2161,2182,35.35533905932738
93,1872,1851,14.866068747318506
94,1872,1900,17.4928556845359
95,1872,1874,13.601470508735444
96,1872,1828,33.301651610693426
97,1872,1821,31.25699921617557
98,202,205,14.142135623730951
99,202,172,35.4682957019364
100,202,238,31.25699921617557
101,1939,1922,18.788294228055936
102,1939,1985,38.600518131237564
103,1939,1859,40.19950248448356
104,1939,1934,17.46424919657298
105,1985,1934,35.510561809129406
106,1985,1933,42.43819034784589
107,1280,1285,26.019223662515376
108,1280,1244,20.8806130178211
109,1280,1316,19.1049731745428
110,1316,1285,30.0
111,1316,1244,39.81205847478876
112,1316,1719,207.5090359478353
113,1316,1338,21.93171219946131
114,1114,1032,46.84015371452148
115,1114,1011,59.21148537234985
116,1114,1096,24.186773244895647
117,238,205,30.675723300355934
118,238,286,29.154759474226502
119,238,243,26.019223662515376
120,238,284,27.202941017470888
121,1828,1874,30.364452901377952
122,1828,1850,14.422205101855956
123,1828,1807,26.92582403567252
124,1828,1821,18.973665961010276
125,1651,1658,23.0
126,1651,1696,21.587033144922902
127,1651,1719,45.27692569068709
128,1352,1346,34.713109915419565
129,1352,1338,34.20526275297414
130,1338,1285,33.95585369269929
131,1180,1152,22.02271554554524
132,1180,1200,19.72308292331602
133,1180,1179,27.018512172212592
134,1180,1144,19.1049731745428
135,1328,1336,16.1245154965971
136,1328,1332,7793.0
137,148,132,19.6468827043885
138,148,173,20.09975124224178
139,148,163,21.93171219946131
140,148,145,23.194827009486403
141,148,102,36.05551275463989
142,132,173,30.23243291566195
143,132,102,42.44997055358225
144,173,163,18.681541692269406
145,163,145,19.313207915827967
146,145,102,32.89376840679705
147,851,943,54.037024344425184
148,851,769,50.96076922496363
149,851,825,24.758836806279895
150,851,852,22.090722034374522
151,1336,1393,30.265491900843113
152,1336,1355,13.45362404707371
153,303,291,24.041630560342615
154,303,332,21.213203435596427
155,303,335,18.027756377319946
156,1341,1333,23.08679276123039
157,1341,1366,33.28663395418648
158,1341,1365,24.08318915758459
159,1341,1290,32.7566787083184
160,1341,1406,38.63935817272331
161,1341,1355,38.897300677553446
162,1355,1393,21.840329667841555
163,1355,1365,21.840329667841555
164,204,207,17.26267650163207
165,204,222,24.186773244895647
166,222,124,94.92101980067429
167,222,251,26.419689627245813
168,222,272,55.97320787662612
169,251,272,30.610455730027933
170,251,309,38.3275357934736
171,251,283,32.55764119219941
172,74,65,23.53720459187964
173,74,78,28.635642126552707
174,74,108,32.55764119219941
175,65,30,31.400636936215164
176,65,108,47.01063709417264
177,65,62,30.01666203960727
178,364,351,35.22782990761707
179,364,404,26.476404589747453
180,364,407,35.805027579936315
181,364,316,17317.0
182,385,408,27.073972741361768
183,385,351,19.4164878389476
184,385,407,22.80350850198276
185,385,468,44.9221548904324
186,78,108,34.058772731852805
187,108,62,70.178344238091
188,351,408,37.44329045369811
189,351,319,28.844410203711913
190,351,407,35.84689665786984
191,437,398,25.0
192,437,474,25.059928172283335
193,437,365,37.36308338453881
194,474,398,37.8549864614954
195,474,501,16.1245154965971
196,474,459,30.083217912982647
197,407,404,16.278820596099706
198,407,468,42.44997055358225
199,468,463,36.05551275463989
200,468,429,37.8021163428716
201,468,408,43.32435804486894
202,468,513,24.839484696748443
203,630,556,44.94441010848846
204,630,580,30.14962686336267
205,630,602,21.2602916254693
206,630,655,29.546573405388315
207,630,646,20.12461179749811
208,646,678,21.93171219946131
209,646,602,23.08679276123039
210,646,623,19.849433241279208
211,646,658,21.587033144922902
212,1810,1776,25.612496949731394
213,1810,1804,19.4164878389476
214,1810,1853,31.240998703626616
215,1810,1825,15.652475842498529
216,1825,1792,23.853720883753127
217,1825,1776,27.073972741361768
218,1825,1853,38.01315561749642
219,2243,2217,44.204072210600685
220,2243,2216,28.0178514522438
221,2243,2230,50.00999900019995
222,2243,2304,6664.0
223,1776,1792,13.038404810405298
224,1776,1740,21.213203435596427
225,1804,1820,26.248809496813376
226,1804,1853,28.0178514522438
227,1853,1820,31.240998703626616
228,1853,1901,29.410882339705484
229,1545,1555,35.22782990761707
230,1545,1589,24.20743687382041
231,1545,1503,23.40939982143925
232,1545,1524,19.1049731745428
233,1572,1633,43.278170016764804
234,1572,1555,21.470910553583888
235,1572,1589,39.319206502675
236,1572,1542,23.40939982143925
237,1572,1621,20.615528128088304
238,1633,1677,34.058772731852805
239,1633,1589,23.769728648009426
240,1633,1621,38.8329756778952
241,1555,1589,25.0
242,1555,1503,37.48332962798263
243,1555,1502,25.079872407968907
244,1542,1536,18.439088914585774
245,1542,1621,32.7566787083184
246,1542,1571,27.65863337187866
247,1153,967,16596.0
248,1628,1774,6305.0
249,1774,1792,82.73451516749222
250,1774,1722,7241.0
251,1753,1812,34.785054261852174
252,1844,1896,27.85677655436824
253,1844,1814,23.323807579381203
254,1905,1944,26.076809620810597
255,1905,1888,25.079872407968907
256,1905,1928,26.248809496813376
257,1905,1889,32.2490309931942
258,1905,1845,29.410882339705484
259,1905,1836,35.84689665786984
260,1905,1929,31.622776601683793
261,1814,1638,9928.0
262,2159,2172,23.08679276123039
263,2159,2126,24.839484696748443
264,2159,2108,36.24913792078372
265,1755,1773,21.400934559032695
266,1755,1708,48.373546489791295
267,1966,1929,23.53720459187964
268,1966,1977,17.0
269,1966,1969,23.021728866442675
270,1966,1986,37.16180835212409
271,2126,2172,26.68332812825267
272,2126,2122,26.30589287593181
273,2126,2078,32.31098884280702
274,2126,2058,42.44997055358225
275,2126,2108,34.0147027033899
276,2108,2078,24.839484696748443
277,2108,1983,99.6393496566492
278,2108,2045,35.11409973215888
279,1929,1944,29.120439557122072
280,1929,1958,56.92099788303083
281,1929,1889,22.80350850198276
282,1929,1969,28.42534080710379
283,1929,1977,36.89173349139343
284,1977,1987,14.560219778561036
285,1977,2005,27.65863337187866
286,1977,1958,36.40054944640259
287,1969,1944,17.204650534085253
288,1969,1986,19.4164878389476
289,1986,1944,30.01666203960727
290,1986,1961,33.015148038438355
291,1931,1984,33.06055050963308
292,1931,1935,23.0
293,1931,1958,25.80697580112788
294,1931,1881,42.01190307520001
295,1931,1889,73.38937252763509
296,1984,1997,47.51841748206689
297,1984,2011,24.20743687382041
298,1984,2005,34.539832078341085
299,1984,1935,41.400483088968905
300,1984,1958,26.1725046566048
301,1935,1959,37.33630940518894
302,1935,1997,45.65084884205331
303,1935,1918,40.024992192379
304,1935,1881,27.85677655436824
305,1958,1987,26.248809496813376
306,1958,2005,33.61547262794322
307,1958,1889,62.48199740725323
308,1881,1795,49.8196748283246
309,1881,1818,42.5440947723653
310,1881,1918,33.61547262794322
311,1881,1875,23.345235059857504
312,1889,1836,30.4138126514911
313,1896,1983,59.481089431852205
314,124,144,21.93171219946131
315,124,128,17.46424919657298
316,1965,1962,20.024984394500787
317,1965,2001,28.284271247461902
318,1965,1950,23.53720459187964
319,207,196,33.54101966249684
320,1950,1959,25.179356624028344
321,1950,2006,38.2099463490856
322,1950,2001,38.07886552931954
323,1950,1918,28.319604517012593
