,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 611)",0,0,5,2,0,0,0
"('cell', 1330)",0,0,0,2,0,0,0
"('cell', 1257)",0,0,2,0,0,0,1
"('cell', 23)",0,0,4,2,0,1,0
"('cell', 25)",0,0,5,5,0,1,0
"('cell', 14)",0,0,4,1,2,1,0
"('cell', 29)",0,0,3,1,5,2,0
"('cell', 942)",0,0,3,4,2,0,1
"('cell', 801)",0,0,2,4,0,0,1
"('cell', 926)",0,0,3,5,1,2,1
"('cell', 874)",0,0,7,1,0,2,0
"('cell', 901)",0,0,5,2,2,1,0
"('cell', 1206)",0,0,1,0,0,0,0
"('cell', 1309)",0,0,5,0,1,5,0
"('cell', 18)",0,0,3,0,3,1,0
"('cell', 2)",0,0,4,2,2,1,0
"('cell', 3)",0,0,3,3,1,2,0
"('cell', 46)",0,0,6,1,6,3,0
"('cell', 231)",0,0,7,8,0,1,0
"('cell', 73)",0,0,5,6,0,1,0
"('cell', 976)",0,0,5,0,1,5,0
"('cell', 729)",0,0,3,1,0,2,1
"('cell', 974)",0,0,3,3,2,6,0
"('cell', 1338)",0,0,6,1,0,2,0
"('cell', 1327)",0,0,4,0,0,1,0
"('cell', 1315)",0,0,5,0,0,2,0
"('cell', 1328)",0,0,3,0,0,1,0
"('cell', 1325)",0,0,1,0,0,1,0
"('cell', 1299)",0,0,5,0,0,2,0
"('cell', 1216)",0,0,2,0,0,1,0
"('cell', 1198)",0,0,5,0,1,1,1
"('cell', 1205)",0,0,6,0,0,1,1
"('cell', 1220)",0,0,1,0,0,0,0
"('cell', 1231)",0,0,1,1,0,2,0
"('cell', 37)",0,0,6,8,0,1,0
"('cell', 50)",0,0,4,8,0,0,0
"('cell', 120)",0,0,3,7,2,5,0
"('cell', 82)",0,0,5,4,3,4,0
"('cell', 1145)",0,0,6,0,3,3,1
"('cell', 258)",0,0,0,0,0,0,3
"('cell', 293)",0,0,1,0,2,1,0
"('cell', 308)",0,0,2,0,1,0,2
"('cell', 245)",0,0,1,0,1,0,2
"('cell', 45)",0,0,3,2,3,0,0
"('cell', 967)",0,0,6,0,4,4,0
"('cell', 928)",0,0,5,0,1,1,0
"('cell', 748)",0,0,4,1,2,6,1
"('cell', 774)",0,0,5,1,0,3,1
"('cell', 428)",0,0,3,2,0,2,0
"('cell', 449)",0,0,3,0,2,5,0
"('cell', 454)",0,0,2,4,0,4,0
"('cell', 1087)",0,0,2,1,9,5,0
"('cell', 1310)",0,0,5,0,0,1,0
"('cell', 1306)",0,0,5,0,0,1,0
"('cell', 1292)",0,0,1,0,0,0,0
"('cell', 1294)",0,0,1,0,0,0,0
"('cell', 1295)",0,0,1,0,0,0,0
"('cell', 1287)",0,0,1,0,0,1,0
"('cell', 1285)",0,0,1,0,0,0,0
"('cell', 1277)",0,0,1,0,0,0,0
"('cell', 1282)",0,0,1,0,0,0,0
"('cell', 1280)",0,0,1,0,0,0,0
"('cell', 1228)",0,0,5,3,0,4,0
"('cell', 1238)",0,0,1,1,0,2,0
"('cell', 1241)",0,0,0,1,0,0,0
