,src,tgt,distance
0,9,11,43.174066289845804
1,9,91,234.95744295510198
2,9,20,33.1058907144937
3,504,491,31.400636936215164
4,504,523,26.0
5,504,463,26.248809496813376
6,11,20,34.40930106817051
7,11,15,24.186773244895647
8,11,6,34.20526275297414
9,491,442,30.4138126514911
10,491,494,44.04543109109048
11,491,421,30.4138126514911
12,491,523,16.55294535724685
13,2370,2412,27.80287754891569
14,2370,2378,30.14962686336267
15,2370,2420,22.20360331117452
16,523,494,52.630789467763066
17,523,633,3461.0
18,2412,2378,16.1245154965971
19,2412,2420,19.6468827043885
20,2412,2461,19.697715603592208
21,2412,2410,20.024984394500787
22,2378,2410,17.69180601295413
23,2378,2366,19.924858845171276
24,406,439,17.26267650163207
25,406,429,17.029386365926403
26,406,399,24.331050121192877
27,474,463,18.788294228055936
28,474,490,35.35533905932738
29,2420,2461,29.966648127543394
30,2420,2502,39.11521443121589
31,20,91,231.65707414193074
32,20,15,49.64876634922564
33,20,137,138.2931668593933
34,1174,1132,16.64331697709324
35,463,384,35.05709628591621
36,1257,1252,18.110770276274835
37,1257,1292,19.235384061671343
38,1257,842,56228.0
39,439,429,14.560219778561036
40,439,399,29.698484809834994
41,490,617,3754.0
42,617,590,24.596747752497688
43,774,819,19.026297590440446
44,819,844,54.45181356024793
45,819,995,12433.0
46,2837,2877,43.46262762420146
47,2837,2783,25.019992006393608
48,2440,2404,17.204650534085253
49,2440,2524,5669.0
50,2440,2536,4141.0
51,1580,1635,22.847319317591726
52,1095,1152,32.7566787083184
53,1095,1038,29.068883707497267
54,1040,1005,44.384682042344295
55,1040,1085,23.853720883753127
56,1040,1081,36.235341863986875
57,1040,983,18.24828759089466
58,2701,2741,33.015148038438355
59,2701,2896,11273.0
60,2741,2723,27.51363298439521
61,2723,2687,22.02271554554524
62,1772,1797,19.235384061671343
63,1772,1874,39.56008088970496
64,1797,1873,33.60059523282288
65,1797,1757,1657.0
66,2166,2223,26.40075756488817
67,2166,2153,16.1245154965971
68,2166,2124,15.811388300841896
69,2094,2051,18.027756377319946
70,2094,2153,22.135943621178654
71,2051,1983,25.709920264364882
72,2631,2679,21.213203435596427
73,2631,2673,30.4138126514911
74,2631,2672,34.40930106817051
75,2153,2215,31.240998703626616
76,2153,2124,27.313000567495326
77,3074,3083,36.49657518178932
78,3074,3086,18.681541692269406
79,3058,2918,103.23274674249446
80,3058,2672,39213.0
81,2128,2103,21.400934559032695
82,2298,2190,51.61395160225576
83,1807,1828,16.15549442140351
84,1807,1855,28.600699292150182
85,1807,2018,9640.0
86,1424,1469,15.811388300841896
87,512,567,24.041630560342615
88,512,551,23.430749027719962
89,512,516,17.029386365926403
90,516,507,19.235384061671343
91,516,551,14.035668847618199
92,459,465,16.76305461424021
93,459,423,14.7648230602334
94,567,555,30.805843601498726
95,567,551,26.248809496813376
96,2465,2428,17.08800749063506
97,2465,2462,25.179356624028344
98,2465,2498,23.600847442411894
99,2465,2510,19.1049731745428
100,2038,2112,28.160255680657446
101,2038,1892,3865.0
102,91,137,200.89798406156294
103,91,273,150.89400253157845
104,2462,2428,23.021728866442675
105,2462,2507,29.698484809834994
106,2462,2498,18.027756377319946
107,2462,2468,24.331050121192877
108,2507,2562,21.840329667841555
109,2507,2540,24.698178070456937
110,2507,2498,27.294688127912362
111,2507,2468,17.26267650163207
112,2507,2541,24.698178070456937
113,2596,2610,14.212670403551895
114,2596,2553,16.492422502470642
115,2592,2633,22.090722034374522
116,2592,2640,29.206163733020468
117,2592,2562,25.942243542145693
118,2592,2540,20.396078054371138
119,2592,2610,20.591260281974
120,2592,2615,34.785054261852174
121,2592,2553,29.154759474226502
122,2162,2144,21.37755832643195
123,2162,2232,5085.0
124,2540,2562,28.160255680657446
125,2540,2498,18.027756377319946
126,2540,2553,21.587033144922902
127,2498,2510,21.587033144922902
128,2498,2553,26.627053911388696
129,2610,2637,22.02271554554524
130,2610,2633,20.0
131,2610,2553,25.96150997149434
132,2546,2510,19.1049731745428
133,2546,2549,20.09975124224178
134,2546,2553,20.396078054371138
135,2510,2553,18.027756377319946
136,2549,2502,20.808652046684813
137,2549,2637,50.80354318352215
138,2345,2309,22.627416997969522
139,2219,2196,16.64331697709324
140,2219,2279,24.186773244895647
141,2219,2244,18.027756377319946
142,2541,2562,17.0
143,2541,2615,31.400636936215164
144,2615,2643,16.55294535724685
145,2615,2640,19.209372712298546
146,2615,2562,25.079872407968907
147,2615,2599,26.92582403567252
148,3001,2966,22.360679774997898
149,3001,2950,34.828149534535996
150,3001,3016,18.681541692269406
151,2599,2643,29.068883707497267
152,2599,2452,6290.0
153,3016,2966,26.248809496813376
