,src,tgt,distance
0,232,227,27.16615541441225
1,232,253,29.410882339705484
2,232,296,40.11234224026316
3,227,262,23.600847442411894
4,227,296,49.24428900898052
5,1180,1057,79.40403012442127
6,1180,1218,30.4138126514911
7,1180,1159,26.870057685088806
8,1180,1203,17.69180601295413
9,675,642,30.528675044947494
10,675,700,18.681541692269406
11,675,744,43.41658669218482
12,497,475,28.42534080710379
13,497,499,37.12142238654117
14,497,527,28.319604517012593
15,497,545,41.773197148410844
16,497,546,31.064449134018133
17,497,453,68.0294054067798
18,262,396,101.39033484509261
19,262,366,74.21590126111789
20,262,296,44.94441010848846
21,414,396,19.235384061671343
22,414,387,17.029386365926403
23,414,453,32.01562118716424
24,642,753,79.20227269466452
25,642,610,40.22437072223753
26,642,700,39.96248240537617
27,642,719,49.040799340956916
28,1092,1039,33.1058907144937
29,1092,1034,35.805027579936315
30,1092,1156,39.408120990476064
31,67,97,28.442925306655784
32,67,79,46.17358552246078
33,67,24,76.47875521999558
34,48,76,34.539832078341085
35,48,74,35.84689665786984
36,48,47,24.186773244895647
37,48,33,30.479501308256342
38,47,8,68.35202996254024
39,47,74,34.52535300326414
40,47,56,26.92582403567252
41,47,33,48.33218389437829
42,33,8,80.99382692526635
43,33,2,52.15361924162119
44,540,451,75.8023746329889
45,540,773,134.45073447177595
46,338,371,23.259406699226016
47,338,346,42.42640687119285
48,338,400,40.44749683231337
49,338,319,25.942243542145693
50,1228,1254,19.235384061671343
51,1228,1241,24.698178070456937
52,1228,1218,35.4400902933387
53,1228,1216,21.95449840010015
54,1228,1203,19.026297590440446
55,1241,1254,32.984845004941285
56,1241,1218,21.95449840010015
57,1218,1203,34.20526275297414
58,1159,1057,77.46612162745726
59,1159,1135,16.97056274847714
60,1159,1203,32.7566787083184
61,1216,1254,29.732137494637012
62,1216,1240,22.80350850198276
63,1216,1203,21.540659228538015
64,979,944,23.600847442411894
65,979,1037,32.0624390837628
66,979,938,31.144823004794873
67,938,944,35.22782990761707
68,938,864,39.395431207184416
69,938,817,61.98386886924694
70,938,848,70.80254232723568
71,1280,1254,16.76305461424021
72,1280,1302,14.035668847618199
73,1280,1260,35.6931365951495
74,1280,1240,32.202484376209235
75,1254,1240,26.0
76,2183,2175,21.37755832643195
77,2183,2165,12.041594578792296
78,2183,2186,58.034472514187634
79,2146,2157,25.96150997149434
80,2146,2168,19.209372712298546
81,2146,2144,37.05401462729781
82,933,925,13.341664064126334
83,933,971,22.561028345356956
84,933,898,20.223748416156685
85,1098,971,66.06814663663572
86,1098,1065,22.825424421026653
87,1098,1219,72.44308110509934
88,971,976,39.0
89,971,1030,53.600373133029585
90,971,1065,48.08326112068523
91,971,925,30.805843601498726
92,1065,1030,32.202484376209235
93,1432,1416,105.68348972285122
94,1432,1385,32.7566787083184
95,1432,1363,51.894122981316485
96,1432,1365,63.12685640834652
97,1385,1363,32.64965543462902
98,1385,1358,18.027756377319946
99,700,744,28.844410203711913
100,700,718,15.0
101,700,719,27.459060435491963
102,692,717,19.924858845171276
103,692,656,23.259406699226016
104,692,696,22.360679774997898
105,692,898,106.21205204683694
106,656,696,27.730849247724095
107,656,673,27.65863337187866
108,656,623,45.79301256742124
109,696,717,21.93171219946131
110,696,673,24.20743687382041
111,569,588,16.97056274847714
112,569,542,26.419689627245813
113,569,527,27.16615541441225
114,569,546,25.0
115,527,499,22.627416997969522
116,527,542,24.413111231467404
117,527,546,25.942243542145693
118,469,396,48.373546489791295
119,469,502,26.1725046566048
120,469,453,22.47220505424423
121,502,545,57.697486947006624
122,502,453,38.47076812334269
123,453,396,34.132096331752024
124,453,545,68.09552114493287
125,396,366,29.732137494637012
126,396,387,28.284271247461902
127,347,392,31.32091952673165
128,347,366,32.89376840679705
129,347,387,37.013511046643494
130,347,353,59.413803110051795
131,347,296,44.654227123532216
132,392,353,55.036351623268054
133,392,406,53.46026561849464
134,392,387,32.01562118716424
135,366,387,19.697715603592208
136,552,589,26.076809620810597
137,552,522,28.30194339616981
138,552,606,54.644304369257
139,499,475,25.80697580112788
140,499,542,30.265491900843113
141,499,512,31.04834939252005
142,499,462,26.0
143,253,248,45.17742799230607
144,253,296,43.840620433565945
145,253,291,48.25971404805462
146,296,353,55.60575509783138
147,296,291,71.11258679024411
148,75,68,24.331050121192877
149,75,36,56.859475903318
150,75,56,31.400636936215164
151,56,36,63.50590523722971
152,56,8,78.00640999302557
153,56,74,35.22782990761707
154,4,2,2210.0
155,2,8,72.44308110509934
156,864,944,44.28317965096906
157,864,903,34.0
158,864,817,41.88078318274385
159,864,812,25.179356624028344
160,864,846,29.410882339705484
161,919,981,34.36568055487916
162,919,1057,81.85963596303125
163,775,770,20.396078054371138
164,775,824,33.54101966249684
165,775,804,27.65863337187866
166,702,726,17.88854381999832
167,702,685,16.55294535724685
168,702,695,17.72004514666935
169,726,760,20.0
170,726,695,22.847319317591726
171,726,741,17.26267650163207
172,685,725,22.561028345356956
173,685,662,20.591260281974
174,685,689,22.02271554554524
175,685,695,32.0624390837628
176,725,689,27.018512172212592
177,725,729,19.1049731745428
178,516,451,39.319206502675
179,516,474,36.796738985948195
180,516,485,55.02726596879042
181,451,442,26.248809496813376
182,451,474,32.31098884280702
183,451,319,85.14693182963201
184,474,457,36.87817782917155
185,474,442,20.615528128088304
186,474,485,28.460498941515414
187,485,457,19.235384061671343
188,485,503,19.1049731745428
189,1157,1109,32.55764119219941
190,1157,1182,22.02271554554524
191,1182,1109,40.26164427839479
192,1182,1160,33.54101966249684
193,992,937,31.04834939252005
194,992,970,39.84971769034255
195,1686,1698,23.769728648009426
196,1686,1657,23.021728866442675
197,1686,1677,30.01666203960727
198,1686,1652,40.496913462633174
199,2186,2185,15.033296378372908
200,1555,1575,2522.0
201,944,903,26.40075756488817
202,944,967,36.68787265568828
203,903,841,29.966648127543394
204,903,967,42.43819034784589
205,903,846,25.079872407968907
206,841,967,62.96824596572466
207,841,891,66.12866246946176
208,841,811,20.615528128088304
209,841,846,15.132745950421556
210,1193,1194,22.02271554554524
211,1193,1177,31.016124838541646
212,1193,1239,31.400636936215164
213,1193,1211,44.14748010928823
214,2165,2149,16.278820596099706
215,2165,2175,13.92838827718412
216,717,898,88.76936408468859
217,1235,1213,26.40075756488817
218,1235,1191,31.575306807693888
219,1235,1229,30.265491900843113
220,1235,1292,37.12142238654117
221,1235,1276,29.410882339705484
222,1324,1363,38.27531841800928
223,1324,1358,22.135943621178654
224,1324,1292,24.20743687382041
225,1324,1276,28.0178514522438
226,1358,1363,39.0
227,659,638,29.5296461204668
228,659,605,40.496913462633174
229,659,673,27.459060435491963
230,659,623,29.154759474226502
231,673,623,32.31098884280702
232,623,605,31.78049716414141
