,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 836)",0,0,2,0,0,4,0
"('cell', 844)",0,0,2,0,0,1,1
"('cell', 19)",0,0,3,0,0,4,0
"('cell', 16)",0,0,2,0,1,1,0
"('cell', 840)",0,0,0,0,0,6,0
"('cell', 819)",0,0,1,0,0,4,0
"('cell', 482)",0,0,5,0,0,5,0
"('cell', 505)",0,0,7,0,3,3,3
"('cell', 539)",0,0,5,0,1,2,2
"('cell', 555)",0,0,4,0,0,2,0
"('cell', 876)",0,2,5,0,0,2,0
"('cell', 1217)",0,0,1,0,0,4,0
"('cell', 1208)",0,0,0,0,0,2,0
"('cell', 1207)",0,0,0,0,0,3,0
"('cell', 1211)",0,0,1,0,0,4,0
"('cell', 855)",0,0,2,0,2,6,0
"('cell', 1214)",0,0,0,0,0,4,0
"('cell', 1200)",0,0,0,0,0,7,0
"('cell', 951)",0,0,0,0,1,5,0
"('cell', 915)",0,0,1,0,1,5,0
"('cell', 1178)",0,2,1,0,0,3,0
"('cell', 1212)",0,0,3,0,0,5,0
"('cell', 1170)",0,0,4,0,0,4,0
"('cell', 1163)",0,0,4,0,0,6,0
"('cell', 1151)",0,0,3,0,0,7,0
"('cell', 1032)",0,2,1,0,1,16,0
"('cell', 967)",0,0,6,0,0,3,0
"('cell', 724)",0,0,5,0,0,4,0
"('cell', 688)",0,0,5,0,0,4,1
"('cell', 861)",0,1,1,0,2,0,1
"('cell', 875)",0,1,3,0,2,2,1
"('cell', 832)",0,0,1,0,3,1,2
"('cell', 888)",0,2,2,0,0,3,0
"('cell', 868)",0,2,3,0,0,2,0
"('cell', 3)",0,0,1,0,0,2,1
"('cell', 34)",0,0,2,0,0,2,0
"('cell', 236)",0,0,2,0,0,6,0
"('cell', 261)",0,0,2,0,0,7,0
"('cell', 2)",0,0,0,0,1,0,0
"('cell', 444)",0,0,2,0,1,1,4
"('cell', 562)",0,0,0,0,0,0,10
"('cell', 877)",0,0,3,0,1,7,0
"('cell', 513)",0,0,0,0,2,5,3
"('cell', 799)",0,0,0,0,0,5,0
"('cell', 809)",0,0,0,0,0,5,0
"('cell', 782)",0,0,1,0,0,7,0
"('cell', 808)",0,0,2,0,0,7,0
"('cell', 475)",0,0,5,0,0,1,1
"('cell', 385)",0,0,6,0,0,8,0
"('cell', 753)",0,0,3,0,0,1,0
"('cell', 518)",0,0,4,0,0,5,0
"('cell', 914)",0,1,3,0,1,6,3
"('cell', 902)",0,1,2,0,1,3,2
"('cell', 1210)",0,0,2,1,0,5,0
"('cell', 1052)",0,0,4,0,0,4,2
"('cell', 1029)",0,0,3,0,1,7,0
"('cell', 904)",0,0,2,0,1,8,0
"('cell', 924)",0,0,3,0,3,7,0
"('cell', 1042)",0,0,1,0,1,4,1
"('cell', 1114)",0,0,2,0,0,10,1
"('cell', 1001)",0,0,2,0,5,6,1
"('cell', 1064)",0,0,3,0,0,7,0
"('cell', 1153)",0,0,6,1,2,2,3
"('cell', 959)",0,0,2,0,2,6,0
"('cell', 919)",0,0,1,0,1,5,0
"('cell', 1159)",0,0,3,0,0,8,0
"('cell', 1189)",0,0,1,0,0,5,0
"('cell', 891)",0,0,4,0,0,7,0
"('cell', 347)",0,0,4,0,3,6,2
"('cell', 1047)",0,0,2,0,0,4,0
"('cell', 1003)",0,1,4,0,0,5,0
"('cell', 977)",0,0,2,0,0,4,3
"('cell', 921)",0,1,2,0,0,2,1
"('cell', 940)",0,1,3,0,0,3,0
"('cell', 838)",0,2,2,0,0,2,0
"('cell', 604)",0,0,6,0,0,7,0
"('cell', 810)",0,0,0,0,5,1,2
"('cell', 795)",0,0,1,0,1,4,1
"('cell', 291)",0,0,4,1,0,3,0
