,src,tgt,distance
0,809,814,12.36931687685298
1,809,746,30.805843601498726
2,2240,2296,34.40930106817051
3,2240,2246,21.02379604162864
4,26,30,57.21887800367987
5,26,55,28.442925306655784
6,26,58,42.42640687119285
7,26,38,54.57105459856901
8,814,810,18.110770276274835
9,814,746,28.635642126552707
10,2645,2824,63.34824385884742
11,2645,2641,44.01136216933077
12,2645,2716,33.301651610693426
13,2645,2562,26.076809620810597
14,2645,2588,28.284271247461902
15,2214,2312,41.6293165929973
16,2214,2206,24.020824298928627
17,2214,2235,25.059928172283335
18,2214,2324,51.31276644267
19,2214,2129,28.635642126552707
20,2214,2201,20.615528128088304
21,2267,2306,13.038404810405298
22,2267,2245,16.55294535724685
23,2267,2206,46.647615158762406
24,2267,2324,41.182520563948
25,2267,2190,29.732137494637012
26,2773,2724,27.65863337187866
27,2773,2725,19.026297590440446
28,2773,2750,22.360679774997898
29,2773,2808,30.083217912982647
30,2773,2795,24.041630560342615
31,2773,2907,48.05205510693585
32,18,23,30.59411708155671
33,18,22,20.615528128088304
34,18,36,19.026297590440446
35,84,123,53.33854141237835
36,84,54,26.248809496813376
37,84,124,30.463092423455635
38,54,64,20.396078054371138
39,54,30,42.720018726587654
40,982,1062,30.083217912982647
41,982,975,20.615528128088304
42,982,1013,30.463092423455635
43,982,1053,27.202941017470888
44,975,1013,21.93171219946131
45,1013,1099,33.24154027718932
46,1013,1088,35.38361202590826
47,1013,1053,24.413111231467404
48,1088,1099,15.652475842498529
49,1088,1072,15.524174696260024
50,424,462,21.633307652783937
51,424,460,30.0
52,1053,1062,16.278820596099706
53,1053,1112,23.706539182259394
54,1053,1099,36.235341863986875
55,3311,3244,33.60059523282288
56,3311,3252,24.0
57,3485,3535,24.839484696748443
58,3485,3508,20.248456731316587
59,3485,3466,22.847319317591726
60,3485,3502,25.0
61,3535,3556,25.079872407968907
62,3535,3502,14.422205101855956
63,1712,1774,21.095023109728988
64,1712,1651,23.194827009486403
65,1712,1681,31.016124838541646
66,2031,1971,20.09975124224178
67,2031,1989,21.213203435596427
68,2031,2079,19.849433241279208
69,2031,2119,26.0
70,2031,1950,29.120439557122072
71,1971,1989,13.92838827718412
72,1971,1950,12.806248474865697
73,1989,2079,30.066592756745816
74,3379,3331,30.610455730027933
75,3379,3303,36.013886210738214
76,3379,3125,109.73149046650191
77,2079,2119,17.029386365926403
78,2079,2167,30.870698080866262
79,2795,2750,17.26267650163207
80,2795,2907,51.85556864985669
81,2324,2373,18.35755975068582
82,2324,2306,37.656340767525464
83,2324,2206,44.181444068749045
84,2324,2312,45.27692569068709
85,2324,2360,45.880278987817846
86,2518,2523,29.017236257093817
87,2518,2450,34.058772731852805
88,2907,2995,40.45985664828782
89,2907,2922,42.42640687119285
90,2,16,2738.0
91,36,23,31.78049716414141
92,36,22,25.238858928247925
93,23,20,62.00806399170998
94,256,236,17.029386365926403
95,256,292,24.186773244895647
96,1,8,28.178005607210743
97,8,43,38.01315561749642
98,8,31,31.38470965295043
99,8,35,36.89173349139343
