,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 809)",0,0,1,4,0,1,0
"('cell', 2240)",0,0,0,2,0,0,1
"('cell', 26)",0,0,0,1,0,0,0
"('cell', 814)",0,0,2,5,1,1,0
"('cell', 2645)",0,0,1,2,0,0,1
"('cell', 2214)",0,0,1,4,0,0,0
"('cell', 2267)",0,0,0,4,0,0,0
"('cell', 2773)",0,0,1,1,0,2,0
"('cell', 18)",0,0,0,3,0,1,0
"('cell', 84)",0,0,0,2,0,0,1
"('cell', 54)",0,0,0,2,0,0,0
"('cell', 982)",0,0,0,3,0,0,0
"('cell', 975)",0,0,0,4,0,1,0
"('cell', 1013)",0,0,1,5,0,1,0
"('cell', 1088)",0,0,2,3,0,1,0
"('cell', 424)",0,0,0,3,0,0,0
"('cell', 1053)",0,0,0,2,0,0,0
"('cell', 3311)",0,0,3,5,1,0,1
"('cell', 3485)",0,0,1,3,0,0,0
"('cell', 3535)",0,0,1,1,0,0,0
"('cell', 1712)",0,0,0,2,0,1,0
"('cell', 2031)",0,0,0,1,0,1,0
"('cell', 1971)",0,0,0,1,0,1,0
"('cell', 1989)",0,0,0,1,0,1,0
"('cell', 3379)",0,0,2,0,0,0,0
"('cell', 2079)",0,0,0,1,0,1,0
"('cell', 2795)",0,0,0,0,0,3,1
"('cell', 2324)",0,0,2,3,0,0,0
"('cell', 2518)",0,0,4,1,0,3,1
"('cell', 2907)",0,0,0,0,0,1,0
"('cell', 2)",0,0,2,3,3,0,0
"('cell', 36)",0,0,0,6,0,1,0
"('cell', 23)",0,0,0,5,0,1,2
"('cell', 256)",0,0,2,3,0,0,0
"('cell', 1)",0,0,0,1,0,0,0
"('cell', 8)",0,0,0,3,2,0,0
"('cell', 67)",0,0,1,5,0,1,0
"('cell', 58)",0,0,0,3,0,1,0
"('cell', 43)",0,0,0,5,0,0,0
"('cell', 31)",0,0,0,3,0,0,0
"('cell', 38)",0,0,1,5,0,0,0
"('cell', 35)",0,0,1,6,2,0,0
"('cell', 124)",0,0,0,5,0,0,4
"('cell', 102)",0,0,0,6,0,0,1
"('cell', 142)",0,0,0,4,0,0,5
"('cell', 285)",0,0,1,4,0,0,2
"('cell', 2104)",0,0,0,4,0,0,0
"('cell', 2098)",0,0,0,5,0,0,0
"('cell', 810)",0,0,2,2,1,2,0
"('cell', 821)",0,0,2,1,1,2,0
"('cell', 729)",0,0,1,2,0,0,0
"('cell', 416)",0,0,0,4,0,0,0
"('cell', 319)",0,0,1,4,0,0,1
"('cell', 1444)",0,0,2,1,0,0,1
"('cell', 1794)",0,0,0,4,0,0,0
"('cell', 1750)",0,0,0,4,0,0,0
"('cell', 2130)",0,0,2,3,1,0,0
"('cell', 2178)",0,0,0,1,0,0,1
"('cell', 2169)",0,0,1,2,1,0,1
"('cell', 2296)",0,0,2,3,0,0,1
"('cell', 2246)",0,0,2,3,1,0,1
"('cell', 2352)",0,0,3,4,0,0,1
"('cell', 2179)",0,0,3,5,1,0,0
"('cell', 1654)",0,0,0,10,2,0,0
"('cell', 1835)",0,0,0,6,0,0,1
"('cell', 2716)",0,0,1,3,0,0,0
"('cell', 3190)",0,0,0,1,0,0,2
"('cell', 3251)",0,0,0,2,0,0,2
"('cell', 3147)",0,0,0,3,0,0,1
"('cell', 3244)",0,0,2,8,1,0,0
"('cell', 3252)",0,0,1,5,1,0,0
"('cell', 3508)",0,0,1,5,0,0,0
"('cell', 3509)",0,0,1,1,0,0,0
"('cell', 3556)",0,0,1,0,0,0,0
"('cell', 2490)",0,0,0,1,0,0,1
"('cell', 2562)",0,0,0,2,0,0,1
"('cell', 2527)",0,0,0,2,0,0,0
"('cell', 2451)",0,0,0,1,0,0,1
"('cell', 2387)",0,0,0,3,0,0,1
"('cell', 2588)",0,0,0,1,0,0,1
"('cell', 2505)",0,0,0,1,0,0,0
"('cell', 1562)",0,0,0,1,0,2,0
"('cell', 1420)",0,0,2,1,0,4,0
"('cell', 1347)",0,0,1,1,0,3,0
"('cell', 1401)",0,0,2,2,0,3,0
"('cell', 1419)",0,0,0,0,0,2,0
"('cell', 1406)",0,0,1,0,0,3,0
"('cell', 1365)",0,0,0,0,0,2,0
"('cell', 1252)",0,0,2,0,0,2,0
"('cell', 1292)",0,0,1,0,0,2,0
"('cell', 2190)",0,0,0,2,0,0,0
"('cell', 2119)",0,0,0,2,0,0,0
"('cell', 2167)",0,0,0,2,0,0,0
"('cell', 1879)",0,0,0,1,0,1,0
"('cell', 1950)",0,0,0,3,0,1,0
"('cell', 1815)",0,0,0,1,0,1,0
"('cell', 3549)",0,0,4,1,0,1,0
"('cell', 2724)",0,0,2,1,1,2,0
"('cell', 2709)",0,0,3,0,0,3,1
"('cell', 2725)",0,0,3,1,0,2,1
"('cell', 2750)",0,0,1,0,0,3,1
"('cell', 2355)",0,0,2,1,0,1,0
"('cell', 2373)",0,0,2,1,0,1,1
"('cell', 2306)",0,0,1,2,0,0,0
"('cell', 2404)",0,0,2,1,0,1,1
"('cell', 2415)",0,0,2,0,0,2,1
"('cell', 2245)",0,0,1,2,0,1,0
"('cell', 2523)",0,0,3,2,0,2,1
"('cell', 2995)",0,0,0,1,0,0,0
"('cell', 2922)",0,0,0,2,2,0,0
"('cell', 3561)",0,0,0,3,0,0,0
"('cell', 3288)",0,0,0,3,0,0,0
"('cell', 41)",0,0,1,3,0,0,0
"('cell', 107)",0,0,1,7,0,0,0
"('cell', 73)",0,0,1,0,1,1,6
"('cell', 186)",0,0,3,2,1,0,0
"('cell', 236)",0,0,3,3,0,0,0
"('cell', 386)",0,0,0,9,0,0,8
"('cell', 255)",0,0,0,10,2,0,2
"('cell', 215)",0,0,1,5,2,1,3
"('cell', 22)",0,0,0,3,0,1,0
"('cell', 19)",0,0,0,2,0,0,0
"('cell', 40)",0,0,0,2,0,0,0
"('cell', 4)",0,0,0,1,0,0,0
"('cell', 17)",0,0,0,2,0,0,0
"('cell', 126)",0,0,0,5,0,0,0
"('cell', 20)",0,0,0,3,0,0,5
"('cell', 182)",0,0,0,4,0,1,0
"('cell', 160)",0,0,0,7,0,1,0
"('cell', 159)",0,0,0,4,0,1,0
"('cell', 165)",0,0,1,6,0,0,0
"('cell', 152)",0,0,0,9,0,1,0
"('cell', 146)",0,0,4,1,1,1,0
"('cell', 198)",0,0,4,1,1,1,0
"('cell', 192)",0,0,3,2,1,1,3
"('cell', 230)",0,0,0,4,0,0,0
"('cell', 258)",0,0,0,7,0,1,0
"('cell', 775)",0,0,1,1,0,1,2
"('cell', 808)",0,0,2,1,0,1,0
