,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 543)",0,0,1,5,0,0,0
"('cell', 918)",0,0,1,1,0,0,1
"('cell', 14)",0,1,0,0,0,0,0
"('cell', 16)",0,1,0,0,0,0,0
"('cell', 24)",0,1,1,0,0,0,0
"('cell', 10)",0,1,0,0,0,0,0
"('cell', 7)",0,1,0,0,0,0,0
"('cell', 22)",0,1,1,0,0,0,0
"('cell', 904)",0,0,2,1,0,0,0
"('cell', 893)",0,0,2,1,0,0,1
"('cell', 643)",0,0,4,1,0,1,1
"('cell', 39)",0,0,1,0,1,1,0
"('cell', 55)",0,0,1,0,0,0,0
"('cell', 648)",0,0,5,5,0,0,0
"('cell', 5)",0,0,1,0,0,0,0
"('cell', 131)",0,0,2,0,0,0,0
"('cell', 126)",0,0,2,0,0,0,0
"('cell', 106)",0,0,4,0,0,0,0
"('cell', 109)",0,0,3,0,0,0,0
"('cell', 143)",0,0,1,0,0,0,0
"('cell', 127)",0,0,0,0,0,5,0
"('cell', 116)",0,0,1,0,0,5,0
"('cell', 790)",0,0,4,1,0,0,0
"('cell', 697)",0,0,1,1,0,2,0
"('cell', 687)",0,0,3,1,0,2,1
"('cell', 829)",0,0,3,4,0,0,0
"('cell', 884)",0,0,3,3,0,0,0
"('cell', 699)",0,0,7,2,0,3,1
"('cell', 694)",0,0,6,2,0,0,1
"('cell', 169)",0,0,3,0,2,0,0
"('cell', 190)",0,0,2,0,2,0,0
"('cell', 160)",0,0,3,0,2,0,0
"('cell', 734)",0,0,4,1,0,0,0
"('cell', 695)",0,0,1,6,0,0,1
"('cell', 337)",0,0,0,1,0,0,0
"('cell', 309)",0,0,0,1,0,0,0
"('cell', 303)",0,0,7,0,1,0,0
"('cell', 272)",0,0,5,0,1,0,0
"('cell', 250)",0,0,1,0,0,0,0
"('cell', 749)",0,0,8,0,0,2,5
"('cell', 778)",0,0,4,0,0,5,0
"('cell', 48)",0,1,5,0,0,0,0
"('cell', 18)",0,1,1,0,0,0,0
"('cell', 2)",0,0,2,0,0,0,0
"('cell', 12)",0,0,2,0,0,0,0
"('cell', 107)",0,0,7,0,0,0,0
"('cell', 59)",0,1,4,0,0,0,0
"('cell', 32)",0,1,1,0,0,0,0
"('cell', 51)",0,1,4,0,0,0,0
"('cell', 135)",0,0,3,0,0,0,0
"('cell', 140)",0,0,4,0,0,0,0
"('cell', 114)",0,0,0,0,0,3,0
"('cell', 121)",0,0,0,0,0,3,0
"('cell', 144)",0,0,4,0,0,0,0
"('cell', 138)",0,0,3,0,0,0,0
"('cell', 141)",0,0,2,0,0,0,0
"('cell', 158)",0,0,3,0,0,0,0
"('cell', 147)",0,0,2,0,0,0,0
"('cell', 152)",0,0,3,0,0,0,0
"('cell', 159)",0,0,3,0,0,0,0
"('cell', 149)",0,0,3,0,0,0,0
"('cell', 529)",0,0,2,5,0,0,0
"('cell', 495)",0,0,2,6,0,0,0
"('cell', 455)",0,0,1,6,0,0,1
"('cell', 345)",0,1,1,2,0,0,0
"('cell', 373)",0,0,0,0,0,0,3
"('cell', 891)",0,0,2,1,0,1,0
"('cell', 830)",0,0,2,2,0,1,2
"('cell', 857)",0,0,2,1,0,1,1
"('cell', 868)",0,0,2,1,0,1,1
"('cell', 890)",0,0,3,0,0,1,0
"('cell', 892)",0,0,2,3,0,0,0
"('cell', 864)",0,0,1,2,0,0,0
"('cell', 834)",0,0,5,3,0,0,0
"('cell', 885)",0,0,0,1,0,0,0
"('cell', 845)",0,0,5,0,0,0,0
"('cell', 799)",0,0,2,0,0,0,0
"('cell', 827)",0,0,2,0,0,0,0
"('cell', 788)",0,0,5,0,0,0,0
"('cell', 797)",0,0,5,1,0,0,0
"('cell', 957)",0,0,0,0,0,0,1
"('cell', 950)",0,0,2,0,0,0,0
"('cell', 1056)",0,0,1,0,0,0,0
"('cell', 887)",0,0,5,5,0,0,0
"('cell', 810)",0,0,5,2,0,0,4
"('cell', 833)",0,0,4,4,0,0,3
"('cell', 290)",0,0,0,1,0,0,0
"('cell', 86)",0,0,2,0,0,0,0
"('cell', 100)",0,0,2,0,0,0,0
"('cell', 99)",0,0,2,0,0,0,0
"('cell', 42)",0,0,1,0,0,0,0
"('cell', 101)",0,0,1,0,0,0,0
"('cell', 94)",0,0,1,0,0,0,0
"('cell', 84)",0,0,2,0,1,1,0
"('cell', 314)",0,0,0,1,0,0,0
"('cell', 623)",0,0,5,5,0,0,0
"('cell', 785)",0,0,7,0,0,0,0
"('cell', 779)",0,0,6,1,0,0,0
"('cell', 774)",0,0,7,0,0,0,0
"('cell', 281)",0,0,6,0,0,0,0
"('cell', 291)",0,0,7,0,0,0,0
"('cell', 268)",0,0,4,0,0,0,0
"('cell', 260)",0,0,4,0,0,0,0
