,src,tgt,distance
0,653,618,16.0312195418814
1,653,630,21.93171219946131
2,653,702,30.805843601498726
3,653,663,16.76305461424021
4,653,673,32.31098884280702
5,2140,2125,18.867962264113206
6,2140,2151,22.360679774997898
7,673,630,23.259406699226016
8,673,702,29.206163733020468
9,673,695,16.492422502470642
10,293,351,1233.0
11,351,409,53.600373133029585
12,490,511,42.05948168962618
13,490,453,24.698178070456937
14,490,525,25.632011235952593
15,490,543,41.400483088968905
16,1931,1933,23.021728866442675
17,1931,1890,26.92582403567252
18,1931,1965,25.317977802344327
19,1933,1903,23.706539182259394
20,1933,1890,25.632011235952593
21,1933,1936,20.024984394500787
22,1933,1965,30.610455730027933
23,1933,1959,21.0
24,2121,2151,36.40054944640259
25,2121,2076,2929.0
26,2041,2012,26.92582403567252
27,2041,2051,21.93171219946131
28,2041,2027,24.186773244895647
29,2051,2027,27.459060435491963
30,1707,1760,31.304951684997057
31,1707,1785,47.095647357266465
32,1707,1706,20.0
33,1707,1656,39.44616584663204
34,1760,1784,20.024984394500787
35,1760,1785,25.495097567963924
36,1760,1737,36.87817782917155
37,1760,1778,23.600847442411894
38,1760,1706,28.635642126552707
39,1890,1871,23.345235059857504
40,1890,1903,20.223748416156685
41,1974,1936,30.4138126514911
42,1974,1999,26.0
43,1974,1959,18.027756377319946
44,1615,1581,34.66987164671943
45,1615,1656,29.732137494637012
46,1615,1643,39.81205847478876
47,1936,1910,24.758836806279895
48,1936,1903,23.769728648009426
49,1936,1959,28.284271247461902
50,790,817,22.825424421026653
51,790,767,15.132745950421556
52,790,833,18.788294228055936
53,1989,2008,27.459060435491963
54,1989,1988,15.0
55,1989,2020,23.259406699226016
56,1989,1965,23.345235059857504
57,1989,1999,29.120439557122072
58,1989,1959,34.713109915419565
59,767,817,34.058772731852805
60,767,833,32.55764119219941
61,767,649,75.29276193632427
62,2008,2049,39.56008088970496
63,2008,2028,18.439088914585774
64,2008,1988,17.0
65,2008,2020,33.54101966249684
66,671,672,38.0
67,671,649,26.076809620810597
68,671,622,30.528675044947494
69,649,622,39.84971769034255
70,649,579,40.70626487409524
71,563,584,26.076809620810597
72,563,535,22.360679774997898
73,563,622,36.22154055254967
74,563,579,19.209372712298546
75,622,584,28.42534080710379
76,622,640,26.570660511172846
77,622,672,34.058772731852805
78,622,579,30.610455730027933
79,579,317,155.0290295396317
80,579,475,70.66116330771806
81,579,535,40.607881008493905
82,132,222,85.70297544426332
83,132,257,96.00520819205592
84,132,317,140.57738082636197
85,132,116,41.48493702538308
86,1959,1965,19.235384061671343
87,1959,1999,34.36568055487916
88,1430,1381,81.43709228600933
89,1471,1480,23.769728648009426
90,1471,1447,20.591260281974
91,251,308,46.09772228646444
92,251,339,80.72174428244226
93,251,165,126.05157674539419
94,603,541,37.48332962798263
95,603,670,40.162171256046406
96,603,621,23.769728648009426
97,1113,1050,36.6742416417845
98,1113,1107,21.587033144922902
99,1113,1140,39.395431207184416
100,1050,1005,40.0
101,1050,1004,27.16615541441225
102,1050,1046,39.20459156782532
103,1050,984,42.15447781671598
104,1050,1107,34.0147027033899
105,565,514,31.304951684997057
106,565,578,12.649110640673518
107,565,528,18.110770276274835
108,187,172,41.23105625617661
109,187,160,21.095023109728988
110,187,198,29.546573405388315
111,187,217,23.08679276123039
112,1107,1046,43.01162633521314
113,1107,1099,26.476404589747453
114,1107,1140,25.80697580112788
115,1140,1099,28.231188426986208
116,2005,1915,14089.0
117,441,470,22.360679774997898
118,441,502,40.70626487409524
119,441,466,35.84689665786984
120,441,416,31.38470965295043
121,186,154,24.73863375370596
122,186,176,31.400636936215164
123,186,231,45.803929962395145
124,186,145,39.824615503479755
125,145,111,29.120439557122072
126,145,114,29.732137494637012
127,145,172,50.08991914547278
128,145,154,20.248456731316587
129,921,870,29.154759474226502
130,921,917,19.4164878389476
131,921,957,26.40075756488817
132,870,835,16.0
133,870,874,29.017236257093817
134,870,867,38.05259518088089
135,870,834,38.47076812334269
136,870,917,21.37755832643195
137,1154,1117,23.706539182259394
138,1154,1126,21.213203435596427
139,1154,1183,28.844410203711913
140,917,874,32.01562118716424
141,917,957,20.09975124224178
142,957,1027,47.885279575251516
143,1966,1828,34129.0
144,103,71,30.675723300355934
145,103,98,47.16990566028302
146,103,142,59.64059020499378
147,103,168,49.03060268852505
148,103,137,26.248809496813376
149,103,93,31.04834939252005
150,103,117,32.57299494980466
151,2013,2012,35.35533905932738
152,2013,2047,46.04345773288535
153,2013,2059,37.48332962798263
154,2047,2017,26.92582403567252
155,2047,2059,33.83784863137726
156,98,108,42.7551166528639
157,98,142,38.05259518088089
158,142,169,31.622776601683793
159,142,201,51.42956348249516
160,142,108,50.0
161,142,168,41.43669871020132
162,168,203,33.24154027718932
163,168,157,18.24828759089466
164,168,137,29.206163733020468
165,137,157,20.0
166,137,117,27.459060435491963
167,93,92,24.020824298928627
168,93,81,13.152946437965905
169,93,71,29.0
170,93,117,18.027756377319946
171,1809,1808,19.0
172,1809,1837,28.30194339616981
173,1888,1854,32.89376840679705
174,1888,1915,18.439088914585774
175,117,184,53.009433122794285
176,117,126,26.248809496813376
177,117,92,29.832867780352597
178,117,157,41.88078318274385
179,32,67,37.57658845611187
180,32,10,34.058772731852805
181,32,17,52.81098370604357
182,32,37,27.459060435491963
183,1276,1381,3970.0
184,2017,1990,28.792360097775937
185,2017,2025,26.1725046566048
186,10,17,72.56031973468694
187,1821,1882,4264.0
188,1447,1397,30.59411708155671
189,1447,1480,27.294688127912362
190,1447,1398,32.69556544854363
191,1447,1413,36.71511950137164
192,1398,1397,19.0
193,1398,1413,22.47220505424423
194,1398,1380,20.0
195,1236,1196,31.827660925679098
196,1236,1324,54.42425929675111
197,1236,1258,30.870698080866262
198,1236,1332,57.271284253105414
199,1236,1159,42.0
200,1236,1318,52.773099207835045
201,1236,1232,24.020824298928627
202,1218,1176,25.96150997149434
203,1218,1257,23.769728648009426
204,1218,1232,17.88854381999832
205,1176,1139,23.259406699226016
