,CELL_ID,X,Y
191,192,580,203
1096,1097,207,734
1073,1074,229,717
1142,1143,217,758
1163,1164,203,771
599,600,247,464
1134,1135,1863,751
1070,1071,1847,717
1219,1220,187,799
150,151,555,168
79,80,540,105
126,127,529,140
1125,1126,1805,746
1087,1088,1824,724
1116,1117,1847,744
2329,2330,700,1437
678,679,632,510
590,591,280,453
729,730,629,538
112,113,567,129
963,964,281,662
424,425,1883,367
1124,1125,1789,739
1135,1136,1823,754
2184,2185,1563,1328
2160,2161,1550,1314
2146,2147,1565,1303
2280,2281,939,1400
1316,1317,1850,845
1311,1312,1874,845
1363,1364,1839,868
1925,1926,1755,1161
1686,1687,1774,1031
1930,1931,1010,1166
1980,1981,1079,1205
2068,2069,1061,1258
1175,1176,823,776
1123,1124,266,747
1105,1106,233,740
1051,1052,302,713
1018,1019,284,690
1071,1072,266,715
985,986,317,675
1536,1537,211,960
1514,1515,228,952
1490,1491,220,937
2063,2064,491,1256
533,534,659,424
591,592,657,452
623,624,649,474
651,652,638,489
409,410,646,355
466,467,635,382
495,496,643,402
33,34,723,42
218,219,604,227
181,182,605,199
274,275,923,272
0,1,829,5
26,27,773,34
650,651,268,490
902,903,280,634
852,853,201,606
941,942,255,652
1050,1051,183,710
1289,1290,1338,836
1185,1186,1362,782
1157,1158,1525,767
1109,1110,1520,740
964,965,1623,662
858,859,1720,608
634,635,1884,477
1151,1152,1787,766
1122,1123,1770,738
1076,1077,1668,720
1042,1043,1705,703
1017,1018,1675,687
996,997,1912,680
1043,1044,1859,704
2303,2304,1344,1414
1926,1927,1073,1161
1846,1847,1057,1117
2318,2319,788,1432
2305,2306,894,1418
2314,2315,862,1428
2286,2287,894,1401
1421,1422,1794,898
1682,1683,1730,1029
1742,1743,1765,1063
2016,2017,1720,1224
1960,1961,1731,1187
2194,2195,1538,1334
2212,2213,1477,1348
1543,1544,1622,964
1572,1573,1825,977
1860,1861,1109,1124
1886,1887,1136,1137
1834,1835,1140,1110
1847,1848,1123,1115
1996,1997,1010,1212
1957,1958,1008,1187
1961,1962,1041,1189
2188,2189,983,1332
2290,2291,690,1407
2308,2309,703,1421
2268,2269,699,1388
2235,2236,714,1366
2281,2282,654,1399
2278,2279,678,1402
2309,2310,658,1420
697,698,613,519
707,708,684,525
924,925,689,642
890,891,694,625
1100,1101,1058,735
1179,1180,859,781
1165,1166,853,770
1085,1086,456,729
1324,1325,564,852
1551,1552,563,970
1586,1587,576,985
1429,1430,548,901
1191,1192,753,785
1137,1138,745,755
998,999,723,685
1089,1090,735,728
1072,1073,713,716
957,958,724,660
976,977,700,668
1026,1027,685,694
1117,1118,300,743
1144,1145,375,759
1177,1178,390,780
1564,1565,243,977
549,550,683,432
363,364,937,334
1007,1008,1238,689
919,920,708,642
624,625,894,473
147,148,1443,165
180,181,1447,194
682,683,243,510
716,717,234,531
666,667,228,498
690,691,258,517
647,648,248,490
784,785,217,566
765,766,237,556
753,754,219,547
820,821,210,587
871,872,243,616
818,819,232,585
846,847,224,604
839,840,264,601
899,900,246,633
1028,1029,1444,694
1046,1047,1468,707
989,990,1454,678
762,763,1525,554
805,806,1531,579
791,792,1566,571
940,941,1502,649
1115,1116,1464,742
1205,1206,1469,790
1025,1026,1589,693
658,659,1456,493
743,744,1891,543
712,713,1898,526
786,787,1902,567
685,686,1884,512
813,814,1822,582
770,771,1799,558
771,772,1863,558
806,807,1861,580
763,764,1574,552
465,466,1884,385
423,424,1807,365
719,720,1831,530
721,722,1801,532
1133,1134,1715,753
1090,1091,1733,731
1104,1105,1699,737
1128,1129,1660,750
1218,1219,1561,794
1153,1154,1552,764
1049,1050,1609,706
1389,1390,1730,883
817,818,1883,586
2250,2251,922,1377
2256,2257,963,1382
2195,2196,940,1335
2191,2192,961,1334
2203,2204,1150,1343
2118,2119,1171,1287
2176,2177,1173,1323
2099,2100,1201,1274
2291,2292,974,1408
2261,2262,1025,1386
2269,2270,996,1390
2282,2283,1029,1403
2288,2289,993,1406
2010,2011,1297,1221
2038,2039,1290,1236
2060,2061,1298,1268
2041,2042,1256,1237
2050,2051,1269,1246
2255,2256,890,1380
2295,2296,859,1408
2273,2274,847,1393
