,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 13)",0,2,3,3,3,1,1
"('cell', 25)",0,0,0,3,0,0,0
"('cell', 1720)",0,0,1,0,0,0,0
"('cell', 1333)",0,1,0,0,0,0,0
"('cell', 1371)",0,1,0,0,0,0,0
"('cell', 1323)",0,2,0,0,0,0,0
"('cell', 1459)",0,2,0,0,0,2,0
"('cell', 11)",0,0,0,3,0,0,0
"('cell', 608)",0,0,1,0,2,10,1
"('cell', 812)",0,0,0,0,2,5,0
"('cell', 872)",0,0,1,0,2,5,0
"('cell', 1745)",0,0,2,2,0,0,1
"('cell', 1516)",0,1,0,0,0,2,0
"('cell', 1497)",0,1,0,0,0,2,0
"('cell', 1548)",0,1,1,0,0,2,0
"('cell', 1342)",0,2,0,0,0,0,0
"('cell', 1318)",0,2,0,0,0,0,0
"('cell', 1384)",0,1,0,0,0,0,0
"('cell', 1410)",0,1,0,0,0,0,0
"('cell', 1402)",0,3,1,0,0,0,0
"('cell', 1407)",0,1,0,0,0,0,0
"('cell', 1478)",0,2,0,0,0,1,0
"('cell', 1442)",0,2,0,0,0,1,0
"('cell', 1398)",0,2,1,0,0,0,0
"('cell', 1948)",0,0,1,0,0,0,0
"('cell', 1893)",0,0,1,0,0,0,0
"('cell', 1821)",0,0,3,1,0,0,1
"('cell', 1849)",0,0,0,1,0,0,0
"('cell', 1877)",0,0,0,1,0,0,1
"('cell', 39)",0,0,2,4,3,1,0
"('cell', 17)",0,1,3,3,1,1,0
"('cell', 8)",0,1,1,3,0,1,0
"('cell', 24)",0,0,2,3,0,0,0
"('cell', 809)",0,0,2,0,2,7,0
"('cell', 217)",0,0,5,3,5,1,0
"('cell', 162)",0,0,4,3,2,0,0
"('cell', 41)",0,2,2,2,2,4,1
"('cell', 1647)",0,0,0,1,0,0,0
"('cell', 1546)",0,1,0,0,0,0,0
"('cell', 1409)",0,0,0,3,0,0,0
"('cell', 1606)",0,0,0,3,0,0,1
"('cell', 1661)",0,0,1,3,0,0,1
"('cell', 1557)",0,0,0,4,0,0,0
"('cell', 1734)",0,0,0,2,0,0,0
"('cell', 279)",0,1,1,1,0,0,0
"('cell', 271)",0,1,2,0,0,0,0
"('cell', 272)",0,1,2,0,0,0,0
"('cell', 312)",0,2,1,1,1,0,0
"('cell', 53)",0,3,0,2,0,0,0
"('cell', 43)",0,0,0,2,0,0,0
"('cell', 52)",0,4,0,2,0,0,0
"('cell', 1730)",0,0,1,0,0,1,0
"('cell', 1704)",0,0,1,0,0,1,0
"('cell', 1508)",0,0,0,0,0,2,0
"('cell', 1368)",0,3,1,0,0,0,0
"('cell', 1445)",0,1,1,0,0,0,0
"('cell', 1714)",0,0,0,1,0,0,0
"('cell', 2230)",0,0,3,0,4,1,0
"('cell', 2198)",0,0,2,0,2,0,0
"('cell', 2185)",0,0,2,0,2,0,0
"('cell', 2318)",0,0,5,0,3,1,0
"('cell', 2195)",0,0,4,0,2,1,0
"('cell', 2256)",0,0,4,0,2,0,0
"('cell', 2303)",0,0,3,0,2,0,0
"('cell', 2302)",0,0,3,0,1,0,0
"('cell', 1697)",0,0,3,2,0,0,1
"('cell', 1705)",0,0,0,1,0,0,0
"('cell', 1773)",0,0,0,1,0,0,0
"('cell', 1800)",0,0,0,2,0,0,1
"('cell', 1886)",0,0,0,2,0,0,1
"('cell', 1721)",0,0,3,0,0,0,0
"('cell', 1682)",0,0,4,1,0,0,0
"('cell', 1744)",0,0,1,0,0,0,0
"('cell', 1484)",0,0,0,1,0,0,0
"('cell', 1452)",0,0,0,2,0,0,0
"('cell', 269)",0,0,2,0,0,6,0
"('cell', 126)",0,1,0,1,0,0,0
"('cell', 147)",0,0,1,3,0,0,0
"('cell', 184)",0,0,2,4,2,1,1
"('cell', 226)",0,0,2,3,4,1,1
"('cell', 148)",0,2,0,3,2,0,0
"('cell', 224)",0,0,3,0,2,6,0
"('cell', 172)",0,0,3,1,4,10,2
"('cell', 71)",0,5,1,0,2,1,1
"('cell', 37)",0,3,1,0,1,1,0
"('cell', 1727)",0,0,0,2,0,0,0
"('cell', 1761)",0,0,0,1,0,0,0
"('cell', 1646)",0,0,0,1,0,0,0
"('cell', 1688)",0,0,0,1,0,0,0
"('cell', 1698)",0,0,0,1,0,0,0
"('cell', 1493)",0,1,0,0,0,0,0
"('cell', 1649)",0,1,2,1,0,0,0
"('cell', 1529)",0,2,2,0,0,0,0
"('cell', 1691)",0,0,0,1,0,0,0
"('cell', 1683)",0,0,0,1,0,0,0
"('cell', 1791)",0,0,0,3,0,0,0
"('cell', 1771)",0,0,0,3,0,0,0
"('cell', 1815)",0,0,0,3,0,0,1
"('cell', 1768)",0,0,0,3,0,0,1
"('cell', 1074)",0,2,0,0,0,0,0
"('cell', 660)",0,0,3,3,3,2,0
"('cell', 802)",0,0,2,0,0,3,0
"('cell', 1093)",0,1,0,0,1,1,0
"('cell', 315)",0,3,2,1,1,0,0
"('cell', 302)",0,3,2,0,0,0,1
"('cell', 86)",0,4,0,2,0,0,0
"('cell', 64)",0,2,0,2,0,0,0
"('cell', 129)",0,3,1,1,0,3,0
"('cell', 54)",0,0,2,3,2,0,0
"('cell', 30)",0,0,0,1,0,0,0
"('cell', 21)",0,0,0,2,0,0,0
"('cell', 1671)",0,0,1,0,0,2,0
"('cell', 1675)",0,0,1,0,0,1,0
"('cell', 1651)",0,0,1,0,0,1,0
"('cell', 1601)",0,0,1,0,0,2,0
"('cell', 1674)",0,0,1,0,0,1,0
"('cell', 1604)",0,0,0,0,0,2,0
"('cell', 1640)",0,0,1,0,0,2,0
"('cell', 1293)",0,2,2,0,0,0,0
"('cell', 1079)",0,0,4,0,2,4,1
"('cell', 2206)",0,0,0,0,0,1,0
"('cell', 1795)",0,0,1,0,0,0,0
"('cell', 1855)",0,0,1,0,0,0,0
"('cell', 1885)",0,0,1,0,0,0,0
"('cell', 1665)",0,0,0,0,1,0,0
"('cell', 1627)",0,0,1,0,0,0,0
"('cell', 1811)",0,0,0,1,0,0,0
"('cell', 1783)",0,0,0,1,0,0,0
"('cell', 1777)",0,0,0,1,0,0,0
"('cell', 2169)",0,0,3,0,4,0,0
"('cell', 2208)",0,0,4,0,6,0,0
"('cell', 2153)",0,0,2,0,4,0,0
"('cell', 1864)",0,0,0,1,0,0,1
"('cell', 1861)",0,0,0,1,0,0,0
"('cell', 2127)",0,0,1,0,0,0,0
"('cell', 2130)",0,0,1,0,0,0,0
"('cell', 2181)",0,0,2,0,2,0,0
"('cell', 2182)",0,0,3,0,2,0,0
"('cell', 1258)",0,0,2,0,0,0,0
"('cell', 1707)",0,0,0,0,0,0,1
"('cell', 1715)",0,0,0,0,0,0,1
"('cell', 1794)",0,0,0,1,0,0,1
"('cell', 1796)",0,0,0,1,0,0,1
"('cell', 1830)",0,0,0,1,0,0,1
"('cell', 1726)",0,0,0,0,0,0,1
"('cell', 1457)",0,4,4,0,1,0,0
"('cell', 1462)",0,3,4,0,1,0,0
"('cell', 1638)",0,2,3,0,0,0,0
"('cell', 2242)",0,0,3,0,1,0,0
"('cell', 2267)",0,0,3,0,1,0,0
"('cell', 1854)",0,0,0,1,0,0,0
"('cell', 2168)",0,0,0,0,2,0,0
"('cell', 2315)",0,0,0,0,1,4,0
"('cell', 2324)",0,0,0,0,0,4,0
"('cell', 2304)",0,0,0,0,1,4,0
"('cell', 2298)",0,0,2,0,1,3,0
"('cell', 2147)",0,1,0,0,0,0,0
"('cell', 1433)",0,0,1,0,0,0,0
"('cell', 1757)",0,0,2,1,0,0,0
"('cell', 1724)",0,0,3,0,0,0,0
"('cell', 1776)",0,0,1,0,0,0,0
"('cell', 1766)",0,0,4,1,0,0,0
"('cell', 1797)",0,0,2,1,0,0,0
"('cell', 1590)",0,0,3,0,0,0,0
"('cell', 266)",0,0,2,0,0,7,0
"('cell', 349)",0,0,6,0,8,5,0
"('cell', 164)",0,1,2,0,2,0,0
"('cell', 171)",0,1,2,0,3,0,0
"('cell', 185)",0,0,1,3,4,0,2
"('cell', 62)",0,2,2,1,2,3,1
"('cell', 33)",0,3,2,0,2,1,1
"('cell', 29)",0,3,1,0,2,1,1
"('cell', 9)",0,2,2,0,2,2,1
"('cell', 50)",0,3,0,0,2,0,1
"('cell', 70)",0,4,2,0,1,0,0
"('cell', 48)",0,3,1,1,1,2,0
"('cell', 28)",0,3,1,1,1,3,0
"('cell', 68)",0,4,1,1,0,0,0
"('cell', 101)",0,3,1,1,0,2,0
"('cell', 1591)",0,0,0,1,0,0,0
"('cell', 1614)",0,0,0,3,0,0,0
"('cell', 1632)",0,0,0,1,0,0,0
"('cell', 1480)",0,3,1,0,0,0,0
"('cell', 1450)",0,4,2,0,0,0,0
