,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 18)",0,0,5,0,0,0,0
"('cell', 816)",0,0,2,0,0,1,0
"('cell', 913)",0,0,1,0,0,1,0
"('cell', 875)",0,0,1,0,0,1,0
"('cell', 51)",0,1,6,0,1,0,1
"('cell', 20)",0,2,3,0,0,0,2
"('cell', 1906)",0,0,1,0,0,0,0
"('cell', 869)",0,0,3,0,0,1,0
"('cell', 1407)",0,1,0,0,0,0,0
"('cell', 1406)",0,1,0,0,0,0,0
"('cell', 264)",0,0,0,0,0,1,0
"('cell', 1596)",0,0,0,1,0,0,0
"('cell', 1549)",0,0,0,1,0,0,0
"('cell', 1604)",0,0,0,1,0,0,0
"('cell', 1513)",0,0,0,1,0,0,0
"('cell', 1524)",0,0,0,1,0,0,0
"('cell', 1611)",0,0,0,1,0,0,0
"('cell', 1575)",0,0,0,1,0,0,0
"('cell', 1582)",0,0,0,1,0,0,0
"('cell', 24)",0,1,4,0,0,1,2
"('cell', 16)",0,0,0,0,0,0,3
"('cell', 1368)",0,1,0,0,0,0,0
"('cell', 1334)",0,1,0,0,0,0,0
"('cell', 1353)",0,1,0,0,0,0,0
"('cell', 1789)",0,0,1,0,0,0,0
"('cell', 1817)",0,0,1,0,0,0,0
"('cell', 214)",0,0,2,1,0,4,0
"('cell', 1774)",0,0,1,0,0,0,0
"('cell', 1883)",0,0,1,1,0,2,0
"('cell', 782)",0,0,2,0,0,1,0
"('cell', 1046)",0,0,0,0,0,1,0
"('cell', 942)",0,0,3,0,0,1,0
"('cell', 931)",0,0,4,0,0,1,0
"('cell', 1518)",0,0,1,0,0,1,0
"('cell', 1473)",0,1,0,0,0,0,0
"('cell', 1556)",0,0,0,0,0,1,0
"('cell', 1431)",0,1,0,0,0,0,0
"('cell', 1495)",0,1,0,0,0,0,0
"('cell', 2432)",0,0,3,1,0,3,0
"('cell', 1942)",0,0,1,0,0,2,0
"('cell', 2365)",0,0,2,1,0,4,0
"('cell', 2348)",0,0,4,1,0,6,0
"('cell', 2436)",0,0,2,1,0,3,0
"('cell', 2352)",0,0,3,0,0,5,0
"('cell', 2349)",0,0,1,0,0,3,0
"('cell', 2389)",0,0,0,1,0,2,0
"('cell', 2493)",0,0,0,1,0,0,0
"('cell', 2477)",0,0,1,1,0,1,0
"('cell', 2508)",0,0,1,1,0,1,0
"('cell', 1791)",0,0,1,1,0,0,0
"('cell', 1943)",0,0,0,2,0,0,0
"('cell', 2545)",0,0,1,1,0,0,0
"('cell', 328)",0,0,0,0,0,1,0
"('cell', 699)",0,0,0,0,0,1,0
"('cell', 673)",0,0,0,0,0,1,0
"('cell', 630)",0,0,0,0,0,1,0
"('cell', 1849)",0,1,1,0,0,0,0
"('cell', 1811)",0,1,0,0,0,0,0
"('cell', 1798)",0,1,0,0,0,0,0
"('cell', 1696)",0,0,0,1,0,0,0
"('cell', 1650)",0,0,0,1,0,0,0
"('cell', 1638)",0,0,0,1,0,0,0
"('cell', 1821)",0,0,0,1,0,0,0
"('cell', 1271)",0,0,0,1,0,0,0
"('cell', 1284)",0,0,0,1,0,0,0
"('cell', 1329)",0,0,0,1,0,0,0
"('cell', 1341)",0,0,0,1,0,0,0
"('cell', 27)",0,3,0,0,0,0,2
"('cell', 53)",0,0,0,0,0,0,1
"('cell', 41)",0,0,0,0,0,0,2
"('cell', 25)",0,1,0,0,0,0,3
"('cell', 40)",0,2,0,0,0,0,2
"('cell', 35)",0,3,3,0,0,0,2
"('cell', 1265)",0,0,0,1,0,0,0
"('cell', 1351)",0,0,0,1,0,0,0
"('cell', 1367)",0,0,0,2,0,0,0
"('cell', 397)",0,0,0,0,0,1,0
"('cell', 226)",0,2,0,0,0,0,0
"('cell', 248)",0,3,0,0,0,0,0
"('cell', 359)",0,3,0,0,0,0,0
"('cell', 372)",0,4,0,0,0,0,0
"('cell', 1835)",0,0,2,0,0,0,0
"('cell', 1895)",0,0,2,0,0,0,0
"('cell', 1905)",0,0,2,0,0,0,0
"('cell', 2002)",0,0,1,2,0,2,0
"('cell', 1922)",0,0,0,2,0,2,0
"('cell', 1907)",0,0,1,1,0,2,0
"('cell', 1948)",0,0,0,1,0,3,0
"('cell', 1519)",0,1,1,2,0,1,0
"('cell', 1801)",0,0,2,1,0,0,0
"('cell', 1777)",0,0,1,1,0,0,0
"('cell', 1794)",0,0,1,1,0,0,0
