,src,tgt,distance
0,20,15,15.811388300841896
1,20,33,29.832867780352597
2,20,32,24.331050121192877
3,15,17,31.064449134018133
4,15,32,31.016124838541646
5,6,28,52.172789842982326
6,6,8,30.4138126514911
7,6,14,30.23243291566195
8,6,5,41.0
9,595,569,30.265491900843113
10,530,615,11861.0
11,204,232,55.54277630799526
12,204,231,105.30906893520614
13,232,231,104.00480758118829
14,232,301,169.53170794869024
15,14,28,38.2099463490856
16,14,5,34.655446902326915
17,5,29,56.08029957123981
18,329,350,46.87216658103186
19,329,207,43105.0
20,257,240,20.09975124224178
21,257,311,102.7861858422619
22,44,64,23.194827009486403
23,44,33,19.026297590440446
24,44,32,28.42534080710379
25,44,57,21.840329667841555
26,33,32,23.021728866442675
27,32,17,49.92995093127971
28,32,57,24.020824298928627
29,171,166,23.259406699226016
30,17,67,80.99382692526635
31,569,682,21445.0
32,1010,965,3730.0
33,996,911,5706.0
34,937,933,26.1725046566048
35,937,957,47.16990566028302
36,383,209,95530.0
37,419,420,38.0
38,419,445,42.190046219457976
39,419,615,79586.0
40,420,445,59.39696961966999
41,453,444,23.430749027719962
42,453,455,29.274562336608895
43,453,447,26.019223662515376
44,453,615,46720.0
45,377,209,75272.0
46,57,74,35.805027579936315
47,57,64,29.410882339705484
48,57,69,20.8806130178211
49,118,109,27.51363298439521
50,118,99,25.079872407968907
51,118,123,29.732137494637012
52,118,127,14.035668847618199
53,74,85,23.853720883753127
54,74,82,29.0
55,74,69,17.4928556845359
56,85,82,33.015148038438355
57,85,94,26.248809496813376
58,85,67,61.91122676865643
59,85,99,36.89173349139343
60,99,94,28.635642126552707
61,99,109,28.844410203711913
62,978,972,15.652475842498529
63,978,989,21.633307652783937
64,978,1004,22.825424421026653
65,1039,1023,64.40496875241847
66,1039,1018,46.69047011971501
67,1039,1025,32.802438933713454
68,1011,1023,20.09975124224178
69,1011,989,34.17601498127012
70,1011,1018,30.528675044947494
71,1023,865,170.89177862027185
72,1023,1018,24.331050121192877
73,989,1004,30.083217912982647
74,989,1018,28.635642126552707
75,1018,1004,40.311288741492746
76,702,706,15.264337522473747
77,702,689,15.556349186104045
78,702,678,31.240998703626616
79,689,678,33.61547262794322
80,689,675,19.235384061671343
81,414,403,22.80350850198276
82,414,418,22.135943621178654
83,414,427,23.853720883753127
84,414,395,35.77708763999664
85,427,418,15.264337522473747
86,427,536,54145.0
87,395,403,38.47076812334269
88,395,441,80.05623023850174
