,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 454)",0,0,1,1,0,7,1
"('cell', 2437)",0,0,0,1,0,0,0
"('cell', 2436)",0,0,0,1,0,0,0
"('cell', 2432)",0,0,1,2,0,0,0
"('cell', 2442)",0,0,3,0,1,1,0
"('cell', 2441)",0,0,2,1,0,1,0
"('cell', 2428)",0,0,0,1,0,0,0
"('cell', 1305)",0,0,1,0,0,4,1
"('cell', 1131)",0,1,1,1,4,2,0
"('cell', 669)",0,0,1,0,0,12,0
"('cell', 2353)",0,0,3,0,7,0,0
"('cell', 2438)",0,0,1,1,1,0,0
"('cell', 2443)",0,0,0,1,0,0,0
"('cell', 2367)",0,1,0,1,1,1,0
"('cell', 2420)",0,0,2,1,1,2,0
"('cell', 365)",0,0,1,1,0,3,2
"('cell', 1523)",0,0,0,0,0,1,1
"('cell', 993)",0,0,1,0,0,0,0
"('cell', 1163)",0,0,2,1,3,1,0
"('cell', 1144)",0,1,2,2,5,2,0
"('cell', 1807)",0,0,1,4,0,0,0
"('cell', 1877)",0,0,0,0,0,0,1
"('cell', 2047)",0,0,0,0,0,0,1
"('cell', 2052)",0,0,0,0,0,0,1
"('cell', 2010)",0,0,0,0,0,0,2
"('cell', 1966)",0,0,0,0,0,0,2
"('cell', 2003)",0,0,0,0,0,0,2
"('cell', 1980)",0,0,0,0,0,0,1
"('cell', 1923)",0,0,0,0,0,0,2
"('cell', 2006)",0,0,2,0,0,2,0
"('cell', 1990)",0,0,1,0,0,1,0
"('cell', 2324)",0,1,0,0,0,0,0
"('cell', 1574)",0,1,0,1,0,0,0
"('cell', 1501)",0,2,0,1,0,0,0
"('cell', 1532)",0,2,0,1,0,0,0
"('cell', 1541)",0,1,0,0,0,0,0
"('cell', 1650)",0,1,0,0,0,0,0
"('cell', 1608)",0,1,0,0,0,0,0
"('cell', 1714)",0,1,0,0,0,0,0
"('cell', 1644)",0,1,0,0,0,0,0
"('cell', 1686)",0,1,0,0,0,0,0
"('cell', 1732)",0,1,0,0,0,0,0
"('cell', 1887)",0,1,0,0,0,0,0
"('cell', 2015)",0,0,0,0,0,0,2
"('cell', 2332)",0,1,0,0,0,1,0
"('cell', 2392)",0,0,2,1,0,0,0
"('cell', 2412)",0,0,1,1,0,0,0
"('cell', 2363)",0,0,2,1,2,0,0
"('cell', 2336)",0,0,2,0,2,0,0
"('cell', 2372)",0,0,1,1,4,1,0
"('cell', 2422)",0,0,1,1,0,0,0
"('cell', 2405)",0,0,2,1,0,0,0
"('cell', 2408)",0,0,3,2,2,0,0
"('cell', 2418)",0,0,1,2,2,0,0
"('cell', 2417)",0,0,3,2,0,0,0
"('cell', 2399)",0,0,3,1,3,0,0
"('cell', 2368)",0,0,3,2,6,0,0
"('cell', 2019)",0,0,0,1,0,0,0
"('cell', 1954)",0,0,1,1,0,0,0
"('cell', 1984)",0,0,1,1,0,0,0
"('cell', 2342)",0,0,1,1,9,1,0
"('cell', 2404)",0,0,2,1,1,1,0
"('cell', 2411)",0,0,1,0,1,1,0
"('cell', 2433)",0,0,2,0,1,1,0
"('cell', 2407)",0,0,2,0,1,3,0
"('cell', 2401)",0,0,2,1,0,2,0
"('cell', 2383)",0,0,2,1,1,3,0
"('cell', 2396)",0,0,1,1,2,2,0
"('cell', 2319)",0,0,1,0,0,0,0
"('cell', 2371)",0,0,2,0,0,0,0
"('cell', 2338)",0,0,1,0,0,0,0
"('cell', 2351)",0,0,2,0,0,0,0
"('cell', 2037)",0,0,0,1,0,0,0
"('cell', 1722)",0,0,3,0,0,0,1
"('cell', 1672)",0,0,1,0,0,2,0
"('cell', 1646)",0,0,2,0,1,1,1
"('cell', 1658)",0,0,4,0,1,2,1
"('cell', 1691)",0,0,2,0,0,1,1
"('cell', 9)",0,0,1,0,2,2,2
"('cell', 4)",0,0,3,0,0,2,2
"('cell', 28)",0,0,2,0,3,2,2
"('cell', 911)",0,1,0,0,0,0,0
"('cell', 1939)",0,0,0,1,0,0,0
"('cell', 1847)",0,0,0,2,0,0,0
"('cell', 1986)",0,0,1,0,0,0,0
"('cell', 1963)",0,0,1,0,0,0,0
"('cell', 1946)",0,0,0,1,0,0,0
"('cell', 2022)",0,0,1,0,0,0,0
"('cell', 1524)",0,1,0,0,0,0,1
"('cell', 1648)",0,1,0,4,0,0,0
"('cell', 1118)",0,1,3,2,1,1,0
"('cell', 1114)",0,1,6,3,0,1,0
"('cell', 1330)",0,0,6,0,0,2,0
"('cell', 1033)",0,0,1,0,0,0,0
"('cell', 1203)",0,0,3,0,0,0,0
"('cell', 1198)",0,0,1,0,1,2,0
"('cell', 1340)",0,1,0,4,0,0,0
"('cell', 1797)",0,1,0,0,0,0,0
"('cell', 1821)",0,1,0,0,0,0,0
"('cell', 1870)",0,0,0,0,0,0,2
"('cell', 1886)",0,0,0,0,0,0,2
"('cell', 1851)",0,0,0,0,0,0,2
"('cell', 1869)",0,0,0,0,0,0,1
"('cell', 1815)",0,0,0,0,0,0,1
"('cell', 1919)",0,0,0,0,0,0,2
"('cell', 1975)",0,0,0,0,0,0,2
"('cell', 1926)",0,0,0,0,0,0,2
"('cell', 1876)",0,0,0,0,0,0,2
"('cell', 1842)",0,1,0,0,0,0,0
"('cell', 1949)",0,0,2,1,0,2,0
"('cell', 1901)",0,0,1,1,0,1,0
"('cell', 1961)",0,0,1,1,0,0,0
"('cell', 1997)",0,0,3,0,1,2,0
"('cell', 1890)",0,1,0,0,0,0,0
"('cell', 1956)",0,1,0,0,0,0,0
"('cell', 1950)",0,1,0,0,0,0,0
"('cell', 1913)",0,1,0,0,0,0,0
"('cell', 2079)",0,1,1,0,0,2,0
"('cell', 2111)",0,2,2,0,1,2,1
"('cell', 2126)",0,2,1,0,1,1,0
"('cell', 2031)",0,0,0,0,0,1,0
"('cell', 2280)",0,1,0,0,0,0,0
"('cell', 2312)",0,1,0,0,0,0,0
"('cell', 2289)",0,1,0,0,0,0,0
"('cell', 2263)",0,1,0,0,0,0,0
"('cell', 2281)",0,1,0,0,0,0,0
"('cell', 2307)",0,1,0,0,0,0,0
"('cell', 2227)",0,1,0,0,0,0,0
"('cell', 1290)",0,2,1,0,0,1,0
"('cell', 1228)",0,0,0,0,2,2,0
"('cell', 1597)",0,1,0,0,0,0,0
"('cell', 1770)",0,0,0,1,0,0,0
"('cell', 1618)",0,0,0,1,0,0,0
"('cell', 1555)",0,2,0,1,0,0,0
"('cell', 1607)",0,1,0,1,0,0,0
"('cell', 1894)",0,0,0,0,0,0,2
"('cell', 1891)",0,0,0,0,0,0,2
"('cell', 449)",0,0,0,0,2,2,0
"('cell', 586)",0,0,0,0,5,1,0
"('cell', 423)",0,0,0,0,1,0,0
"('cell', 465)",0,0,0,0,2,1,0
"('cell', 394)",0,0,0,0,1,1,0
"('cell', 377)",0,0,0,0,1,1,0
"('cell', 200)",0,0,0,1,0,0,0
"('cell', 171)",0,0,0,1,0,0,0
"('cell', 2301)",0,1,1,0,1,0,0
"('cell', 2267)",0,1,0,0,0,0,0
"('cell', 2326)",0,1,2,0,5,0,0
"('cell', 2232)",0,1,2,1,3,0,0
"('cell', 2198)",0,0,3,0,0,0,0
"('cell', 2341)",0,0,1,0,13,1,0
"('cell', 2431)",0,0,1,0,1,0,0
"('cell', 2434)",0,0,1,0,1,0,0
"('cell', 2379)",0,0,1,1,0,1,0
"('cell', 2439)",0,0,1,0,1,0,0
"('cell', 2444)",0,0,1,0,1,0,0
"('cell', 2356)",0,0,1,1,0,0,0
"('cell', 1892)",0,1,2,0,0,0,0
"('cell', 1924)",0,1,0,1,0,0,0
"('cell', 1914)",0,0,0,1,0,0,0
"('cell', 1659)",0,0,1,0,0,1,0
"('cell', 2058)",0,1,0,1,0,0,0
"('cell', 2382)",0,0,0,1,0,0,0
"('cell', 2395)",0,0,0,1,0,0,0
"('cell', 2419)",0,0,0,1,0,0,0
"('cell', 2388)",0,0,0,1,2,0,0
"('cell', 2386)",0,0,0,1,2,2,0
"('cell', 2403)",0,0,0,1,0,0,0
"('cell', 2409)",0,0,1,1,1,1,0
"('cell', 2381)",0,0,0,1,0,0,0
"('cell', 2385)",0,0,0,1,0,0,0
"('cell', 2373)",0,0,1,1,1,2,0
"('cell', 945)",0,0,1,0,0,0,0
"('cell', 72)",0,0,0,1,0,0,0
"('cell', 40)",0,2,0,0,0,0,1
"('cell', 25)",0,0,0,0,0,0,1
"('cell', 83)",0,4,0,0,0,0,1
"('cell', 100)",0,3,0,0,0,0,0
"('cell', 58)",0,3,0,0,0,0,1
"('cell', 19)",0,2,0,0,0,0,1
"('cell', 14)",0,1,0,0,0,0,1
"('cell', 6)",0,0,0,0,0,0,1
"('cell', 44)",0,2,0,0,0,0,1
"('cell', 30)",0,3,0,0,0,0,1
"('cell', 16)",0,2,0,0,0,0,1
"('cell', 113)",0,0,4,0,2,5,1
"('cell', 57)",0,0,2,1,1,2,0
"('cell', 99)",0,0,3,0,1,3,1
"('cell', 76)",0,0,4,1,2,5,1
"('cell', 66)",0,3,0,0,0,0,0
"('cell', 11)",0,0,2,1,1,0,1
"('cell', 152)",0,0,2,0,0,0,0
"('cell', 255)",0,0,1,2,2,3,1
"('cell', 597)",0,0,0,0,2,1,0
"('cell', 619)",0,1,0,0,0,0,0
"('cell', 2103)",0,0,1,0,0,0,0
"('cell', 2053)",0,0,1,0,0,0,0
"('cell', 2123)",0,0,1,0,0,0,0
"('cell', 2067)",0,0,1,0,0,0,0
"('cell', 1559)",0,1,0,0,0,0,0
"('cell', 1549)",0,2,0,0,0,0,0
"('cell', 1592)",0,0,0,0,0,0,1
"('cell', 1580)",0,1,0,0,0,0,1
"('cell', 1558)",0,0,0,0,0,1,1
"('cell', 1739)",0,0,0,3,0,0,0
"('cell', 1694)",0,0,1,7,0,0,0
"('cell', 2016)",0,1,1,0,0,0,0
"('cell', 1529)",0,2,0,0,0,0,0
"('cell', 1477)",0,0,0,0,0,1,1
"('cell', 1491)",0,1,0,0,0,0,1
"('cell', 1454)",0,2,0,0,0,0,0
"('cell', 1369)",0,3,0,0,1,0,0
"('cell', 1315)",0,3,2,0,1,2,0
"('cell', 1362)",0,3,1,0,1,1,0
"('cell', 1372)",0,3,0,1,0,0,0
"('cell', 1426)",0,3,0,0,0,0,0
"('cell', 1364)",0,0,1,0,1,1,1
"('cell', 1335)",0,1,2,0,1,2,1
"('cell', 1398)",0,1,1,0,1,1,1
"('cell', 1424)",0,0,0,0,0,1,1
"('cell', 1436)",0,0,0,0,0,1,1
"('cell', 1149)",0,2,1,1,0,0,0
"('cell', 1169)",0,2,2,0,0,0,0
"('cell', 1236)",0,3,0,1,0,0,0
"('cell', 1168)",0,1,1,2,3,1,0
"('cell', 637)",0,1,0,0,0,0,0
"('cell', 646)",0,1,0,0,0,0,0
"('cell', 667)",0,1,0,0,0,0,0
