,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2045)",0,0,0,1,1,0,1
"('cell', 853)",0,0,0,3,0,0,0
"('cell', 22)",0,0,0,1,0,0,0
"('cell', 802)",0,1,0,2,0,0,0
"('cell', 864)",0,0,0,2,0,0,0
"('cell', 840)",0,0,0,1,0,0,0
"('cell', 844)",0,0,0,2,0,0,0
"('cell', 809)",0,0,0,1,0,0,0
"('cell', 962)",0,0,0,2,0,0,0
"('cell', 922)",0,1,0,1,0,0,0
"('cell', 1723)",0,0,0,2,0,0,0
"('cell', 1638)",0,0,0,1,0,0,0
"('cell', 1590)",0,0,0,1,0,0,0
"('cell', 1764)",0,0,0,2,0,0,0
"('cell', 1642)",0,0,0,1,0,0,0
"('cell', 441)",0,0,0,7,0,0,0
"('cell', 565)",0,0,0,4,0,0,0
"('cell', 599)",0,0,0,1,0,0,0
"('cell', 17)",0,2,0,1,0,0,0
"('cell', 3)",0,0,0,1,0,0,0
"('cell', 871)",0,0,0,2,0,0,0
"('cell', 846)",0,0,0,2,0,0,0
"('cell', 863)",0,0,0,1,0,0,0
"('cell', 944)",0,0,1,2,0,2,0
"('cell', 984)",0,0,0,3,0,1,0
"('cell', 917)",0,0,0,2,0,1,0
"('cell', 1028)",0,0,2,3,0,3,0
"('cell', 893)",0,0,0,1,0,1,0
"('cell', 886)",0,0,0,0,0,1,0
"('cell', 898)",0,0,0,0,0,2,0
"('cell', 1091)",0,0,1,0,1,2,0
"('cell', 946)",0,0,0,3,0,0,0
"('cell', 915)",0,0,0,2,0,0,0
"('cell', 914)",0,0,0,2,0,0,0
"('cell', 972)",0,0,0,3,0,0,0
"('cell', 887)",0,0,0,2,0,0,0
"('cell', 1935)",0,0,0,2,0,0,0
"('cell', 1734)",0,0,0,2,0,0,0
"('cell', 2176)",0,1,0,1,0,0,0
"('cell', 1131)",0,0,0,0,0,2,0
"('cell', 1126)",0,0,1,0,1,2,0
"('cell', 1302)",0,0,1,0,3,3,0
"('cell', 662)",0,3,0,2,0,0,0
