,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 498)",0,0,0,4,0,0,0
"('cell', 92)",0,0,3,0,0,2,0
"('cell', 47)",0,0,1,0,0,0,0
"('cell', 202)",0,0,0,1,0,0,0
"('cell', 50)",0,0,1,0,2,2,0
"('cell', 201)",0,0,0,1,0,2,0
"('cell', 97)",0,0,0,1,0,0,0
"('cell', 79)",0,0,0,1,0,0,0
"('cell', 106)",0,0,0,1,0,0,0
"('cell', 80)",0,0,0,1,0,0,0
"('cell', 82)",0,0,0,1,0,0,0
"('cell', 110)",0,0,0,2,0,0,0
"('cell', 149)",0,0,0,1,0,0,0
"('cell', 124)",0,2,0,2,2,0,0
"('cell', 1034)",0,0,0,3,0,0,0
"('cell', 108)",0,0,4,0,0,4,0
"('cell', 578)",0,0,0,2,0,0,0
"('cell', 619)",0,0,1,4,0,0,0
"('cell', 601)",0,1,1,1,0,0,0
"('cell', 641)",0,1,2,1,0,0,0
"('cell', 574)",0,1,1,3,0,0,1
"('cell', 410)",0,0,0,1,0,1,0
"('cell', 236)",0,0,0,1,0,1,2
"('cell', 221)",0,0,0,1,0,2,1
"('cell', 180)",0,0,4,0,0,4,0
"('cell', 179)",0,0,2,0,0,3,1
"('cell', 177)",0,0,0,1,1,3,1
"('cell', 266)",0,0,0,1,1,1,1
"('cell', 238)",0,1,0,1,0,1,0
"('cell', 31)",0,0,0,0,0,2,0
"('cell', 34)",0,0,0,0,0,1,0
"('cell', 85)",0,1,0,1,0,0,0
"('cell', 88)",0,1,0,0,0,0,0
"('cell', 56)",0,1,0,1,1,0,0
"('cell', 64)",0,0,0,1,1,0,0
"('cell', 76)",0,0,0,1,0,0,0
"('cell', 77)",0,0,0,1,0,0,0
"('cell', 74)",0,0,0,1,0,0,0
"('cell', 181)",0,0,0,1,0,1,0
"('cell', 206)",0,0,0,1,0,1,0
"('cell', 114)",0,0,0,1,0,0,0
"('cell', 104)",0,1,0,1,0,0,0
"('cell', 228)",0,0,0,1,0,1,0
"('cell', 116)",0,0,0,1,2,0,0
"('cell', 141)",0,2,0,1,0,0,0
"('cell', 117)",0,3,0,1,1,0,0
"('cell', 119)",0,2,0,1,0,0,0
"('cell', 173)",0,1,0,2,1,0,0
"('cell', 190)",0,1,0,1,1,0,0
"('cell', 143)",0,2,0,2,1,0,0
"('cell', 135)",0,3,0,1,1,0,0
"('cell', 145)",0,3,0,1,0,0,0
"('cell', 235)",0,0,0,2,1,1,0
"('cell', 254)",0,0,0,1,1,1,0
"('cell', 319)",0,0,1,0,1,1,0
"('cell', 279)",0,0,0,1,1,1,0
"('cell', 314)",0,0,1,1,1,0,0
"('cell', 420)",0,0,0,0,0,1,0
"('cell', 398)",0,0,0,1,0,0,0
"('cell', 439)",0,0,0,0,0,1,0
"('cell', 367)",0,0,1,1,1,2,0
"('cell', 395)",0,0,1,1,1,2,0
"('cell', 376)",0,0,1,1,0,3,0
"('cell', 670)",0,0,1,4,0,0,0
"('cell', 702)",0,0,1,2,0,0,0
"('cell', 1037)",0,0,0,3,0,0,0
"('cell', 425)",0,0,0,0,0,0,2
"('cell', 354)",0,0,2,1,1,2,0
"('cell', 403)",0,0,2,3,0,0,0
"('cell', 654)",0,1,2,3,0,0,0
"('cell', 708)",0,1,2,5,0,0,0
"('cell', 671)",0,0,1,2,0,0,0
"('cell', 1048)",0,1,0,0,0,0,1
"('cell', 1045)",0,0,1,1,0,0,1
"('cell', 558)",0,0,1,4,0,0,0
"('cell', 584)",0,0,1,3,0,0,0
"('cell', 532)",0,0,1,3,0,0,0
"('cell', 577)",0,0,0,2,0,0,0
"('cell', 495)",0,0,1,5,0,0,0
"('cell', 431)",0,0,1,1,1,1,0
"('cell', 861)",0,0,1,5,1,0,1
"('cell', 632)",0,1,2,1,0,0,0
"('cell', 607)",0,1,2,2,0,0,0
"('cell', 258)",0,0,1,0,0,2,0
"('cell', 301)",0,2,0,0,0,2,0
"('cell', 67)",0,0,1,0,2,2,2
"('cell', 45)",0,0,0,0,1,2,2
"('cell', 268)",0,0,0,1,1,1,0
"('cell', 267)",0,0,0,1,0,1,0
"('cell', 275)",0,2,0,0,0,2,0
"('cell', 259)",0,2,0,1,0,1,0
"('cell', 276)",0,0,0,1,0,1,0
"('cell', 131)",0,0,1,0,3,5,3
"('cell', 241)",0,2,0,1,0,0,0
"('cell', 16)",0,0,0,0,0,2,0
"('cell', 13)",0,0,0,0,0,2,0
"('cell', 37)",0,0,0,0,0,3,0
"('cell', 75)",0,0,0,0,0,3,0
"('cell', 87)",0,0,0,0,1,2,0
"('cell', 118)",0,0,0,1,1,2,0
"('cell', 18)",0,0,0,0,0,2,0
"('cell', 51)",0,0,0,0,0,2,0
"('cell', 73)",0,1,0,0,1,0,0
"('cell', 174)",0,1,0,1,0,1,0
"('cell', 138)",0,1,0,1,0,0,0
"('cell', 146)",0,1,0,1,0,0,0
"('cell', 137)",0,0,0,1,0,0,0
"('cell', 157)",0,0,0,1,0,0,0
"('cell', 127)",0,1,0,1,0,0,0
"('cell', 130)",0,1,0,0,0,0,0
"('cell', 160)",0,1,0,1,0,1,0
"('cell', 134)",0,0,0,0,0,3,0
"('cell', 200)",0,1,0,1,1,1,0
"('cell', 192)",0,0,0,1,1,1,0
"('cell', 208)",0,0,0,1,0,1,0
"('cell', 144)",0,0,0,1,2,0,0
"('cell', 156)",0,1,0,1,2,1,1
"('cell', 126)",0,0,0,1,1,0,0
"('cell', 129)",0,0,0,1,2,0,0
"('cell', 332)",0,0,1,1,1,1,0
"('cell', 297)",0,0,1,1,0,2,0
"('cell', 325)",0,0,0,1,0,0,0
"('cell', 316)",0,0,0,1,0,1,0
"('cell', 363)",0,0,1,1,0,1,0
"('cell', 336)",0,0,1,2,0,1,0
"('cell', 101)",0,3,0,0,0,0,0
"('cell', 94)",0,2,0,0,0,0,0
"('cell', 91)",0,2,0,0,0,0,0
"('cell', 120)",0,2,0,0,0,0,0
"('cell', 123)",0,3,0,1,0,0,0
"('cell', 90)",0,3,0,0,1,0,0
"('cell', 107)",0,2,0,0,0,0,0
"('cell', 178)",0,1,0,1,0,1,0
"('cell', 171)",0,1,0,1,1,0,0
"('cell', 154)",0,1,0,1,0,0,0
"('cell', 175)",0,0,0,1,0,1,0
"('cell', 186)",0,1,0,1,0,1,0
"('cell', 229)",0,0,0,1,1,1,0
"('cell', 198)",0,1,0,2,0,1,0
"('cell', 193)",0,0,0,2,0,1,0
"('cell', 291)",0,0,0,1,1,2,0
"('cell', 283)",0,0,0,1,1,2,0
"('cell', 328)",0,0,0,2,1,1,0
