,src,tgt,distance
0,2065,2049,29.427877939124322
1,2065,2127,29.068883707497267
2,2068,2049,19.313207915827967
3,2068,2081,20.396078054371138
4,2068,2137,30.01666203960727
5,2068,2127,41.617304093369626
6,2068,2017,22.825424421026653
7,415,467,26.019223662515376
8,415,400,31.25699921617557
9,415,438,21.400934559032695
10,139,145,30.01666203960727
11,139,165,21.93171219946131
12,139,166,48625.0
13,847,748,47.4236228055175
14,847,829,22.825424421026653
15,847,836,22.47220505424423
16,847,917,43.18564576337837
17,748,829,51.22499389946279
18,748,836,35.014282800023196
19,748,519,103.57605900979242
20,829,1407,443.9481951759687
21,829,1007,93.39164844888434
22,829,519,146.01369798755184
23,882,807,93.92017887546851
24,882,874,99.12618221237011
25,882,836,27.586228448267445
26,882,917,20.12461179749811
27,882,944,34.0147027033899
28,836,917,38.600518131237564
29,300,328,29.68164415931166
30,300,267,21.587033144922902
31,300,284,44.384682042344295
32,300,325,18.35755975068582
33,917,944,18.867962264113206
34,245,211,22.360679774997898
35,245,267,24.596747752497688
36,245,284,26.40075756488817
37,984,987,26.1725046566048
38,984,944,26.419689627245813
39,984,976,18.027756377319946
40,984,1027,23.40939982143925
41,944,874,105.47511554864494
42,944,932,102.17631819555841
43,944,976,22.561028345356956
44,976,932,100.96038827183659
45,976,970,101.40019723846694
46,976,1045,38.07886552931954
47,976,1027,34.713109915419565
48,165,145,19.79898987322333
49,165,192,18.439088914585774
50,165,173,37.48332962798263
51,173,144,18.0
52,173,149,20.615528128088304
53,173,145,30.479501308256342
54,173,192,35.11409973215888
55,173,211,26.248809496813376
56,211,192,17.88854381999832
57,211,267,37.589892258425
58,2127,2049,34.88552708502482
59,2127,2137,33.54101966249684
60,2127,2183,30.083217912982647
61,2223,2242,25.0
62,2223,2310,40.80441152620633
63,2223,2236,25.317977802344327
64,2223,2183,27.202941017470888
65,2223,2186,24.698178070456937
66,2236,2310,50.93132631298737
67,2236,2334,51.24451190127583
68,2236,2183,27.51363298439521
69,2183,2137,31.11269837220809
70,2183,2186,29.017236257093817
71,2494,2592,64.81512169239521
72,2494,2534,38.01315561749642
73,284,267,39.293765408777
74,284,328,32.449961479175904
75,578,559,29.154759474226502
76,578,551,25.0
77,578,611,29.966648127543394
78,578,612,24.186773244895647
79,2186,2242,30.083217912982647
80,2186,2203,25.0
81,2186,2155,23.853720883753127
82,2186,2137,24.041630560342615
83,2472,2480,41.30375285612676
84,2472,2530,34.92849839314596
85,2472,2534,37.8549864614954
86,2472,2427,28.42534080710379
87,2472,2437,17.26267650163207
88,2472,2444,21.93171219946131
89,2437,2404,20.0
90,2437,2427,15.811388300841896
91,2437,2444,19.1049731745428
92,2444,2448,25.179356624028344
93,2444,2480,32.01562118716424
94,2444,2404,19.313207915827967
95,611,627,41.97618372363071
96,611,577,43.965895873961216
97,611,543,37.8021163428716
98,611,559,24.0
99,611,643,20.615528128088304
100,2224,2185,23.769728648009426
101,2224,2280,37.48332962798263
102,2224,2235,30.066592756745816
103,2224,2170,32.202484376209235
104,2185,2170,28.284271247461902
105,2185,2144,26.248809496813376
106,612,551,27.018512172212592
107,612,681,33.54101966249684
108,1982,1950,26.92582403567252
109,1982,2026,22.47220505424423
110,1982,1997,16.55294535724685
111,722,691,32.31098884280702
112,722,783,25.298221281347036
113,722,735,18.788294228055936
114,722,643,34.438350715445125
115,722,681,39.35733730830886
116,434,408,26.248809496813376
117,434,387,22.0
118,434,465,38.07886552931954
119,434,494,23.53720459187964
120,356,328,27.80287754891569
121,356,408,31.144823004794873
122,356,387,16.278820596099706
123,356,325,20.808652046684813
124,325,328,34.0
125,328,408,38.01315561749642
126,408,387,20.615528128088304
127,408,465,35.34119409414458
128,564,558,28.071337695236398
129,564,587,33.54101966249684
