,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2733)",0,0,0,1,0,0,0
"('cell', 1428)",0,0,0,1,0,0,0
"('cell', 1908)",0,0,1,4,0,0,0
"('cell', 1870)",0,0,0,5,0,0,0
"('cell', 1997)",0,0,1,0,1,0,0
"('cell', 1937)",0,0,1,2,0,0,0
"('cell', 2773)",0,0,0,2,0,0,0
"('cell', 2655)",0,2,3,0,3,2,0
"('cell', 2670)",0,1,3,0,2,2,0
"('cell', 2909)",0,0,2,1,0,4,0
"('cell', 2778)",0,0,0,2,0,0,0
"('cell', 2767)",0,0,0,2,0,0,0
"('cell', 2766)",0,0,2,0,0,0,0
"('cell', 2614)",0,1,1,1,0,2,0
"('cell', 2420)",0,0,0,1,0,0,0
"('cell', 2073)",0,0,0,0,0,4,0
"('cell', 2139)",0,2,0,0,0,0,0
"('cell', 2035)",0,2,0,0,0,0,0
"('cell', 238)",0,0,0,3,0,0,0
"('cell', 223)",0,0,0,4,0,0,0
"('cell', 559)",0,0,0,1,0,0,0
"('cell', 788)",0,0,0,2,0,0,0
"('cell', 881)",0,0,0,1,0,0,0
"('cell', 922)",0,0,0,1,0,0,0
"('cell', 898)",0,0,0,1,0,0,0
"('cell', 857)",0,0,0,2,0,0,0
"('cell', 836)",0,0,0,2,0,0,0
"('cell', 964)",0,0,1,1,3,3,0
"('cell', 955)",0,0,1,2,2,3,0
"('cell', 1866)",0,0,1,0,0,0,0
"('cell', 1599)",0,0,2,0,0,1,0
"('cell', 1315)",0,0,0,1,0,0,0
"('cell', 1964)",0,0,1,2,1,0,0
"('cell', 2496)",0,0,3,0,2,0,0
"('cell', 1979)",0,0,2,2,0,2,0
"('cell', 1973)",0,0,2,0,2,1,0
"('cell', 1896)",0,0,1,2,0,0,0
"('cell', 1882)",0,0,1,5,0,0,0
"('cell', 2005)",0,0,3,0,2,2,0
"('cell', 2862)",0,0,0,1,0,2,0
"('cell', 2703)",0,0,0,1,0,0,0
"('cell', 2785)",0,0,0,3,0,0,0
"('cell', 2692)",0,0,0,1,0,0,0
"('cell', 2857)",0,0,0,3,0,0,0
"('cell', 2126)",0,0,0,1,0,0,0
"('cell', 423)",0,0,2,1,0,3,0
"('cell', 450)",0,0,4,1,0,5,0
"('cell', 449)",0,0,0,1,0,3,0
"('cell', 1447)",0,1,2,1,0,1,0
"('cell', 1500)",0,1,2,0,0,1,0
"('cell', 1652)",0,0,0,2,0,0,0
"('cell', 1574)",0,0,0,1,0,0,0
"('cell', 1617)",0,0,0,1,0,0,0
"('cell', 1660)",0,0,0,1,0,0,0
"('cell', 2886)",0,0,0,1,0,2,0
