,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 1398)",0,0,0,0,0,1,0
"('cell', 1366)",0,0,0,0,0,1,0
"('cell', 1482)",0,0,2,0,0,1,0
"('cell', 1481)",0,0,1,0,0,1,0
"('cell', 1468)",0,0,1,0,0,2,0
"('cell', 1287)",0,0,0,0,0,2,0
"('cell', 377)",0,0,3,0,1,7,0
"('cell', 1483)",0,0,1,1,0,1,0
"('cell', 899)",0,0,1,1,0,2,0
"('cell', 932)",0,0,2,1,0,2,0
"('cell', 880)",0,0,1,1,0,4,0
"('cell', 984)",0,0,2,1,0,1,0
"('cell', 974)",0,0,4,1,0,2,0
"('cell', 956)",0,0,4,1,0,2,0
"('cell', 1314)",0,0,0,0,0,1,0
"('cell', 1207)",0,0,2,0,1,1,0
"('cell', 1192)",0,0,2,0,1,1,0
"('cell', 1288)",0,0,1,0,0,2,0
"('cell', 1272)",0,0,2,0,1,2,0
"('cell', 1305)",0,0,1,0,0,2,0
"('cell', 693)",0,0,0,0,0,1,0
"('cell', 725)",0,0,0,0,0,1,0
"('cell', 754)",0,0,1,0,0,3,0
"('cell', 182)",0,0,2,0,1,2,0
"('cell', 112)",0,1,1,1,1,1,0
"('cell', 134)",0,1,2,0,1,2,0
"('cell', 114)",0,1,1,1,1,1,0
"('cell', 97)",0,1,0,1,1,0,0
"('cell', 83)",0,1,0,1,1,1,0
"('cell', 436)",0,0,1,0,1,4,0
"('cell', 1422)",0,0,0,0,1,0,0
"('cell', 626)",0,0,2,0,0,3,0
"('cell', 1428)",0,0,1,1,0,0,0
"('cell', 1150)",0,0,1,0,1,0,0
"('cell', 1171)",0,0,2,0,2,0,0
"('cell', 1141)",0,0,4,0,3,0,0
"('cell', 1104)",0,0,3,0,3,1,0
"('cell', 1473)",0,0,3,0,1,2,0
"('cell', 1410)",0,0,0,0,0,1,0
"('cell', 1400)",0,0,0,0,0,1,0
"('cell', 1387)",0,0,0,0,0,1,0
"('cell', 1430)",0,0,0,0,0,3,0
"('cell', 1245)",0,0,1,0,0,2,0
"('cell', 1217)",0,0,1,0,0,2,0
"('cell', 374)",0,0,1,0,1,0,0
"('cell', 400)",0,0,2,0,1,2,0
"('cell', 388)",0,0,2,0,1,1,0
"('cell', 432)",0,0,3,0,1,1,0
"('cell', 441)",0,0,1,0,1,1,0
"('cell', 343)",0,0,0,0,1,1,0
"('cell', 367)",0,0,1,0,1,1,0
"('cell', 350)",0,0,1,0,1,1,0
"('cell', 315)",0,0,0,0,1,1,0
"('cell', 329)",0,0,0,0,1,3,0
"('cell', 243)",0,1,2,0,0,4,0
"('cell', 267)",0,1,2,0,0,7,0
"('cell', 225)",0,2,2,0,0,3,0
"('cell', 303)",0,1,3,0,1,6,0
"('cell', 1016)",0,0,5,0,2,2,0
"('cell', 627)",0,0,0,0,0,1,0
"('cell', 440)",0,0,1,0,0,0,0
"('cell', 492)",0,1,1,1,1,0,2
"('cell', 380)",0,0,2,1,0,2,0
"('cell', 393)",0,0,4,1,0,6,0
"('cell', 370)",0,0,1,1,0,1,0
"('cell', 74)",0,0,0,0,0,1,0
"('cell', 32)",0,0,0,0,0,1,0
"('cell', 24)",0,0,0,0,0,1,0
"('cell', 41)",0,0,0,1,0,1,0
"('cell', 316)",0,0,0,2,0,2,0
"('cell', 330)",0,0,0,2,0,3,0
"('cell', 281)",0,0,2,2,0,3,0
"('cell', 401)",0,1,0,0,0,2,0
"('cell', 135)",0,2,2,0,1,8,0
"('cell', 115)",0,1,0,1,0,3,0
"('cell', 140)",0,0,1,1,1,0,0
"('cell', 146)",0,0,0,1,1,0,0
"('cell', 150)",0,1,1,1,1,1,0
"('cell', 163)",0,0,1,1,1,1,0
"('cell', 136)",0,1,0,1,1,4,0
"('cell', 776)",0,1,1,0,1,1,0
"('cell', 478)",0,0,1,0,0,4,0
"('cell', 464)",0,0,1,0,0,5,0
"('cell', 1413)",0,0,0,0,1,0,0
"('cell', 1385)",0,0,0,0,3,0,1
"('cell', 1340)",0,0,0,0,5,1,3
"('cell', 1352)",0,0,0,0,3,1,1
"('cell', 1437)",0,0,0,0,0,2,0
"('cell', 461)",0,0,2,0,0,6,0
"('cell', 504)",0,0,0,1,1,0,2
"('cell', 855)",0,0,2,1,0,1,0
"('cell', 806)",0,0,3,2,0,1,0
"('cell', 841)",0,0,3,2,0,2,0
"('cell', 878)",0,0,2,0,0,2,0
"('cell', 751)",0,0,0,1,0,0,0
"('cell', 755)",0,0,0,0,0,1,0
"('cell', 869)",0,0,1,1,0,1,0
"('cell', 865)",0,0,0,0,0,1,0
"('cell', 845)",0,0,0,0,0,3,0
"('cell', 820)",0,1,1,0,0,1,0
"('cell', 701)",0,1,0,0,0,4,0
"('cell', 682)",0,1,1,0,0,5,0
"('cell', 536)",0,0,2,1,0,1,0
"('cell', 506)",0,0,2,1,0,5,0
"('cell', 1175)",0,0,0,0,0,3,0
"('cell', 1201)",0,0,2,0,0,2,0
"('cell', 1015)",0,0,3,1,2,0,0
"('cell', 1132)",0,0,0,1,0,2,0
"('cell', 1133)",0,0,1,1,1,1,0
"('cell', 488)",0,0,1,0,0,0,0
"('cell', 473)",0,0,1,0,0,0,0
"('cell', 497)",0,0,0,0,0,3,0
"('cell', 420)",0,0,3,0,0,2,0
"('cell', 421)",0,0,3,0,0,2,0
"('cell', 403)",0,0,2,0,0,1,0
"('cell', 238)",0,0,2,0,3,7,0
"('cell', 801)",0,0,2,0,0,2,0
"('cell', 789)",0,0,2,0,0,2,0
"('cell', 811)",0,0,1,0,0,1,0
"('cell', 814)",0,1,3,0,0,6,0
"('cell', 839)",0,1,1,0,0,2,0
"('cell', 796)",0,0,3,0,0,3,0
"('cell', 830)",0,0,2,0,0,2,0
"('cell', 882)",0,1,1,0,0,3,0
"('cell', 868)",0,1,1,0,0,5,0
"('cell', 866)",0,1,1,0,0,4,0
"('cell', 929)",0,1,2,0,0,1,0
"('cell', 890)",0,1,1,0,0,2,0
"('cell', 923)",0,1,2,0,0,2,0
"('cell', 944)",0,0,3,0,0,2,0
"('cell', 931)",0,1,0,0,0,0,0
"('cell', 976)",0,0,1,0,0,0,0
"('cell', 965)",0,0,2,0,2,2,0
"('cell', 987)",0,0,2,0,2,0,0
"('cell', 951)",0,0,2,0,0,2,0
"('cell', 941)",0,0,2,0,0,0,0
"('cell', 962)",0,0,2,0,0,0,0
"('cell', 785)",0,0,2,0,0,4,0
"('cell', 772)",0,0,2,0,0,5,0
"('cell', 670)",0,0,1,0,0,2,0
"('cell', 675)",0,0,4,0,0,3,0
"('cell', 649)",0,1,2,0,0,3,0
"('cell', 195)",0,2,0,0,0,1,0
"('cell', 486)",0,0,3,1,0,5,0
"('cell', 363)",0,0,2,0,0,5,0
"('cell', 414)",0,0,1,0,0,1,0
"('cell', 407)",0,0,0,0,0,1,0
"('cell', 454)",0,1,1,2,1,0,2
"('cell', 354)",0,0,0,1,0,0,0
"('cell', 66)",0,1,0,1,0,1,0
"('cell', 71)",0,0,0,0,0,1,0
"('cell', 111)",0,1,0,1,0,1,0
"('cell', 138)",0,2,0,1,0,1,0
"('cell', 59)",0,1,0,1,0,1,0
"('cell', 75)",0,1,0,1,0,1,0
