T1,T2,T3,T4,T5
0.0000000000000000000000000,0.0000000000000000107746891,0.0000000000000000000000000,0.0000000000000000262385047,0.9193256513640808424980833
0.0000000000000000003945207,0.0000000000000000141973042,0.8386908499233952651863433,0.0000000000000000000000000,0.0000000000000000000000000
0.0000000000000000000000000,0.0014110036688499566232685,0.0025343135214566563442884,0.0005048619150083310429603,0.0033449515681098322683606
0.0007953623167765262128720,0.0547074889460371013849560,0.0300103176187641561278863,0.0307401015507476442489843,0.0146521037543322005247681
0.0000000000000000000000000,0.0000000000000000024708375,0.0000000000000000000000000,0.8671381195092120464096297,0.0000000000000000234055609
0.0000000000000000000000000,0.5357434967343086551494480,0.0000000000000000000000000,0.0000000000000000339478877,0.0000000000000000000000000
0.0000000000000000000000000,0.0125896114181051795022359,0.0011678830629843837528997,0.0073045071008900151060539,0.0000571935710917150890971
0.0000000000000000000000000,0.0040234589684096664155555,0.0050768679106555514995991,0.0027468617222243712008845,0.0024161718829309002110062
0.0000000000000000000000000,0.0049128049796757448236528,0.0035175172683954356034342,0.0030513592104595621198881,0.0004233995250674565577996
0.0010412827535451975227015,0.0185049553654997069040977,0.0081336609087730975947705,0.0136951261036192834669167,0.0054094371437774999011872
0.0000000000000000000000000,0.0488423750213811472264958,0.0208319641780418257637209,0.0232448963116007774332150,0.0057479092847507410463104
0.0232781346545717464369130,0.0203772070225752936767361,0.0186626506959857302314632,0.0000000000000000000000000,0.0114518978476072560285237
0.0000000000000000000000000,0.0224100663361015348118421,0.0183271247625828061222908,0.0077979768071978570326275,0.0119997942891652276120595
0.0000000000000000000000000,0.1922620982166010350500329,0.0153172996476540462101879,0.0000000000000000000000000,0.0067822967151570838842400
0.0000955510938988772740759,0.0250341516195849295156606,0.0108458091464491267891246,0.0167422159492021140059226,0.0037044837598188850615044
0.0000000000000000000000000,0.0429577581663443466841734,0.0069926581915473306344522,0.0186537996391149991926017,0.0017352854234363784477480
0.0000148875488246414388346,0.0004830982568551151412270,0.0008541713864454245205490,0.0001146702266115493478284,0.0016141968406475442308901
0.0010414114034313314265806,0.0043077953898345870339948,0.0115422055406556867129808,0.0013333300943041848790616,0.0077312358739628451662074
0.0000000000000000000000000,0.0032750395857759607119719,0.0023827190458104536771589,0.0019459562942413734416836,0.0007050111168491635538907
0.0000000000000000000000000,0.0046495687271308414056925,0.0009980320912807247746984,0.0025781938082632491898716,0.0000000000000000000000000
0.0000671585718183535822961,0.0020183569851227965014084,0.0002507741779475615743686,0.0012739967432391914418932,0.0009009701475934287591071
0.9731905958235615994311729,0.0000000000000000001582097,0.0000000000000000003891084,0.0000000000000000003852719,0.0000000000000000000000000
0.0004756158335717230187592,0.0014187319926720863560998,0.0038281758805314247511020,0.0011321264596778151355350,0.0019832134748595849765840
0.0000000000000000000000000,0.0000709325991342685014144,0.0000350050406431247040071,0.0000019005543856806924912,0.0000147964167613111173576
