src,dst,distance
0,716,35.17101079013795
0,1803,56.302753041036986
0,3350,99.00505037623081
0,3950,133.2816566523691
0,33227,80.65358020571685
0,34889,95.12623192369179
1,734,56.22277118748239
1,1446,37.013511046643494
1,1797,58.69412236331676
1,2043,50.99019513592785
1,32786,105.30906893520614
1,35098,49.040799340956916
2,671,21.37755832643195
2,1050,38.07886552931954
2,1515,55.00909015790027
2,2076,44.10215414239989
2,32101,157.8005069700348
2,34679,48.010415536631214
3,2090,107.54068997360952
3,4478,127.283148923964
3,4852,268.40454541605664
3,30499,210.77238908357992
3,31664,146.696966567138
3,33064,107.35455276791944
3,34673,262.2250941462315
4,722,84.48076704197234
4,1013,48.010415536631214
4,1824,50.80354318352215
4,3751,112.36102527122117
4,32468,121.69634341261039
4,34001,115.0
5,480,37.12142238654117
5,601,26.92582403567252
5,1254,47.853944456021594
5,1521,22.80350850198276
5,2240,43.104524124504614
5,34800,52.80151512977634
6,566,34.88552708502482
6,877,54.230987451824994
6,1457,88.28363381737297
6,4109,113.29607230614837
6,34595,70.71067811865476
6,35150,87.31551981177229
7,482,19.697715603592208
7,1310,21.470910553583888
7,1336,21.095023109728988
7,2012,34.713109915419565
7,35072,64.1404708432983
8,637,66.49060083951716
8,981,15.132745950421556
8,1858,50.21951811795888
8,4158,111.68258592994702
8,34073,69.85699678629192
9,784,22.0
9,1157,21.470910553583888
9,1822,27.784887978899608
9,1840,78.44743462982075
9,4351,101.1236866416568
9,35216,46.51881339845203
10,208,44.01136216933077
10,769,35.35533905932738
10,897,76.92203845452875
10,3304,108.72442227944924
10,3654,91.60785992479029
10,5457,139.00359707575916
11,22,59.64059020499378
11,503,91.3892772703669
11,2572,56.22277118748239
11,33637,117.99152511939153
12,659,45.880278987817846
12,1121,113.50770898930169
12,2018,26.1725046566048
12,3627,79.20858539325141
12,4132,86.95401083331349
13,14,50.24937810560445
13,810,48.54894437575342
13,860,49.4064773081425
13,1628,33.61547262794322
13,2207,14.7648230602334
13,4302,80.23091673413684
14,860,49.658836071740545
14,1185,67.23094525588644
14,1399,30.01666203960727
14,3845,123.00406497347964
14,4302,97.83659846908007
14,4760,123.23960402403117
14,5272,110.00454536063498
15,446,78.40918313565064
15,1620,31.89043743820395
15,2691,68.65857557508748
15,3034,70.3846574190711
15,3079,34.132096331752024
16,1621,26.92582403567252
16,2435,22.360679774997898
16,2610,103.4842983258813
16,3287,86.53900854527974
16,6156,150.7348665704123
16,34130,114.56002793295748
17,935,59.90826320300064
17,1498,43.139309220245984
17,2082,33.83784863137726
17,2724,27.313000567495326
17,2982,74.72616676907762
17,3346,51.22499389946279
17,4490,101.83319694480774
17,5617,114.6298390472568
18,25,84.1486779456457
18,1779,61.68468205316454
18,1801,77.62087348130012
18,2613,45.5411901469428
18,5661,116.84177335182824
18,32637,179.10890541790488
18,33558,155.2063143045411
19,327,81.93289937503738
19,464,75.58438992278762
19,2389,65.37583651472461
19,2802,32.984845004941285
19,4095,52.23983154643591
19,4202,69.40461079784254
20,202,99.72462083156798
20,1291,56.859475903318
20,3222,24.758836806279895
20,4003,48.703182647543684
20,5117,147.41099009232656
20,34918,183.50476833041697
21,1266,88.75246475450696
21,1378,46.84015371452148
21,2187,87.66413177577246
21,2987,12.806248474865697
21,3743,38.27531841800928
21,4096,107.33126291998991
22,503,98.6154146165801
22,2515,110.16805344563369
22,2572,79.2464510246358
22,4082,49.57822102496216
22,4502,73.55270219373317
23,1638,55.65968020030299
23,2219,57.42821606144492
23,2499,41.617304093369626
23,2568,63.56886030125127
23,3074,42.190046219457976
23,3870,60.53924347066124
23,4006,48.82622246293481
23,4206,44.204072210600685
24,1685,94.2019108086455
24,4771,64.20280367709809
24,5392,121.40016474453401
24,26701,444.6493000106938
25,1740,93.94147114027967
25,1801,81.58431221748455
25,5392,128.51459061133875
25,5661,92.00543462209176
25,6984,110.4943437466371
25,7093,117.27318534089538
26,1953,87.23531395025755
26,2629,86.45229898620394
26,3110,84.11896337925236
26,4406,14.866068747318506
26,4852,129.87686476043376
26,7819,130.5526713629407
27,3860,39.824615503479755
27,3995,30.14962686336267
27,4358,49.040799340956916
27,4883,19.235384061671343
27,5815,41.14608122288197
27,5817,39.21734310225516
28,410,168.88457596832222
28,770,152.82997088267732
28,3007,321.1744074486633
28,6937,149.37536610833797
28,7375,85.0
28,7552,109.0
28,8391,127.88275880665071
28,8599,147.13938969562162
29,4105,48.91829923454004
29,4801,10.770329614269007
29,5757,94.11163583744573
29,6130,70.83078426785913
29,6369,60.876925020897694
29,6575,53.9351462406472
30,3894,51.264022471905186
30,4380,34.48187929913333
30,4465,27.892651361962706
30,5031,39.45883931389772
30,5766,36.61966684720111
30,6444,130.97327971765844
30,7044,120.37026210821342
30,7090,68.8839603971781
31,2248,111.97321108193691
31,2821,89.49860334105779
31,4126,109.77249200050075
31,4709,107.07940978544848
31,5572,10.44030650891055
31,6240,35.17101079013795
32,4766,33.301651610693426
32,5189,30.083217912982647
32,5310,43.104524124504614
32,5669,10.198039027185569
33,4106,66.21933252457322
33,4899,47.41307836451879
33,6554,46.400431032480725
33,6633,118.92854997854805
33,7807,84.48076704197234
34,3712,169.26015479137433
34,4121,59.09314681077663
34,4469,41.012193308819754
34,6462,61.05735008989499
34,6827,44.01136216933077
34,7003,53.45091205957107
34,7950,107.20074626605917
35,4287,51.35172830587107
35,4345,49.36598018878993
35,5584,31.25699921617557
35,5714,42.01190307520001
35,6972,87.98295289429652
35,7809,84.30895563343196
36,3570,95.81753492967766
36,3675,97.04638066409278
36,4992,49.8196748283246
36,6548,36.235341863986875
36,7008,99.9599919967984
36,7031,37.33630940518894
36,7555,54.08326913195984
37,4602,55.226805085936306
37,5178,65.5133574166368
37,5270,30.4138126514911
37,6752,90.95603333479313
37,6849,83.16850365372699
37,7164,51.66236541235796
37,8010,110.25878649794764
37,8329,88.02272433866155
38,3822,90.6697303403953
38,4653,69.1158447825099
38,5334,63.812224534175265
38,5731,54.78138369920935
38,6214,43.104524124504614
38,6304,20.0
38,6879,30.4138126514911
38,7096,63.06346010171025
38,7830,59.20304046246274
39,4638,60.67124524847005
39,4764,56.92099788303083
39,5045,54.644304369257
39,5824,77.6659513557904
39,6166,43.289721643826724
39,7268,51.62363799656123
39,7429,48.02082881417188
39,8019,63.198101237299845
40,4605,80.22468448052632
40,4927,69.63476143421474
40,6068,42.5205832509386
40,7046,16.64331697709324
40,8202,51.62363799656123
40,8323,84.21995013059554
41,5597,64.20280367709809
41,5845,41.97618372363071
41,6781,27.202941017470888
41,7937,51.73973328110612
41,7955,41.340053217188775
42,51,61.84658438426491
