,K,l1_dist,cos_sim,cos_sim_ratio
0,2,0.022306627886954346,0.9995715590343182,1.0043332138857948
1,2,0.01909378013253385,0.999711467505859,1.0037098585340787
2,2,0.021243209736748883,0.999665920801084,1.0039591388456854
3,2,0.025442235170092094,0.9993740480735769,1.0037075817261938
4,2,0.016311503017241845,0.9997399229952169,1.004537555307753
5,2,0.019997469420208337,0.9996240286569786,1.0047740613758251
6,2,0.01030866927576922,0.9999125777599706,1.0048710599353194
7,2,0.004552431090267969,0.9999802468694433,1.0044987789642867
8,2,0.015428619490586958,0.9997680721424478,1.0043804783373096
9,2,0.019124938058136927,0.9996682030229074,1.0046670447872574
10,2,0.005862108448397713,0.9999696571568262,1.0052599137348701
11,2,0.01337271509276608,0.9997869663899315,1.0046597066929026
12,2,0.01996536058769139,0.9996035522589475,1.0040694753643824
13,2,0.0168227117182157,0.9996901070221564,1.0046194785868545
14,2,0.013539611267908341,0.9997755965889096,1.0053466162938167
15,2,0.021037829753955094,0.999547943606503,1.0046657410264692
16,2,0.01698480209342826,0.9996802500906357,1.0053113282533208
17,2,0.009414093527660601,0.9999313800357401,1.004373708018392
18,2,0.007219616208737165,0.999966835379003,1.004912069313583
19,2,0.007997054234925034,0.9999545626957189,1.0044022667568675
20,2,0.0056892407337532785,0.9999597838045082,1.0041152646632014
21,2,0.004256083020855249,0.9999807400645171,1.0049044383363537
22,2,0.02336204117424575,0.9994714551123832,1.0045886523270298
23,2,0.021119514119204326,0.9995877660020975,1.004520878602552
24,2,0.007117209602271586,0.9999479857508975,1.0044480664768045
25,2,0.018297196979827964,0.9996718410641526,1.0043959930089725
26,2,0.017750919623543977,0.9997256445026554,1.0041675021093655
27,2,0.020109071152059912,0.9995630749236657,1.0050380575388496
28,2,0.018988925823318445,0.9996757279016113,1.0049485784783414
29,2,0.012492503776542221,0.999842663887933,1.0049995547368766
30,2,0.01468863915653805,0.9997248186592066,1.0052110344796306
31,2,0.006768612515206857,0.9999316329859871,1.0052856860250599
32,2,0.019486189745553696,0.9996163730950258,1.0049336601550014
33,2,0.01728932774649837,0.9996585047555999,1.0051501936512008
34,2,0.014620337624780363,0.9997352294670947,1.0044324479897857
35,2,0.013507773545052594,0.9997781218430957,1.0041575222513766
36,2,0.007056015340719826,0.9999613576077673,1.0046328123971577
37,2,0.0156232651454511,0.9997849809170438,1.004488102529503
38,2,0.018297657082199645,0.9996283029798105,1.0042913408176102
39,2,0.01917340124890548,0.9996843913545672,1.004012889746403
40,2,0.004671304724772549,0.9999791929293127,1.0056401272106463
41,2,0.012645029609667395,0.9998206099079544,1.0055228446045825
42,2,0.0195807661920765,0.9996484639586835,1.0051383140227343
43,2,0.008670110681937425,0.9999184794378125,1.0053512281364896
44,2,0.01293875032271321,0.9998203335271245,1.0049999299258976
45,2,0.019805633770169785,0.9996612562878859,1.0046465550363848
46,2,0.00827124171188593,0.9999308750548154,1.0048339587684179
47,2,0.008982227036471668,0.9999269902759962,1.0046608882824004
48,2,0.014626427856606089,0.9998043389613454,1.0048052011282014
49,2,0.016533977780780876,0.999732393170359,1.0046189987947816
50,3,0.04009985297773505,0.9979068553803404,1.0037051246029258
51,3,0.03036263499405226,0.9990543516957461,1.0065524318607986
52,3,0.03953174418526139,0.9979762916343121,1.0037532325386564
53,3,0.04100701795159261,0.9977716004133844,1.0038220216884128
54,3,0.0399379175736713,0.9982080029757144,1.0046081743772235
55,3,0.016590624518044134,0.9997508676865422,1.0055443638816466
56,3,0.01869200679190464,0.9996484216136863,1.0057274512779342
57,3,0.04167959582336289,0.9985328504799327,1.0045877370376
58,3,0.04337329489053205,0.998385611573597,1.0045061589342794
59,3,0.013215834484555336,0.9998739857541051,1.0056118609341853
60,3,0.0325458806594691,0.9987879511095598,1.0047949446773585
61,3,0.03465886854557372,0.9985248558670561,1.0050593693631344
62,3,0.04084425498103028,0.9980092780071983,1.0030529448000725
63,3,0.0433089712604481,0.9979714215873366,1.002990533975034
64,3,0.009522972797903309,0.9999129076968302,1.0068739874060237
65,3,0.024765733787476887,0.9993754524876444,1.005768407547639
66,3,0.027497722992639365,0.9993091956270291,1.0056988275054135
67,3,0.025233148935809833,0.9992825939193176,1.0062819234986344
68,3,0.026899227564131097,0.999217538635982,1.0062285579125685
